baseClass,baseLabel,superClass,superLabel
OMIM:269720,"Seizures, Benign Familial Neonatal, Autosomal Recessive",DOID:14264,benign neonatal seizures
OMIM:604233,"Generalized Epilepsy With Febrile Seizures Plus, Type 1",DOID:0060170,generalized epilepsy with febrile seizures plus
OMIM:610725,"Nephrotic Syndrome, Type 3",DOID:1184,nephrotic syndrome
OMIM:608583,"Atrial Fibrillation, Familial, 1",DOID:0050650,familial atrial fibrillation
OMIM:613426,"Cardiomyopathy, Dilated, 1s",DOID:12930,dilated cardiomyopathy
OMIM:614429,Ventricular Septal Defect 1,DOID:1657,ventricular septal defect
OMIM:609887,"Glaucoma 1, Open Angle, G",DOID:1067,open-angle glaucoma
OMIM:225250,"Hypothyroidism, Congenital, Nongoitrous, 5",DOID:0050328,congenital hypothyroidism
OMIM:614165,Paragangliomas 5,DOID:0050773,paraganglioma
OMIM:112450,"Brachydactyly, Preaxial, With Hallux Varus And Thumb Abduction",DOID:0050581,brachydactyly
OMIM:606217,"Atrioventricular Septal Defect, Susceptibility To, 2",DOID:0050651,atrioventricular septal defect
OMIM:300436,"Mental Retardation, X-Linked 46",DOID:0050776,non-specific X-linked mental retardation
OMIM:600721,D-2-Hydroxyglutaric Aciduria 1,DOID:0050575,D-2-hydroxyglutaric aciduria
OMIM:260000,"Hyperoxaluria, Primary, Type Ii",DOID:2977,primary hyperoxaluria
OMIM:608049,"Autism, Susceptibility To, 3",DOID:12849,autistic disorder
OMIM:601493,"Cardiomyopathy, Dilated, 1c",DOID:12930,dilated cardiomyopathy
OMIM:615573,"Nephrotic Syndrome, Type 9",DOID:1184,nephrotic syndrome
OMIM:610913,"Surfactant Metabolism Dysfunction, Pulmonary, 2",DOID:12120,pulmonary alveolar proteinosis
OMIM:147480,"Cholestasis, Intrahepatic, Of Pregnancy, 1",DOID:1852,intrahepatic cholestasis
OMIM:602096,Alzheimer Disease 5,DOID:10652,Alzheimer's disease
OMIM:611584,"Waardenburg Syndrome, Type 2e",DOID:9258,Waardenburg's syndrome
OMIM:602482,"Axenfeld-Rieger Syndrome, Type 3",DOID:14686,Axenfeld-Rieger syndrome
OMIM:610017,Multiple Synostoses Syndrome 2,DOID:0050794,multiple synostoses syndrome
OMIM:606346,"Deafness, Autosomal Dominant 22",DOID:0050564,autosomal dominant nonsyndromic deafness
OMIM:601317,"Deafness, Autosomal Dominant 11",DOID:0050564,autosomal dominant nonsyndromic deafness
OMIM:160150,"Myopathy, Centronuclear, 1",DOID:14717,centronuclear myopathy
OMIM:606693,Kufor-Rakeb Syndrome,DOID:14330,Parkinson's disease
OMIM:613980,"Atrial Fibrillation, Familial, 9",DOID:0050650,familial atrial fibrillation
OMIM:138800,"Goiter, Multinodular 1, With Or Without Sertoli-Leydig Cell Tumors",DOID:0050489,multinodular goiter
OMIM:146300,"Hypophosphatasia, Adult",DOID:14213,hypophosphatasia
OMIM:610127,"Ceroid Lipofuscinosis, Neuronal, 10",DOID:14503,neuronal ceroid lipofuscinosis
OMIM:601678,"Bartter Syndrome, Antenatal, Type 1",DOID:445,Bartter disease
OMIM:204300,"Ceroid Lipofuscinosis, Neuronal, 4a, Autosomal Recessive",DOID:14503,neuronal ceroid lipofuscinosis
OMIM:230900,"Gaucher Disease, Type Ii",DOID:1926,Gaucher's disease
OMIM:612551,"Focal Segmental Glomerulosclerosis 4, Susceptibility To",DOID:1312,focal segmental glomerulosclerosis
OMIM:607736,"Charcot-Marie-Tooth Disease, Axonal, Type 2j",DOID:0050539,Charcot-Marie-Tooth disease type 2
OMIM:157170,Holoprosencephaly 2,DOID:4621,holoprosencephaly
OMIM:300143,"Mental Retardation, X-Linked 21",DOID:0050776,non-specific X-linked mental retardation
OMIM:301200,"Amelogenesis Imperfecta, Type Ie",DOID:2187,amelogenesis imperfecta
OMIM:601098,"Charcot-Marie-Tooth Disease, Demyelinating, Type 1c",DOID:0050538,Charcot-Marie-Tooth disease type 1
OMIM:609464,"Sarcoidosis, Early-Onset",DOID:11335,sarcoidosis
OMIM:259420,"Osteogenesis Imperfecta, Type Iii",DOID:12347,osteogenesis imperfecta
OMIM:214300,"Klippel-Feil Syndrome 2, Autosomal Recessive",DOID:10426,Klippel-Feil syndrome
OMIM:188570,"Thyroid Hormone Resistance, Generalized, Autosomal Dominant",DOID:11633,thyroid hormone resistance syndrome
OMIM:224100,"Anemia, Congenital Dyserythropoietic, Type Ii",DOID:1338,congenital dyserythropoietic anemia
OMIM:278850,"46,Xx Sex Reversal 2",DOID:14450,46 XX gonadal dysgenesis
OMIM:612098,"Cardiomyopathy, Familial Hypertrophic, 11",DOID:11984,hypertrophic cardiomyopathy
OMIM:613877,"Lipodystrophy, Familial Partial, Type 4",DOID:0050440,familial partial lipodystrophy
OMIM:601316,"Deafness, Autosomal Dominant 10",DOID:0050564,autosomal dominant nonsyndromic deafness
OMIM:613424,"Cardiomyopathy, Dilated, 1r",DOID:12930,dilated cardiomyopathy
OMIM:301000,Wiskott-Aldrich Syndrome,DOID:9169,Wiskott-Aldrich syndrome
OMIM:608456,"Familial Adenomatous Polyposis, 2",DOID:0050424,familial adenomatous polyposis
OMIM:600669,"Epilepsy, Idiopathic Generalized",DOID:1827,idiopathic generalized epilepsy
OMIM:300494,"Asperger Syndrome, X-Linked, Susceptibility To, 1",DOID:0050432,Asperger syndrome
OMIM:608569,"Cardiomyopathy, Dilated, 1o",DOID:12930,dilated cardiomyopathy
OMIM:613480,"Lymphedema, Hereditary, Ic",DOID:0050580,hereditary lymphedema
OMIM:241510,"Hypophosphatasia, Childhood",DOID:14213,hypophosphatasia
OMIM:614199,"Nephrotic Syndrome, Type 5, With Or Without Ocular Abnormalities",DOID:1184,nephrotic syndrome
OMIM:613192,"Mental Retardation, Autosomal Recessive 13",DOID:0050889,non-syndromic intellectual disability
OMIM:233700,"Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Positive, Type I",DOID:3265,chronic granulomatous disease
OMIM:216330,"Cleidocranial Dysplasia, Recessive Form",DOID:13994,cleidocranial dysplasia
OMIM:615224,"Advanced Sleep Phase Syndrome, Familial, 2",DOID:0050628,advanced sleep phase syndrome
OMIM:612877,"Cardiomyopathy, Dilated, 1bb",DOID:12930,dilated cardiomyopathy
OMIM:278750,"Xeroderma Pigmentosum, Variant Type",DOID:0050427,xeroderma pigmentosum
OMIM:615530,"Parkinson Disease 20, Early-Onset",DOID:14330,Parkinson's disease
OMIM:302802,"Charcot-Marie-Tooth Disease, X-Linked Recessive, 3",DOID:0050542,Charcot-Marie-Tooth disease type X
OMIM:603221,"Myopia 3, Autosomal Dominant",DOID:11830,myopia
OMIM:604369,Salla Disease,DOID:3659,sialuria
OMIM:611561,"Meckel Syndrome, Type 5",DOID:0050778,Meckel syndrome
OMIM:615577,"Immunodeficiency, Common Variable, 10",DOID:12177,common variable immunodeficiency
OMIM:307000,Hydrocephalus Due To Congenital Stenosis Of Aqueduct Of Sylvius,DOID:10908,hydrocephalus
OMIM:607734,"Charcot-Marie-Tooth Disease, Demyelinating, Type 1f",DOID:0050538,Charcot-Marie-Tooth disease type 1
OMIM:170400,"Hypokalemic Periodic Paralysis, Type 1",DOID:14452,hypokalemic periodic paralysis
OMIM:600994,"Deafness, Autosomal Dominant 5",DOID:0050564,autosomal dominant nonsyndromic deafness
OMIM:601859,Autoimmune Lymphoproliferative Syndrome,DOID:6688,autoimmune lymphoproliferative syndrome
OMIM:612124,"Cardiomyopathy, Familial Hypertrophic, 12",DOID:11984,hypertrophic cardiomyopathy
OMIM:614302,"Emery-Dreifuss Muscular Dystrophy 7, Autosomal Dominant",DOID:11726,Emery-Dreifuss muscular dystrophy
OMIM:608567,"Sick Sinus Syndrome 1, Autosomal Recessive",DOID:13884,sick sinus syndrome
OMIM:145600,"Malignant Hyperthermia, Susceptibility To, 1",DOID:8545,malignant hyperthermia
OMIM:607688,"Parkinson Disease 11, Autosomal Dominant",DOID:14330,Parkinson's disease
OMIM:613795,Loeys-Dietz Syndrome 3,DOID:0050466,Loeys-Dietz syndrome
OMIM:302801,"Charcot-Marie-Tooth Disease, X-Linked Recessive, 2",DOID:0050542,Charcot-Marie-Tooth disease type X
OMIM:120435,Lynch Syndrome I,DOID:3883,Lynch syndrome
OMIM:300845,"Moyamoya Disease 4 With Short Stature, Hypergonadotropic Hypogonadism, And Facial Dysmorphism",DOID:13099,Moyamoya disease
OMIM:273900,Thrombocytopenia 3,DOID:1588,thrombocytopenia
OMIM:227650,"Fanconi Anemia, Complementation Group A",DOID:13636,Fanconi's anemia
OMIM:613270,"Corneal Dystrophy, Fuchs Endothelial, 6",DOID:11555,Fuchs' endothelial dystrophy
OMIM:610220,"Deafness, Autosomal Recessive 59",DOID:0050565,autosomal recessive nonsyndromic deafness
OMIM:241520,"Hypophosphatemic Rickets, Autosomal Recessive, 1",DOID:0050445,X-linked hypophosphatemia
OMIM:613717,Treacher Collins Syndrome 2,DOID:2908,Treacher Collins syndrome
OMIM:302800,"Charcot-Marie-Tooth Disease, X-Linked Dominant, 1",DOID:0050542,Charcot-Marie-Tooth disease type X
OMIM:613697,"Cardiomyopathy, Dilated, 1v",DOID:12930,dilated cardiomyopathy
OMIM:613193,"Ciliary Dyskinesia, Primary, 13",DOID:9562,primary ciliary dyskinesia
OMIM:613123,Brugada Syndrome 8,DOID:0050451,Brugada syndrome
OMIM:608874,Orofacial Cleft 5,DOID:0050567,orofacial cleft
OMIM:612096,Otosclerosis 8,DOID:12185,otosclerosis
OMIM:604387,Nephronophthisis 3,DOID:12712,nephronophthisis
OMIM:253000,"Mucopolysaccharidosis, Type Iva",DOID:12804,mucopolysaccharidosis IV
OMIM:115197,"Cardiomyopathy, Familial Hypertrophic, 4",DOID:11984,hypertrophic cardiomyopathy
OMIM:608629,Joubert Syndrome 3,DOID:0050777,Joubert syndrome
OMIM:232220,Glycogen Storage Disease Ib,DOID:2749,glycogen storage disease I
OMIM:604757,Craniosynostosis 2,DOID:2340,craniosynostosis
OMIM:613195,Weill-Marchesani-Like Syndrome,DOID:0050475,Weill-Marchesani syndrome
OMIM:610682,"Osteogenesis Imperfecta, Type Vii",DOID:12347,osteogenesis imperfecta
OMIM:248390,Treacher Collins Syndrome 3,DOID:2908,Treacher Collins syndrome
OMIM:613404,"Arthrogryposis, Renal Dysfunction, And Cholestasis 2",DOID:0050763,ARC syndrome
OMIM:166600,"Osteopetrosis, Autosomal Dominant 2",DOID:13533,osteopetrosis
OMIM:108720,"Atelosteogenesis, Type I",DOID:0050648,atelosteogenesis
OMIM:607628,"Epilepsy, Idiopathic Generalized, Susceptibility To, 11",DOID:1827,idiopathic generalized epilepsy
OMIM:612301,"Osteopetrosis, Autosomal Recessive 7",DOID:13533,osteopetrosis
OMIM:600737,"Inclusion Body Myopathy 2, Autosomal Recessive",DOID:3429,inclusion body myositis
OMIM:213300,Joubert Syndrome 1,DOID:0050777,Joubert syndrome
OMIM:610297,"Parkinson Disease 13, Autosomal Dominant, Susceptibility To",DOID:14330,Parkinson's disease
OMIM:607569,"Myopathy, Distal, With Early Respiratory Failure, Autosomal Dominant",DOID:11720,distal muscular dystrophy
OMIM:255200,"Myopathy, Centronuclear, 2",DOID:14717,centronuclear myopathy
OMIM:610193,"Arrhythmogenic Right Ventricular Dysplasia, Familial, 10",DOID:0050431,arrhythmogenic right ventricular cardiomyopathy
OMIM:103230,"Adrenocortical Hypofunction, Chronic Primary Congenital",DOID:13774,Addison's disease
OMIM:609620,Short Qt Syndrome 1,DOID:0050793,short QT syndrome
OMIM:108721,"Atelosteogenesis, Type Iii",DOID:0050648,atelosteogenesis
OMIM:604367,"Lipodystrophy, Familial Partial, Type 3",DOID:0050440,familial partial lipodystrophy
OMIM:608864,"Orofacial Cleft 6, Susceptibility To",DOID:0050567,orofacial cleft
OMIM:614083,"Fanconi Anemia, Complementation Group L",DOID:13636,Fanconi's anemia
OMIM:116600,"Cataract 6, Multiple Types",DOID:0050537,posterior polar cataract
OMIM:301940,"Brachydactyly, Mononen Type",DOID:0050581,brachydactyly
OMIM:613752,Hypermethioninemia With S-Adenosylhomocysteine Hydrolase Deficiency,DOID:0050544,hypermethioninemia
OMIM:263200,"Polycystic Kidney Disease, Autosomal Recessive",DOID:898,polycystic kidney disease
OMIM:605543,"Parkinson Disease 4, Autosomal Dominant",DOID:14330,Parkinson's disease
OMIM:607200,Thyroid Dyshormonogenesis 6,DOID:0050328,congenital hypothyroidism
OMIM:112600,"Brachydactyly, Type A2",DOID:0050581,brachydactyly
OMIM:613243,"Cardiomyopathy, Familial Hypertrophic, 13",DOID:11984,hypertrophic cardiomyopathy
OMIM:608393,"Microcephaly 6, Primary, Autosomal Recessive",DOID:10907,microcephaly
OMIM:300486,"Mental Retardation, X-Linked, With Cerebellar Hypoplasia And Distinctive Facial Appearance",DOID:0050888,syndromic intellectual disability
OMIM:300497,"Asperger Syndrome, X-Linked, Susceptibility To, 2",DOID:0050432,Asperger syndrome
OMIM:612999,"Emery-Dreifuss Muscular Dystrophy 5, Autosomal Dominant",DOID:11726,Emery-Dreifuss muscular dystrophy
OMIM:602771,Rigid Spine Muscular Dystrophy 1,DOID:0050557,congenital muscular dystrophy
OMIM:612656,"Episodic Ataxia, Type 6",DOID:963,episodic ataxia
OMIM:612201,"Atrial Fibrillation, Familial, 6",DOID:0050650,familial atrial fibrillation
OMIM:300844,"Mental Retardation, X-Linked 19",DOID:0050776,non-specific X-linked mental retardation
OMIM:614082,"Fanconi Anemia, Complementation Group G",DOID:13636,Fanconi's anemia
OMIM:145001,Hyperparathyroidism 2,DOID:13543,hyperparathyroidism
OMIM:300425,"Autism, Susceptibility To, X-Linked 1",DOID:12849,autistic disorder
OMIM:173900,Polycystic Kidney Disease 1,DOID:898,polycystic kidney disease
OMIM:125851,"Maturity-Onset Diabetes Of The Young, Type 2",DOID:0050524,maturity-onset diabetes of the young
OMIM:607450,"Arrhythmogenic Right Ventricular Dysplasia, Familial, 8",DOID:0050431,arrhythmogenic right ventricular cardiomyopathy
OMIM:613120,Brugada Syndrome 7,DOID:0050451,Brugada syndrome
OMIM:129490,"Ectodermal Dysplasia 10a, Hypohidrotic/Hair/Nail Type, Autosomal Dominant",DOID:14793,hypohidrotic ectodermal dysplasia
OMIM:604370,"Breast-Ovarian Cancer, Familial, Susceptibility To, 1",DOID:5683,hereditary breast ovarian cancer
OMIM:256450,"Hyperinsulinemic Hypoglycemia, Familial, 1",DOID:13317,hyperinsulinemic hypoglycemia
OMIM:310470,"Neuropathy, Hereditary Sensory, X-Linked",DOID:0050548,hereditary sensory neuropathy
OMIM:307800,"Hypophosphatemic Rickets, X-Linked Dominant",DOID:0050445,X-linked hypophosphatemia
OMIM:271930,"Striatonigral Degeneration, Infantile",DOID:4751,striatonigral degeneration
OMIM:615528,"Parkinson Disease 19, Juvenile-Onset",DOID:14330,Parkinson's disease
OMIM:202700,"Neutropenia, Severe Congenital, 1, Autosomal Dominant",DOID:0050590,severe congenital neutropenia
OMIM:158590,"Neuronopathy, Distal Hereditary Motor, Type Iia",DOID:0050582,distal hereditary motor neuropathy
OMIM:613307,"Deafness, Autosomal Recessive 79",DOID:0050565,autosomal recessive nonsyndromic deafness
OMIM:211600,"Cholestasis, Progressive Familial Intrahepatic, 1",DOID:1852,intrahepatic cholestasis
OMIM:612437,"Epilepsy, Progressive Myoclonic 1b",DOID:891,progressive myoclonus epilepsy
OMIM:602087,"Arrhythmogenic Right Ventricular Dysplasia, Familial, 4",DOID:0050431,arrhythmogenic right ventricular cardiomyopathy
OMIM:611913,"Chromosome 16p11.2 Deletion Syndrome, 593-Kb",DOID:12849,autistic disorder
OMIM:600156,"Hirschsprung Disease, Susceptibility To, 5",DOID:10426,Klippel-Feil syndrome
OMIM:113000,"Brachydactyly, Type B1",DOID:0050581,brachydactyly
OMIM:193100,"Hypophosphatemic Rickets, Autosomal Dominant",DOID:0050445,X-linked hypophosphatemia
OMIM:241200,"Bartter Syndrome, Antenatal, Type 2",DOID:445,Bartter disease
OMIM:613000,"Palmoplantar Keratoderma, Nonepidermolytic, Focal",DOID:0050428,nonepidermolytic palmoplantar keratoderma
OMIM:142623,"Hirschsprung Disease, Susceptibility To, 1",DOID:10487,Hirschsprung's disease
OMIM:614432,Ventricular Septal Defect 3,DOID:1657,ventricular septal defect
OMIM:220400,Jervell And Lange-Nielsen Syndrome 1,DOID:2842,Jervell-Lange Nielsen syndrome
OMIM:232240,Glycogen Storage Disease Ic,DOID:2749,glycogen storage disease I
OMIM:105650,Diamond-Blackfan Anemia 1,DOID:1339,Diamond-Blackfan anemia
OMIM:614099,Cranioectodermal Dysplasia 3,DOID:0080033,craniometaphyseal dysplasia
OMIM:606966,Nephronophthisis 4,DOID:12712,nephronophthisis
OMIM:210210,3-Methylcrotonyl-Coa Carboxylase 2 Deficiency,DOID:0050710,3-Methylcrotonyl-CoA carboxylase deficiency
OMIM:611880,"Cardiomyopathy, Dilated, 2a",DOID:12930,dilated cardiomyopathy
OMIM:266900,Senior-Loken Syndrome 1,DOID:0050576,Senior-Loken syndrome
OMIM:163500,"Night Blindness, Congenital Stationary, Autosomal Dominant 2",DOID:0050534,congenital stationary night blindness
OMIM:231000,"Gaucher Disease, Type Iii",DOID:1926,Gaucher's disease
OMIM:608474,"Myopia 5, Autosomal Dominant",DOID:11830,myopia
OMIM:212750,Celiac Disease,DOID:10608,celiac disease
OMIM:300125,"Migraine, Familial Typical, Susceptibility To, 2",DOID:0060178,familial hemiplegic migraine
OMIM:218700,"Hypothyroidism, Congenital, Nongoitrous, 2",DOID:0050328,congenital hypothyroidism
OMIM:193000,Vesicoureteral Reflux 1,DOID:9620,vesicoureteral reflux
OMIM:613751,"Heterotaxy, Visceral, 4, Autosomal",DOID:0050545,visceral heterotaxy
OMIM:615506,"Telangiectasia, Hereditary Hemorrhagic, Type 5",DOID:1270,hereditary hemorrhagic telangiectasia
OMIM:602086,"Arrhythmogenic Right Ventricular Dysplasia, Familial, 3",DOID:0050431,arrhythmogenic right ventricular cardiomyopathy
OMIM:614431,Ventricular Septal Defect 2,DOID:1657,ventricular septal defect
OMIM:600101,"Deafness, Autosomal Dominant 2a",DOID:0050564,autosomal dominant nonsyndromic deafness
OMIM:276900,"Usher Syndrome, Type I",DOID:0050439,Usher syndrome
OMIM:216400,Cockayne Syndrome A,DOID:2962,Cockayne syndrome
OMIM:612702,Hypogonadotropic Hypogonadism 6 With Or Without Anosmia,DOID:3614,Kallmann syndrome
OMIM:610247,"Esophagitis, Eosinophilic, 1",DOID:13922,eosinophilic esophagitis
OMIM:153670,"Bernard-Soulier Syndrome, Type A2, Autosomal Dominant",DOID:2217,Bernard-Soulier syndrome
OMIM:155720,"Melanoma, Uveal",DOID:6039,uveal melanoma
OMIM:151623,Li-Fraumeni Syndrome 1,DOID:3012,Li-Fraumeni syndrome
OMIM:614167,"Myopia 21, Autosomal Dominant",DOID:11830,myopia
OMIM:610651,"Xeroderma Pigmentosum, Complementation Group B",DOID:0050427,xeroderma pigmentosum
OMIM:613863,"Generalized Epilepsy With Febrile Seizures Plus, Type 7",DOID:0060170,generalized epilepsy with febrile seizures plus
OMIM:276901,"Usher Syndrome, Type Iia",DOID:0050439,Usher syndrome
OMIM:604348,"Advanced Sleep Phase Syndrome, Familial, 1",DOID:0050628,advanced sleep phase syndrome
OMIM:218300,Craniodiaphyseal Dysplasia,DOID:0080033,craniometaphyseal dysplasia
OMIM:613550,Nephronophthisis 11,DOID:12712,nephronophthisis
OMIM:300067,"Lissencephaly, X-Linked, 1",DOID:0050453,lissencephaly
OMIM:607841,"Deafness, Autosomal Dominant 48",DOID:0050564,autosomal dominant nonsyndromic deafness
OMIM:187550,"Thalassemia, Beta+, Silent Allele",DOID:12241,beta thalassemia
OMIM:218400,"Craniometaphyseal Dysplasia, Autosomal Recessive",DOID:0080033,craniometaphyseal dysplasia
OMIM:614087,"Fanconi Anemia, Complementation Group M",DOID:13636,Fanconi's anemia
OMIM:615112,Urofacial Syndrome 2,DOID:0050816,urofacial syndrome
OMIM:105600,"Anemia, Congenital Dyserythropoietic, Type Iii",DOID:1338,congenital dyserythropoietic anemia
OMIM:610628,Hypogonadotropic Hypogonadism 4 With Or Without Anosmia,DOID:3614,Kallmann syndrome
OMIM:230650,"Gm1-Gangliosidosis, Type Iii",DOID:3322,gangliosidosis GM1
OMIM:603902,"Beta-Thalassemia, Dominant Inclusion Body Type",DOID:12241,beta thalassemia
OMIM:179010,"Pyloric Stenosis, Infantile Hypertrophic, 1",DOID:12638,hypertrophic pyloric stenosis
OMIM:276902,"Usher Syndrome, Type Iiia",DOID:0050439,Usher syndrome
OMIM:607903,Hypotrichosis 6,DOID:4535,hypotrichosis
OMIM:614209,"Meckel Syndrome, Type 9",DOID:0050778,Meckel syndrome
OMIM:602097,"Usher Syndrome, Type Ie",DOID:0050439,Usher syndrome
OMIM:610951,"Ceroid Lipofuscinosis, Neuronal, 7",DOID:14503,neuronal ceroid lipofuscinosis
OMIM:179830,"Renal Tubular Acidosis, Proximal",DOID:14219,renal tubular acidosis
OMIM:253900,"Muscular Dystrophy, Congenital, Producing Arthrogryposis",DOID:0050557,congenital muscular dystrophy
OMIM:166800,Otosclerosis 1,DOID:12185,otosclerosis
OMIM:256731,"Ceroid Lipofuscinosis, Neuronal, 5",DOID:14503,neuronal ceroid lipofuscinosis
OMIM:300752,"Protoporphyria, Erythropoietic, X-Linked",DOID:13270,erythropoietic protoporphyria
OMIM:300696,"Myopathy, X-Linked, With Postural Muscle Atrophy",DOID:11726,Emery-Dreifuss muscular dystrophy
OMIM:162200,"Neurofibromatosis, Type I",DOID:8712,neurofibromatosis
OMIM:300849,"Mental Retardation, X-Linked 41",DOID:0050776,non-specific X-linked mental retardation
OMIM:614851,Seckel Syndrome 7,DOID:0050569,Seckel syndrome
OMIM:609622,Short Qt Syndrome 3,DOID:0050793,short QT syndrome
OMIM:252920,"Mucopolysaccharidosis, Type Iiib",DOID:12801,mucopolysaccharidosis III
OMIM:104500,"Amelogenesis Imperfecta, Type Ib",DOID:2187,amelogenesis imperfecta
OMIM:613849,"Osteogenesis Imperfecta, Type Xii",DOID:12347,osteogenesis imperfecta
OMIM:125700,"Diabetes Insipidus, Neurohypophyseal",DOID:12388,neurohypophyseal diabetes insipidus
OMIM:278730,"Xeroderma Pigmentosum, Complementation Group D",DOID:0050427,xeroderma pigmentosum
OMIM:300100,Adrenoleukodystrophy,DOID:10588,adrenoleukodystrophy
OMIM:607487,"Cardiomyopathy, Dilated, 1n",DOID:12930,dilated cardiomyopathy
OMIM:615544,Periventricular Nodular Heterotopia 6,DOID:0050454,periventricular nodular heterotopia
OMIM:600376,"Telangiectasia, Hereditary Hemorrhagic, Type 2",DOID:1270,hereditary hemorrhagic telangiectasia
OMIM:256730,"Ceroid Lipofuscinosis, Neuronal, 1",DOID:14503,neuronal ceroid lipofuscinosis
OMIM:605751,"Seizures, Benign Familial Infantile, 2",DOID:0060169,benign familial infantile epilepsy
OMIM:126200,"Multiple Sclerosis, Susceptibility To",DOID:2377,multiple sclerosis
OMIM:122470,Cornelia De Lange Syndrome 1,DOID:11725,Cornelia de Lange syndrome
OMIM:115210,"Cardiomyopathy, Familial Restrictive, 1",DOID:397,restrictive cardiomyopathy
OMIM:609621,Short Qt Syndrome 2,DOID:0050793,short QT syndrome
OMIM:603909,"Autoimmune Lymphoproliferative Syndrome, Type Iia",DOID:6688,autoimmune lymphoproliferative syndrome
OMIM:600962,"Palmoplantar Keratoderma, Nonepidermolytic",DOID:0050428,nonepidermolytic palmoplantar keratoderma
OMIM:615285,"Neutropenia, Severe Congenital, 5, Autosomal Recessive",DOID:0050590,severe congenital neutropenia
OMIM:613848,"Osteogenesis Imperfecta, Type X",DOID:12347,osteogenesis imperfecta
OMIM:113300,"Brachydactyly, Type E1",DOID:0050581,brachydactyly
OMIM:605479,"Cholestasis, Benign Recurrent Intrahepatic, 2",DOID:1852,intrahepatic cholestasis
OMIM:605389,Hypotrichosis 1,DOID:4535,hypotrichosis
OMIM:276904,"Usher Syndrome, Type Ic",DOID:0050439,Usher syndrome
OMIM:310490,Cowchock Syndrome,DOID:0050542,Charcot-Marie-Tooth disease type X
OMIM:612225,"Maturity-Onset Diabetes Of The Young, Type 9",DOID:0050524,maturity-onset diabetes of the young
OMIM:610329,Aicardi-Goutieres Syndrome 3,DOID:0050629,Aicardi-Goutieres syndrome
OMIM:222300,Wolfram Syndrome 1,DOID:10632,Wolfram syndrome
OMIM:609634,"Migraine, Familial Hemiplegic, 3",DOID:0060178,familial hemiplegic migraine
OMIM:614227,"Hyperuricemic Nephropathy, Familial Juvenile, 3",DOID:0060062,familial juvenile hyperuricemic nephropathy
OMIM:607745,"Seizures, Benign Familial Infantile, 3",DOID:0060169,benign familial infantile epilepsy
OMIM:201810,"3-Beta-Hydroxysteroid Dehydrogenase, Type Ii, Deficiency Of",DOID:0050811,congenital adrenal hyperplasia
OMIM:601553,"Hypotrichosis, Congenital, With Juvenile Macular Dystrophy",DOID:4535,hypotrichosis
OMIM:609813,"Spondylocostal Dysostosis 3, Autosomal Recessive",DOID:0050568,spondylocostal dysostosis
OMIM:607594,"Immunodeficiency, Common Variable, 1",DOID:12177,common variable immunodeficiency
OMIM:610168,Loeys-Dietz Syndrome 2,DOID:0050466,Loeys-Dietz syndrome
OMIM:607822,Alzheimer Disease 3,DOID:10652,Alzheimer's disease
OMIM:600794,"Neuronopathy, Distal Hereditary Motor, Type Va",DOID:0050582,distal hereditary motor neuropathy
OMIM:125850,"Maturity-Onset Diabetes Of The Young, Type 1",DOID:0050524,maturity-onset diabetes of the young
OMIM:305450,Opitz-Kaveggia Syndrome,DOID:14711,FG syndrome
OMIM:613707,Leopard Syndrome 3,DOID:14291,LEOPARD syndrome
OMIM:605588,"Charcot-Marie-Tooth Disease, Axonal, Type 2b1",DOID:0050539,Charcot-Marie-Tooth disease type 2
OMIM:113200,"Brachydactyly, Type D",DOID:0050581,brachydactyly
OMIM:613981,Hypotrichosis 3,DOID:4535,hypotrichosis
OMIM:258100,Oguchi Disease 1,DOID:8498,hereditary night blindness
OMIM:256370,"Nephrotic Syndrome, Type 4",DOID:1184,nephrotic syndrome
OMIM:232200,Glycogen Storage Disease Ia,DOID:2749,glycogen storage disease I
OMIM:613873,"Cardiomyopathy, Familial Hypertrophic, 17",DOID:11984,hypertrophic cardiomyopathy
OMIM:614335,"Arthrogryposis, Distal, Type 1b",DOID:0050646,distal arthrogryposis
OMIM:608367,"Myopia 17, Autosomal Dominant",DOID:11830,myopia
OMIM:605589,"Charcot-Marie-Tooth Disease, Axonal, Type 2b2",DOID:0050539,Charcot-Marie-Tooth disease type 2
OMIM:613412,"Esophagitis, Eosinophilic, 2",DOID:13922,eosinophilic esophagitis
OMIM:109720,"Biliary Cirrhosis, Primary, 1",DOID:12236,primary biliary cirrhosis
OMIM:253280,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A, 3",DOID:0050560,Walker-Warburg syndrome
OMIM:607482,"Cardiomyopathy, Dilated, 1m",DOID:12930,dilated cardiomyopathy
OMIM:610099,"Myopathy, Distal, 3",DOID:11720,distal muscular dystrophy
OMIM:612653,"Spherocytosis, Type 4",DOID:12971,hereditary spherocytosis
OMIM:600625,Orofacial Cleft 11,DOID:0050567,orofacial cleft
OMIM:252940,"Mucopolysaccharidosis, Type Iiid",DOID:12801,mucopolysaccharidosis III
OMIM:204650,"Amelogenesis Imperfecta, Type Ic",DOID:2187,amelogenesis imperfecta
OMIM:180849,Rubinstein-Taybi Syndrome 1,DOID:1933,Rubinstein-Taybi syndrome
OMIM:160300,"Myopathy, Distal, With Onset In Infancy",DOID:11720,distal muscular dystrophy
