cls,def,xrefs
UBERON:0004637,,
UBERON:0002580,,
UBERON:0001359,,
CL:0002381,,
UBERON:2001243,,
UBERON:0003268,,
UBERON:0000396,,
HP:0010588,,
UBERON:0004221,,
UBERON:0004638,,
HP:0100240,,
DOID:13481,An osteochondrodysplasia that results_in short arms and legs with excess folds of skin.,ICD10CM:Q77.1 NCI:C85187 ORDO:93275 MSH:D013796 ORDO:93274 ORDO:2655 SNOMEDCT_2010_1_31:29352008 OMIM:187601 ORDO:1860 OMIM:187600 OMIM:273680 UMLS_CUI:C0039743
DOID:4047,A rhabdomyosarcoma and sarcoma of liver that are located_in the liver.,NCI:C5834 UMLS_CUI:C1333975
DOID:4211,,UMLS_CUI:C1335448 NCI:C6775
CL:0000948,,
UBERON:0003055,,
CL:0002380,,
UBERON:0004636,,
DOID:98,,SNOMEDCT_2010_1_31:187342006 UMLS_CUI:C0038160 MSH:D013203 SNOMEDCT_2010_1_31:56038003 NCI:C35038
DOID:8623,,UMLS_CUI:C0154935 ICD9CM:364.74
UBERON:0000395,,
UBERON:0003269,,
UBERON:2001242,,
HP:0010587,,
UBERON:0009739,,
UBERON:0004220,,
DOID:5496,,UMLS_CUI:C0855071 NCI:C8826
HP:0004804,,
HP:0003429,,
HP:0012339,,
UBERON:0003052,,
CL:0000947,,
HP:0012338,,
DOID:1845,"A Rhabditida infectious disease that involves parasitic infection of gastrointestinal tracts of ruminants, horses, cats, dogs, swine and humans by nematodes belonging to the suborder Strongylida.",UMLS_CUI:C0162637 MSH:D017206
UBERON:0000398,,
CL:0002383,,
UBERON:2001241,,
UBERON:0014450,,
DOID:8620,,SNOMEDCT_2010_1_31:95225003 ICD9CM:200.06 SNOMEDCT_2010_1_31:188494006 UMLS_CUI:C0153701
UBERON:0004635,,
HP:0000660,,
DOID:5495,,UMLS_CUI:C1334801 NCI:C6534
HP:0100242,,
DOID:1941,,UMLS_CUI:C0152214 ICD9CM:378.24 SNOMEDCT_2010_1_31:59320006 SNOMEDCT_2010_1_31:194104000
HP:0002039,,
UBERON:0003053,,
CL:0000946,,
HP:0012337,,
HP:0004684,,
HP:0003427,,
DOID:7694,,UMLS_CUI:C1511204 NCI:C39843
UBERON:2001240,,
UBERON:0000397,,
CL:0002382,,
UBERON:0003267,,
UBERON:0004634,,
DOID:5494,,NCI:C4278 SNOMEDCT_2010_1_31:56422000 UMLS_CUI:C0334506
DOID:1942,,SNOMEDCT_2010_1_31:194105004 SNOMEDCT_2010_1_31:246734002 UMLS_CUI:C0152210 ICD9CM:378.2 SNOMEDCT_2010_1_31:74025007 ICD9CM:378.20
HP:0100241,,
DOID:12888,"An ornithosis involving Chlamydophila psittaci infection, contracted by inhaling dust from the feathers or the waste of infected birds. The symptoms include fever, chills, fatigue, and loss of appetite. A cough develops, which is initially dry but later brings up greenish sputum.",SNOMEDCT_2010_1_31:186654009 SNOMEDCT_2010_1_31:195901002 ICD9CM:073.0 UMLS_CUI:C0153099 SNOMEDCT_2010_1_31:81164001
_:b29,,
UBERON:0004222,,
HP:0008598,,
HP:0100245,,
UBERON:0009737,,
DOID:3081,,SNOMEDCT_2010_1_31:399882002 SNOMEDCT_2010_1_31:40225001 MSH:D018191 UMLS_CUI:C0206620 NCI:C3724 SNOMEDCT_2010_1_31:423984004
CL:0000712,,
CL:0000938,,
HP:0004814,,
NCBITaxon:43738,,
HP:0002035,,
UBERON:0001346,,
UBERON:0004424,,
HP:0012088,,
DOID:5055,,UMLS_CUI:C1332901 NCI:C7372
UBERON:0009738,,
HP:0010574,,
HP:0100246,,
DOID:3082,,SNOMEDCT_2010_1_31:233703007 SNOMEDCT_2010_1_31:64667001 MSH:D017563 UMLS_CUI:C0206062
UBERON:0004223,,
HP:0002036,,
HP:0012089,,
CL:0000713,,
HP:0004813,,
UBERON:0003262,,
DOID:3083,,SNOMEDCT_2010_1_31:195948000 UMLS_CUI:C0024117 SNOMEDCT_2010_1_31:196003006 SNOMEDCT_2010_1_31:155617000 SNOMEDCT_2010_1_31:13645005 SNOMEDCT_2010_1_31:155585005 NCI:C3199 SNOMEDCT_2010_1_31:195935004 SNOMEDCT_2010_1_31:155569000 EFO:0000341 SNOMEDCT_2010_1_31:155565006 MSH:D029424 SNOMEDCT_2010_1_31:413846005
CL:0000939,,
UBERON:0004425,,
HP:0010571,,
UBERON:0009735,,
UBERON:0011415,,
DOID:5056,,UMLS_CUI:C1332197 NCI:C5968
HP:0100243,,
UBERON:0004010,,
HP:0008596,,
UBERON:0009141,,
DOID:520,An artery disease that is characterized by degeneration of the cells composing the aortic wall.,MSH:D001018 UMLS_CUI:C0003493 SNOMEDCT_2010_1_31:47040006
UBERON:0004224,,
HP:0100729,,
HP:0002037,,
UBERON:0003265,,
DOID:8639,,UMLS_CUI:C0001957 ICD9CM:291.0 SNOMEDCT_2010_1_31:154853008 SNOMEDCT_2010_1_31:8635005 MSH:D000430 SNOMEDCT_2010_1_31:192211007
HP:0004812,,
DOID:82,,NCI:C34833 UMLS_CUI:C0027128 SNOMEDCT_2010_1_31:64741003 ICD9CM:366.43
UBERON:0004426,,
HP:0012086,,
UBERON:0001344,,
DOID:0080008,A bone disease that results_in an interruption of blood supply located_in bone.,
DOID:5057,,UMLS_CUI:C1332902 NCI:C5270
HP:0100244,,
UBERON:0009736,,
UBERON:0004011,,
UBERON:0009142,,
UBERON:0004225,,
HP:0100728,,
DOID:8638,,SNOMEDCT_2010_1_31:93493001 SNOMEDCT_2010_1_31:188556009 ICD9CM:201.43 UMLS_CUI:C0153754
CL:0000715,,
UBERON:0003264,,
HP:0002038,,
UBERON:0001343,,
UBERON:0004427,,
DOID:11079,"A parasitic ectoparasitic infectious disease that involves parasitic infestation by members of the subclass Hirudinea. The leeches remain attached to their hosts and feed on blood until they become full, at which point they fall off to digest. While feeding, they release an anesthetic and use a combination of mucus and suction to stay attached and secrete an anti-clotting enzyme, hirudin, into the host's blood stream.",SNOMEDCT_2010_1_31:64351000 UMLS_CUI:C0019575 SNOMEDCT_2010_1_31:266225001 SNOMEDCT_2010_1_31:154423006 ICD9CM:134.2
UBERON:0005800,,
HP:0012087,,
DOID:83,,SNOMEDCT_2010_1_31:193620000 ICD9CM:366.8 SNOMEDCT_2010_1_31:193622008 MSH:D002386 UMLS_CUI:C0029531
UBERON:0004226,,
UBERON:0009733,,
HP:0100249,,
UBERON:0004429,,
UBERON:0004012,,
DOID:5888,,SNOMEDCT_2010_1_31:204966004 UMLS_CUI:C0311245 SNOMEDCT_2010_1_31:156973002 SNOMEDCT_2010_1_31:236440007 ICD9CM:753.10 SNOMEDCT_2010_1_31:268332003 SNOMEDCT_2010_1_31:204954005 ICD9CM:753.1 SNOMEDCT_2010_1_31:82525005
UBERON:0005808,,
UBERON:0003037,,
UBERON:0001342,,
HP:0002031,,
UBERON:0004428,,
DOID:0050492,,
UBERON:3000648,,
HP:0005792,,
DOID:10155,A gastrointestinal system cancer that is located_in the intestine.,MSH:D007414 ICD9CM:159.0 SNOMEDCT_2010_1_31:93838000 SNOMEDCT_2010_1_31:187819006 SNOMEDCT_2010_1_31:363508008 SNOMEDCT_2010_1_31:190089002 NCI:C4572 UMLS_CUI:C0346627
HP:0004810,,
HP:0000679,,
HP:0200048,,
CL:0000716,,
HP:0010570,,
UBERON:0004227,,
UBERON:0009140,,
UBERON:0004013,,
UBERON:0005807,,
DOID:0050841,A focal dystonia that affects a single muscle or small group of muscles in the hand resulting from involuntary muscular contractions.,SNOMEDCT_2010_1_31:79994003 MSH:D020821 SNOMEDCT_2010_1_31:267690000 SNOMEDCT_2010_1_31:52008007 UMLS_CUI:C0154676 SNOMEDCT_2010_1_31:155009007 ICD9CM:333.84
DOID:7930,,UMLS_CUI:C1515305 NCI:C39926
UBERON:0009734,,
DOID:5889,,MSH:D004806 UMLS_CUI:C0280788 SNOMEDCT_2010_1_31:21589007 NCI:C4049 SNOMEDCT_2010_1_31:134172003
UBERON:0003036,,
HP:0005033,,
HP:0002032,,
DOID:5050,,UMLS_CUI:C0007125 MSH:D002286
UBERON:0001341,,
UBERON:3000649,,
HP:0200047,,
CL:0000717,,
HP:0005793,,
UBERON:0004014,,
UBERON:0004228,,
UBERON:0009731,,
HP:0000677,,
DOID:5886,,UMLS_CUI:C1336717 NCI:C6352
UBERON:0005806,,
HP:0100247,,
HP:0002033,,
UBERON:2000372,,
UBERON:0003039,,
DOID:12716,"A respiratory failure that is characterized by deficiency of the surfactant coating the inner surface of the lungs, by failure of the lungs to expand and contract properly during breathing with resulting collapse, and by the accumulation of a protein-containing film lining the alveoli and their ducts.",SNOMEDCT_2010_1_31:206281003 SNOMEDCT_2010_1_31:26168007 UMLS_CUI:C0020192 MSH:D006819 OMIM:267450 SNOMEDCT_2010_1_31:46775006
UBERON:2001012,,
UBERON:0003261,,
CL:0000718,,
HP:0005790,,
UBERON:0001340,,
UBERON:3000646,,
UBERON:0004229,,
UBERON:0004015,,
UBERON:0009732,,
HP:0000678,,
DOID:5053,,UMLS_CUI:C0282677 MSH:D019121
DOID:0050184,"A Measles virus infectious disease that results_in inflammation located_in brain, has_material_basis_in Measles virus, which is transmitted_by contact with oronasal secretions, or semen of an infected person. The infection has_symptom headache, has_symptom irritability, has_symptom drowsiness, has_symptom abnormal reflexes, has_symptom involuntary movements, has_symptom hemiplagia, has_symptom ataxia, has_symptom nystagmus, and has_symptom dysphasia.",SNOMEDCT_2010_1_31:111872008 SNOMEDCT_2010_1_31:154339003 ICD9CM:055.0 UMLS_CUI:C0153048 SNOMEDCT_2010_1_31:230178009 SNOMEDCT_2010_1_31:186557008
HP:0100248,,
UBERON:0005805,,
DOID:0050493,,
UBERON:2000371,,
HP:0002034,,
UBERON:2001013,,
CL:0000719,,
UBERON:0003038,,
UBERON:0003260,,
HP:0200049,,
HP:0005791,,
UBERON:3000647,,
DOID:13602,,UMLS_CUI:C0154360 ICD9CM:295.41
HP:0200044,,
UBERON:0000948,,
UBERON:0008198,,
UBERON:0012116,,
UBERON:2001014,,
DOID:1323,,ICD9CM:162 SNOMEDCT_2010_1_31:187852000 UMLS_CUI:C0153488
UBERON:2001229,,
DOID:7933,,UMLS_CUI:C1332997 NCI:C5640
DOID:5884,,UMLS_CUI:C1337012 NCI:C7635
DOID:4743,A mixed germ cell cancer that is located_in the testis.,NCI:C6347 UMLS_CUI:C1336720
HP:0100723,,
DOID:12802,A mucopolysaccharidosis characterized by a deficiency of the lysosomal enzyme alpha-L-iduronidase.,OMIM:607016 SNOMEDCT_2010_1_31:190938004 OMIM:607014 SNOMEDCT_2010_1_31:75610003 OMIM:607015 UMLS_CUI:C0023786 NCI:C85053 SNOMEDCT_2010_1_31:267453008 MSH:D008059
UBERON:0010030,,
UBERON:0004857,,
DOID:2848,,UMLS_CUI:C0025193 SNOMEDCT_2010_1_31:35489007 NCI:C34812 MSH:D003866
HP:0003440,,
HP:0012081,,
UBERON:4200110,,
HP:0200043,,
UBERON:0012117,,
UBERON:2001015,,
UBERON:2000373,,
UBERON:0000949,,
UBERON:0012118,,
HP:0012080,,
DOID:13564,"An opportunistic mycosis that involves a spectrum of diseases of humans and animals caused by members of the genus Aspergillus infecting lungs, brain, kidney,heart, bone, eyes, sinuses, skin and gastrointestinal tract. It is a serious illnesses in people with a weakened immune system.",ICD10CM:B44 SNOMEDCT_2010_1_31:266218008 SNOMEDCT_2010_1_31:154408001 UMLS_CUI:C0004030 NCI:C2886 SNOMEDCT_2010_1_31:65553006 MSH:D001228 SNOMEDCT_2010_1_31:187087004 ICD9CM:117.3 SNOMEDCT_2010_1_31:187492008 CSP:1988-4002
DOID:14125,,SNOMEDCT_2010_1_31:126972009 UMLS_CUI:C1263898 NCI:C5826
DOID:417,An immune system disease that is an overactive immune response of the body against substances and tissues normally present in the body resulting from an abnormal functioning of the immune system that results in the production of antibodies or T cell directed against the host tissues.,MSH:D001327 ICD9CM:720 UMLS_CUI:C0003089
DOID:0050475,"An autosomal genetic disease characterized_by short stature, bachycephaly and other facial abnormalities, brachydactyly, joint stiffness and distinctive ocular abnormalities.",MSH:D056846 ICD9CM:759.89 OMIM:277600 ORDO:3449 OMIM:608328 OMIM:614819 OMIM:613195
UBERON:0004858,,
HP:0200046,,
UBERON:0009149,,
NCBITaxon:42862,,
HP:0005794,,
NCBITaxon:69474,,
DOID:7252,,ICD9CM:192.1 UMLS_CUI:C0153645 SNOMEDCT_2010_1_31:93747000 SNOMEDCT_2010_1_31:188316008 SNOMEDCT_2010_1_31:363474009
UBERON:2001016,,
UBERON:0000946,,
UBERON:4200111,,
DOID:5629,A colon carcinoma that derives_from squamous cells and gland-like cells.,UMLS_CUI:C1333082 NCI:C5491
UBERON:2000376,,
DOID:0050188,"An Enterovirus infectious disease that involves inflammation located_in brain, has_material_basis_in group A coxsackievirus or has_material_basis_in group B coxsackievirus, which are transmitted_by ingestion of food contaminated with feces, transmitted_by contact with pharyngeal secretions, or transmitted_by droplet spread of oronasal secretions. The infection has_symptom reduced level of consciousness, has_symptom confusion, has_symptom irritability, has_symptom seizures, and has_symptom coma.",
UBERON:0012119,,
UBERON:2001017,,
HP:0100721,,
UBERON:0004859,,
DOID:7931,,UMLS_CUI:C1335106 NCI:C27918
UBERON:4200112,,
UBERON:0008199,,
UBERON:0000947,,
UBERON:2000375,,
UBERON:0005809,,
UBERON:2001018,,
NCBITaxon:11604,,
HP:0100720,,
DOID:6438,,SNOMEDCT_2010_1_31:255021005 UMLS_CUI:C0346388 NCI:C4561
HP:0012084,,
HP:0008593,,
DOID:0050763,"A syndrome that is characterized by congenital joint contractures, renal tubular dysfunction, cholestasis, severe failure to thrive, ichthyosis, and a defect in platelet alpha-granule biogenesis, caused_by homozygous or compound heterozygous mutation located_in VPS33B gene.",OMIM:613404 OMIM:208085
UBERON:0010033,,
HP:0200040,,
HP:0100727,,
DOID:3086,,UMLS_CUI:C0376480 MSH:D019214 SNOMEDCT_2010_1_31:54711002 SNOMEDCT_2010_1_31:271083000 SNOMEDCT_2010_1_31:196375006
UBERON:0004420,,
UBERON:2001019,,
UBERON:0008194,,
DOID:5058,,SNOMEDCT_2010_1_31:128840000 SNOMEDCT_2010_1_31:399469000 NCI:C3904 UMLS_CUI:C0259786 SNOMEDCT_2010_1_31:57606003 NCI:C6909 MSH:D008579
UBERON:2000379,,
UBERON:0004421,,
UBERON:0000945,,
DOID:4837,A syndrome that is characterized by bone loss (osteolysis) which is often associated with swelling or abnormal blood vessel growth (angiomatous proliferation). Bone loss can occur in just one bone or spread to soft tissue and adjacent bones.,UMLS_CUI:C0029436 SNOMEDCT_2010_1_31:240161003 MSH:D010015
UBERON:0010034,,
HP:0012085,,
HP:0100726,,
DOID:3087,,SNOMEDCT_2010_1_31:196358000 SNOMEDCT_2010_1_31:72621003 NCI:C34474 SNOMEDCT_2010_1_31:196355002 ICD9CM:523.1 SNOMEDCT_2010_1_31:66383009 SNOMEDCT_2010_1_31:266490003 UMLS_CUI:C0155937 UMLS_CUI:C0008684 UMLS_CUI:C0017574 SNOMEDCT_2010_1_31:155644005 SNOMEDCT_2010_1_31:234990002 SNOMEDCT_2010_1_31:31642005 SNOMEDCT_2010_1_31:155643004
DOID:13605,,UMLS_CUI:C0154361 ICD9CM:295.42
NCBITaxon:7509,,
DOID:7938,,SNOMEDCT_2010_1_31:16535008 OMIM:166000 SNOMEDCT_2010_1_31:254143008 NCI:C34556 MSH:D010009 SNOMEDCT_2010_1_31:268274005 SNOMEDCT_2010_1_31:205471005 UMLS_CUI:C0013366 SNOMEDCT_2010_1_31:205469005
DOID:0050631,An X-linked disease that is caused by mutation in the gene encoding the monocarboxylate transporter-8 which alters the structure and function of the SLC16A2 protein which is then unable to transport the thyroid triiodothyronine (T3) hormone into nerve cells of the developing brain affecting normal brain development resulting in intellectual disability and problems with movement.,OMIM:300523
UBERON:0008193,,
DOID:1474,A periodontitis that is characterized by rapid attachment loss and bone destruction in the presence of little local factors such as dental plaque and dental calculus resulting in inflammation and a loss of periodontium.,SNOMEDCT_2010_1_31:2624008 OMIM:608526 SNOMEDCT_2010_1_31:49965002 OMIM:170650 UMLS_CUI:C0031106 MSH:D010520
DOID:14121,,UMLS_CUI:C0242645 MSH:D018438
DOID:5059,,UMLS_CUI:C1332959 NCI:C5970
UBERON:0010031,,
DOID:2312,"An opportunistic bacterial infectious disease that results_in disseminated infection in immunocompromised hosts, has_material_basis_in Nocardia asteroides. The infection has_symptom pneumonia, has_symptom cellulitis, has_symptom lesions in the brain or meninges, and has_symptom ascending regional lymphadenopathy.",SNOMEDCT_2010_1_31:187337003 MSH:C536125 UMLS_CUI:C0028242 SNOMEDCT_2010_1_31:186404005 SNOMEDCT_2010_1_31:29227009 MSH:D009617
HP:0008591,,
HP:0012082,,
DOID:7256,,UMLS_CUI:C1336867 NCI:C6168
HP:0200042,,
HP:0005798,,
UBERON:0004422,,
UBERON:0000942,,
DOID:13604,,UMLS_CUI:C0154363 ICD9CM:295.44
HP:0100725,,
UBERON:0009145,,
CL:0000710,,
DOID:13778,"A primary bacterial infectious disease that is a sexually transmitted infection located_in skin of the genitals, has_material_basis_in Haemophilus ducreyi, which is transmitted_by sexual contact. The infection has_symptom painful and soft ulcers.",UMLS_CUI:C0007947 SNOMEDCT_2010_1_31:87429008 SNOMEDCT_2010_1_31:154391003 ICD9CM:099.0 SNOMEDCT_2010_1_31:186945008 MSH:D002602 SNOMEDCT_2010_1_31:266213004 SNOMEDCT_2010_1_31:266143009
UBERON:0000941,,
NCBITaxon:27973,,
UBERON:0008196,,
HP:0200041,,
UBERON:0010032,,
HP:0012083,,
UBERON:0004423,,
DOID:1107,A esophageal cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.,EFO:0002916 SNOMEDCT_2010_1_31:372138000 SNOMEDCT_2010_1_31:93785002 SNOMEDCT_2010_1_31:255079005 NCI:C3513 UMLS_CUI:C0152018 SNOMEDCT_2010_1_31:154441003
DOID:13603,,SNOMEDCT_2010_1_31:155832005 SNOMEDCT_2010_1_31:197452009 SNOMEDCT_2010_1_31:44018007 SNOMEDCT_2010_1_31:266545005 UMLS_CUI:C0022354 NCI:C34742 SNOMEDCT_2010_1_31:59848001 MSH:D041781
CL:0000711,,
HP:0100724,,
DOID:3089,,UMLS_CUI:C0436545 SNOMEDCT_2010_1_31:50390006 NCI:C27162
DOID:7936,,UMLS_CUI:C0854859 NCI:C8696
NCBITaxon:11608,,
DOID:2842,,OMIM:220400 MSH:C537570 MSH:D029593 OMIM:612347 NCI:C84793 SNOMEDCT_2010_1_31:373905003 UMLS_CUI:C0022387 SNOMEDCT_2010_1_31:49518001
UBERON:0008195,,
NCBITaxon:135625,,
UBERON:0010039,,
DOID:6432,,UMLS_CUI:C0020542 NCI:C3120 SNOMEDCT_2010_1_31:266293003 MSH:D006976 SNOMEDCT_2010_1_31:155328008 SNOMEDCT_2010_1_31:70995007
HP:0100670,,
UBERON:4200107,,
DOID:0050908,"A bone marrow cancer that is characterized by under production of white blood cells, red blood cells and platelets.",MSH:D009190 ICD10:D46 ICD9:238.7
DOID:11971,A dysostosis that results_in abnormal fusing of adjacent bones.,UMLS_CUI:C0039093 MSH:D013580
HP:0100940,,
CL:0002399,,
HP:0003436,,
UBERON:0000382,,
UBERON:2001233,,
UBERON:0010038,,
HP:0008372,,
UBERON:0000951,,
UBERON:4200106,,
HP:0010149,,
HP:0100941,,
HP:0003435,,
CL:0002398,,
UBERON:0000381,,
UBERON:2001232,,
DOID:4209,,UMLS_CUI:C1332612 NCI:C5295
HP:0008371,,
DOID:8193,,UMLS_CUI:C1515310 NCI:C39928
DOID:8781,"A viral infectious disease that results_in infection located_in skin, has_material_basis_in Rubella virus, which is transmitted_by droplet spread of oronasal secretions from the infected person through coughing and sneezing, and transmitted_by congenital method. The infection has_symptom rash on the face which spreads to the trunk and limbs, has_symptom fever, has_symptom lymphadenopathy, has_symptom joint pains, has_symptom headache, and has_symptom conjunctivitis.",SNOMEDCT_2010_1_31:36653000 NCI:C85051 SNOMEDCT_2010_1_31:154343004 ICD9CM:056 UMLS_CUI:C0035920 MSH:D012409 SNOMEDCT_2010_1_31:266192003
DOID:7814,"A Cytomegalovirus infectious disease that results_in infection, located_in colon, has_material_basis_in Human herpesvirus 5, which results_in_formation_of ulcer, has_symptom watery or bloody diarrhea, has_symptom abdominal pain, has_symptom fever, and has_symptom weight loss.",UMLS_CUI:C0948037 NCI:C35660
UBERON:0000950,,
UBERON:0012260,,
UBERON:0007681,,
UBERON:4200109,,
HP:0010148,,
DOID:13198,,MSH:D006043 SNOMEDCT_2010_1_31:267369002 SNOMEDCT_2010_1_31:190316007 NCI:C35023 SNOMEDCT_2010_1_31:190234009 SNOMEDCT_2010_1_31:56805008 ICD9CM:240.0 SNOMEDCT_2010_1_31:271949009 SNOMEDCT_2010_1_31:190319000 SNOMEDCT_2010_1_31:191043000 UMLS_CUI:C0018022
DOID:5480,,UMLS_CUI:C1335157 NCI2009_04D:C27287
DOID:7928,,UMLS_CUI:C1377904 NCI:C9077
CL:0002397,,
HP:0003438,,
DOID:7685,,UMLS_CUI:C1518873 NCI:C41251
DOID:6180,"A Cytomegalovirus infectious disease that results_in inflammation located_in stomach lining, has_material_basis_in Human herpesvirus 5, has_symptom dyspepsia, and has_symptom nausea and vomiting.",UMLS_CUI:C0877117 NCI:C27217 SNOMEDCT_2010_1_31:429300008
UBERON:0004851,,
UBERON:0010036,,
UBERON:0012111,,
HP:0012340,,
UBERON:2001235,,
DOID:8192,,UMLS_CUI:C0278734 NCI:C9054
UBERON:4200108,,
DOID:14118,,SNOMEDCT_2010_1_31:34171006 SNOMEDCT_2010_1_31:275598004 UMLS_CUI:C0023817 SNOMEDCT_2010_1_31:403827000 MSH:C536843 SNOMEDCT_2010_1_31:267435002 MSH:D008072 SNOMEDCT_2010_1_31:238039006 ICD9CM:272.3 NCI:C84771 SNOMEDCT_2010_1_31:190781009 SNOMEDCT_2010_1_31:238086005 OMIM:238600
HP:0010147,,
DOID:7927,,UMLS_CUI:C0279707 SNOMEDCT_2010_1_31:128708008 NCI:C7999
DOID:7684,,UMLS_CUI:C1334642 NCI:C6240
UBERON:0004850,,
DOID:3262,A primary immunodeficiency disease where phagocytes have a diminished ability to fight bacterial infection.,UMLS_CUI:C0031306 MSH:D010585
UBERON:0012110,,
UBERON:2001234,,
NCBITaxon:131221,,
CL:0002396,,
DOID:0060115,An organ system benign neoplasm that is located_in the central nervous system or located_in the peripheral nervous system.,
HP:0010146,,
DOID:14117,,UMLS_CUI:C0678189 ICD9CM:272.0 SNOMEDCT_2010_1_31:154740003 SNOMEDCT_2010_1_31:190778004 SNOMEDCT_2010_1_31:190772003 SNOMEDCT_2010_1_31:267432004 SNOMEDCT_2010_1_31:190774002 SNOMEDCT_2010_1_31:267500001
HP:0100674,,
UBERON:0012262,,
UBERON:0007683,,
DOID:8195,,UMLS_CUI:C1515306 NCI:C39931
DOID:7262,,UMLS_CUI:C0279653 NCI:C9167
DOID:0060132,"An agnosia that is a loss of the ability to recognize musical notes, rhythms, and intervals.",
UBERON:4200102,,
DOID:7263,,UMLS_CUI:C0398695 SNOMEDCT_2010_1_31:234541006 NCI:C27144
DOID:13335,"A toxoplasmosis that involves inflammation of the liver caused by the protozoan Toxoplasma gondii, which results in jaundice.",SNOMEDCT_2010_1_31:197349000 UMLS_CUI:C0400895 ICD9CM:130.5 SNOMEDCT_2010_1_31:187197006
UBERON:0012113,,
HP:0012342,,
UBERON:0002598,,
HP:0100944,,
DOID:14116,,MSH:D008069 SNOMEDCT_2010_1_31:254832003 OMIM:151800 SNOMEDCT_2010_1_31:63746001 SNOMEDCT_2010_1_31:63365006 UMLS_CUI:C0024445 SNOMEDCT_2010_1_31:190800002 NCI:C4392
HP:0010145,,
HP:0100673,,
HP:0008376,,
UBERON:0012261,,
DOID:8194,,UMLS_CUI:C1370832 NCI:C9046
UBERON:2001237,,
UBERON:4200101,,
DOID:4205,,UMLS_CUI:C0007762 SNOMEDCT_2010_1_31:363472008 UMLS_CUI:C0153640 NCI:C2935 MSH:D002528 SNOMEDCT_2010_1_31:126960003 SNOMEDCT_2010_1_31:154548007
UBERON:0012112,,
UBERON:2001236,,
DOID:2030,"A cognitive disorder that involves an excessive, irrational dread of everyday situations.",UMLS_CUI:C0154455 SNOMEDCT_2010_1_31:197480006 MSH:D001008 SNOMEDCT_2010_1_31:65673007 UMLS_CUI:C0003469 NCI:C2878 SNOMEDCT_2010_1_31:191703000 SNOMEDCT_2010_1_31:192405006
HP:0003431,,
HP:0012341,,
UBERON:0002597,,
HP:0100945,,
UBERON:0004852,,
HP:0100942,,
HP:0100672,,
HP:0010144,,
UBERON:0007685,,
UBERON:4200105,,
UBERON:2105225,,
DOID:5275,A gallbladder sarcoma that is located_in the gallbladder.,NCI:C5841 UMLS_CUI:C1333746
DOID:3211,An inherited metabolic disorder that involve an abnormal accumulation of substances inside the lysosome resulting from defects in lysosomal function.,MSH:D016464 UMLS_CUI:C0085078 NCI:C61250 SNOMEDCT_2010_1_31:23585005
DOID:8197,,UMLS_CUI:C1518701 NCI:C40001
DOID:7689,,NCI:C8312 SNOMEDCT_2010_1_31:78303004 UMLS_CUI:C1384416
DOID:14402,,UMLS_CUI:C0393851 SNOMEDCT_2010_1_31:230594005 ICD9CM:357.82 MSH:D011115
DOID:4206,,UMLS_CUI:C1332951 NCI:C5969
UBERON:0004641,,
UBERON:0012115,,
UBERON:0014468,,
HP:0012344,,
HP:0003434,,
HP:0010143,,
DOID:0050666,"A fetal alcohol spectrum disorder that results in most, but not all, of the growth deficiency and/or craniofacial features of fetal alcohol syndrome including central nervous system dysfunction due to prenatal alcohol exposure.",
HP:0100943,,
DOID:0050448,A skin disease characterized_by a defect in the normal process of keratinization of the mucosa.,OMIM:615785 OMIM:193900 MSH:D053529 ICD9CM:750.26 ORDO:171723 ICD10CM:Q38.6
UBERON:4200104,,
UBERON:0007684,,
UBERON:2001239,,
HP:0100671,,
DOID:14114,,SNOMEDCT_2010_1_31:703000 SNOMEDCT_2010_1_31:268322005 ICD9CM:750.12 UMLS_CUI:C0158664
DOID:4207,,UMLS_CUI:C1332973 NCI:C5802
HP:0008373,,
DOID:6895,A Kaposi's sarcoma and AIDS-related malignancy that results_in the occurence of Kaposi's sarcoma in people that have progressed to AIDS.,SNOMEDCT_2010_1_31:109385007 NCI:C3992 UMLS_CUI:C0276535 SNOMEDCT_2010_1_31:186722007 SNOMEDCT_2010_1_31:77865003 SNOMEDCT_2010_1_31:420524008 MSH:C538559
DOID:14401,,SNOMEDCT_2010_1_31:201304006 OMIM:MTHU005302 UMLS_CUI:C0263401 NCI:C3923 SNOMEDCT_2010_1_31:26825009
UBERON:0012114,,
UBERON:4200103,,
UBERON:0004854,,
UBERON:0004640,,
UBERON:0002599,,
HP:0012343,,
UBERON:3000645,,
DOID:14400,,SNOMEDCT_2010_1_31:87730004 MSH:D019559 NCI:C62578 UMLS_CUI:C0343084
UBERON:0003044,,
UBERON:0014466,,
CL:0000931,,
HP:0011395,,
HP:0100948,,
HP:0012346,,
DOID:4200,,UMLS_CUI:C1136339 MSH:D039941
UBERON:0004643,,
UBERON:0003258,,
UBERON:0002594,,
HP:0005037,,
CL:0002391,,
UBERON:0007687,,
HP:0100678,,
HP:0010142,,
HP:0000676,,
DOID:5487,,NCI:C4277 UMLS_CUI:C0334505 SNOMEDCT_2010_1_31:37206003
HP:0100250,,
HP:0012345,,
UBERON:0003045,,
UBERON:3000644,,
UBERON:0014465,,
DOID:4201,,UMLS_CUI:C0747533 NCI:C27596 MSH:D020427
UBERON:0004642,,
HP:0004676,,
UBERON:0000389,,
