title	pmid	doi	scopus_eid	pub_date
The Representation of Causality and Causation with Ontologies: A Systematic Literature Review.	36120162	10.5210/ojphi.v14i1.12577		2022-09-07
Inferring human miRNA-disease associations via multiple kernel fusion on GCNII.	36134032	10.3389/fgene.2022.980497		2022-09-05
Organization of gene programs revealed by unsupervised analysis of diverse gene-trait associations.	35716123	10.1093/nar/gkac413		2022-08-26
LeMeDISCO is a computational method for large-scale prediction; molecular interpretation of disease comorbidity.	36008469	10.1038/s42003-022-03816-9		2022-08-25
iPiDA-LTR: Identifying piwi-interacting RNA-disease associations based on Learning to Rank.	35969645	10.1371/journal.pcbi.1010404		2022-08-15
CCAS: One-stop and comprehensive annotation system for individual cancer genome at multi-omics level.	36035123	10.3389/fgene.2022.956781		2022-08-11
Circulating microRNA signatures associated with disease severity and outcome in COVID-19 patients.	36032130	10.3389/fimmu.2022.968991		2022-08-11
Ten quick tips for biomarker discovery and validation analyses using machine learning.	35951526	10.1371/journal.pcbi.1010357		2022-08-11
A survey of genome-wide association studies, polygenic scores and UK Biobank highlights resources for autoimmune disease genetics.	35990650	10.3389/fimmu.2022.972107		2022-08-05
Identification and characterization of four immune-related signatures in keloid.	35967426	10.3389/fimmu.2022.942446		2022-07-27
Contribution of model organism phenotypes to the computational identification of human disease genes.	35758016	10.1242/dmm.049441		2022-07-01
The third international hackathon for applying insights into large-scale genomic composition to use cases in a wide range of organisms.	36262335	10.12688/f1000research.110194.1		2022-05-16
Gene Ontology: application and importance in functional annotation of the genomic data		10.1016/B978-0-323-89775-4.00015-8	2-s2.0-85139302224	2021-01-01
Support vector machine based disease classification model employing hasten eagle Cuculidae search optimization		10.1002/cpe.7259	2-s2.0-85136530394	2022-11-15
Ontology-based categorization of clinical studies by their conditions	36283581	10.1016/j.jbi.2022.104235	2-s2.0-85140925219	2022-11-01
Transcriptome and DNA methylome analyses reveal underlying mechanisms for the racial disparity in uterine fibroids	36066972	10.1172/jci.insight.160274	2-s2.0-85140418022	2022-10-24
Biomedical Relation Extraction With Knowledge Graph-Based Recommendations	35536818	10.1109/JBHI.2022.3173558	2-s2.0-85132523504	2022-08-01
ConSIG: Consistent discovery of molecular signature from OMIC data	35758241	10.1093/bib/bbac253	2-s2.0-85134720455	2022-07-01
A Semantic Framework Supporting Multilayer Networks Analysis for Rare Diseases		10.4018/IJSWIS.297141	2-s2.0-85133127602	2022-01-01
Graph Convolutional Auto-Encoders for Predicting Novel lncRNA-Disease Associations	33819159	10.1109/TCBB.2021.3070910	2-s2.0-85103890921	2022-01-01
In Silico Databases and Tools for Drug Repurposing		10.1016/B978-0-12-816125-8.00024-9	2-s2.0-85137861293	2019-01-01
Adding structured information to the ANVISA’s “Bulário Eletrônico”			2-s2.0-85135286745	2015-01-01
idenMD-NRF: A ranking framework for miRNA-disease association identification	35679537	10.1093/bib/bbac224	2-s2.0-85134636046	2022-07-01
A comprehensive decision support model for online doctors ranking with interval-valued neutrosophic numbers		10.1111/itor.13208	2-s2.0-85137565918	2022-01-01
DeepIDA: Predicting Isoform-Disease Associations by Data Fusion and Deep Neural Networks	33571094	10.1109/TCBB.2021.3058801	2-s2.0-85101488457	2022-01-01
Overcoming Sparseness of Biomedical Networks to Identify Drug Repositioning Candidates	33591920	10.1109/TCBB.2021.3059807	2-s2.0-85101288709	2022-01-01
Bidirectional spreading activation method for finding human diseases relatedness using well formed disease ontology		10.4018/978-1-7998-1204-3.ch090	2-s2.0-85137555437	2019-12-06
Biomedical ontologies and their development, management, and applications in and beyond China		10.1097/JBR.0000000000000051	2-s2.0-85113395977	2019-01-01
Rule Based Medicine Recommendation for Skin Diseases Using Ontology with Semantic Information		10.1007/978-3-031-12638-3_31	2-s2.0-85135898427	2022-01-01
Identification of Biomarkers in Intracranial Aneurysm and Their Immune Infiltration Characteristics	35798291	10.1016/j.wneu.2022.06.138	2-s2.0-85135348017	2022-10-01
Using FlyBase: A Database of Drosophila Genes and Genetics	35980571	10.1007/978-1-0716-2541-5_1	2-s2.0-85136639786	2022-01-01
A Novel Tightly Coupled Information System for Research Data Management		10.3390/electronics11193196	2-s2.0-85139868482	2022-10-01
Paving the way for enriched metadata of linguistic linked data		10.3233/SW-222994	2-s2.0-85140839697	2022-08-29
Online in silico validation of disease and gene sets, clusterings or subnetworks with DIGEST	35753693	10.1093/bib/bbac247	2-s2.0-85134721065	2022-07-01
Artificial Intelligence in Bioinformatics: From Omics Analysis to Deep Learning and Network Mining		10.1016/C2019-0-04920-5	2-s2.0-85138931915	2022-01-01
CARING for xAI			2-s2.0-85138226596	2022-01-01
Fine-Grained ICD Code Assignment Using Ontology-Based Classification		10.1109/IRI54793.2022.00058	2-s2.0-85139018761	2022-01-01
The Leipzig Health Atlas-An open platform to present, archive and share bio-medical data, analyses and models online		10.1055/a-1914-1985	2-s2.0-85136156537	2022-01-01
A Review: Biological Insights on Knowledge Graphs		10.1007/978-3-031-15743-1_36	2-s2.0-85137987064	2022-01-01
A community approach to the cancer-variant-interpretation bottleneck.	35624339	10.1038/s43018-022-00379-w		2022-05-01
Human Health Exposure Analysis Resource (HHEAR): A model for incorporating the exposome into health studies.	34034040	10.1016/j.ijheh.2021.113768		2021-06-01
The Children's Health Exposure Analysis Resource: enabling research into the environmental influences on children's health outcomes.	28383342	10.1097/MOP.0000000000000491		2017-06-01
Identification of miRNA–disease associations via deep forest ensemble learning based on autoencoder	35325038	10.1093/bib/bbac104	2-s2.0-85130766184	2022-05-01
Review on predicting pairwise relationships between human microbes, drugs and diseases: from biological data to computational models	35325024	10.1093/bib/bbac080	2-s2.0-85130355161	2022-05-01
A Network-Based Analysis of Disease Modules from a Taxonomic Perspective	34428165	10.1109/JBHI.2021.3106787	2-s2.0-85128489347	2022-04-01
Digital Humanities and Portuguese Processing: a research pathway			2-s2.0-85129204256	2022-01-01
Integrated Transcriptomics and Reverse Pharmacophore Mapping-based Network Pharmacology to Explore the Mechanisms of Natural Compounds against Doxorubicin-induced Cardiotoxicity	34397328	10.2174/1386207324666210816122629	2-s2.0-85135242548	2022-01-01
Survey of Various Statistical Numerical and Machine Learning Ontological Models on Infectious Disease Ontology		10.1002/9781119785620.ch17	2-s2.0-85131172660	2021-01-01
iLncDA-LTR: Identification of lncRNA-disease associations by learning to rank	35594681	10.1016/j.compbiomed.2022.105605	2-s2.0-85130325784	2022-07-01
Analysis of Causal Relationships in Integrated Ontologies of Diseases, Phenotypes, and Radiological Diagnosis	35673013	10.3233/SHTI220074	2-s2.0-85131504249	2022-06-06
Applying Transformer Models for Disease Named Entity Recognition		10.1109/ICARC54489.2022.9754023	2-s2.0-85128916847	2022-01-01
Evaluating and extending the Informed Consent Ontology for representing permissions from the clinical domain		10.3233/AO-210260	2-s2.0-85130367681	2022-01-01
iCircDA-LTR: identification of circRNA-disease associations based on Learning to Rank		10.1093/bioinformatics/btab334	2-s2.0-85119015623	2021-10-01
Ontology Driven Cross-Linked Domain Data Integration and Spatial Semantic Multi Criteria Query System for Geospatial Public Health		10.4018/978-1-5225-8054-6.ch032	2-s2.0-85129038433	2019-01-01
Transcriptome meta-analysis of valproic acid exposure in human embryonic stem cells	35635998	10.1016/j.euroneuro.2022.04.008	2-s2.0-85131051182	2022-07-01
MDADP: A Webserver Integrating Database and Prediction Tools for Microbe-Disease Associations	35254998	10.1109/JBHI.2022.3156166	2-s2.0-85126325796	2022-07-01
Research on LncRNA and Disease Associations Prediction Base on Data Mining		10.1088/1742-6596/2219/1/012029	2-s2.0-85130508715	2022-05-06
Automated intelligent online healthcare ontology Integration		10.1109/ICCI54321.2022.9756070	2-s2.0-85129395870	2022-01-01
The Organ-Disease Annotations (ODiseA) Database of Hereditary Diseases and Inflicted Tissues	35504357	10.1016/j.jmb.2022.167619	2-s2.0-85130310784	2022-06-15
SeEn: Sequential enriched datasets for sequence-aware recommendations.	35927282	10.1038/s41597-022-01598-7		2022-08-04
PheNominal: an EHR-integrated web application for structured deep phenotyping at the point of care.	35902925	10.1186/s12911-022-01927-1		2022-07-28
Transcriptomic and proteomic retinal pigment epithelium signatures of age-related macular degeneration.	35882847	10.1038/s41467-022-31707-4		2022-07-26
DES-Amyloidoses ""Amyloidoses through the looking-glass"": A knowledgebase developed for exploring and linking information related to human amyloid-related diseases.	35877764	10.1371/journal.pone.0271737		2022-07-25
Follistatin-like 1 and its paralogs in heart development and cardiovascular disease.	35867287	10.1007/s10741-022-10262-6		2022-07-22
An Urban Population Health Observatory for Disease Causal Pathway Analysis and Decision Support: Underlying Explainable Artificial Intelligence Model.	35857363	10.2196/36055		2022-07-20
Characterizing and explaining the impact of disease-associated mutations in proteins without known structures or structural homologs.	35641150	10.1093/bib/bbac187		2022-07-18
The Core Human Microbiome: Does It Exist and How Can We Find It? A Critical Review of the Concept.	35889831	10.3390/nu14142872		2022-07-13
The heterogeneous pharmacological medical biochemical network PharMeBINet.	35821017	10.1038/s41597-022-01510-3		2022-07-11
An Integrated Bioinformatics Analysis towards the Identification of Diagnostic, Prognostic, and Predictive Key Biomarkers for Urinary Bladder Cancer.	35884419	10.3390/cancers14143358		2022-07-10
Virofree, an Herbal Medicine-Based Formula, Interrupts the Viral Infection of Delta and Omicron Variants of SARS-CoV-2.	35860023	10.3389/fphar.2022.905197		2022-07-04
Prediction of circRNA-Disease Associations Based on the Combination of Multi-Head Graph Attention Network and Graph Convolutional Network.	35883487	10.3390/biom12070932		2022-07-02
Whole-genome sequencing reveals host factors underlying critical COVID-19.	35255492	10.1038/s41586-022-04576-6		2022-07-01
Common genetic variation associated with Mendelian disease severity revealed through cryptic phenotype analysis.	35760791	10.1038/s41467-022-31030-y		2022-06-27
From drug repositioning to target repositioning: prediction of therapeutic targets using genetically perturbed transcriptomic signatures.	35758779	10.1093/bioinformatics/btac240		2022-06-24
Omics-based integrated analysis identified IKZF2 as a biomarker associated with lupus nephritis.	35688845	10.1038/s41598-022-13336-5		2022-06-10
HemI 2.0: an online service for heatmap illustration.	35670661	10.1093/nar/gkac480		2022-06-07
GeMI: interactive interface for transformer-based Genomic Metadata Integration.	35657113	10.1093/database/baac036		2022-06-03
AnthraxKP: a knowledge graph-based, Anthrax Knowledge Portal mined from biomedical literature.	35653350	10.1093/database/baac037		2022-06-02
Expediting knowledge acquisition by a web framework for Knowledge Graph Exploration and Visualization (KGEV): case studies on COVID-19 and Human Phenotype Ontology.	35655307	10.1186/s12911-022-01848-z		2022-06-02
Diagnostic genes and immune infiltration analysis of colorectal cancer determined by LASSO and SVM machine learning methods: a bioinformatics analysis.	35837194	10.21037/jgo-22-536		2022-06-01
A Simple Standard for Sharing Ontological Mappings (SSSOM).	35616100	10.1093/database/baac035		2022-05-25
MAGCNSE: predicting lncRNA-disease associations using multi-view attention graph convolutional network and stacking ensemble model.	35590258	10.1186/s12859-022-04715-w		2022-05-19
GenePlexus: a web-server for gene discovery using network-based machine learning.	35580053	10.1093/nar/gkac335		2022-05-17
A molecular view of amyotrophic lateral sclerosis through the lens of interaction network modules.	35576218	10.1371/journal.pone.0268159		2022-05-16
Design and application of a knowledge network for automatic prioritization of drug mechanisms.	35561182	10.1093/bioinformatics/btac205		2022-05-13
DisPhaseDB: An integrative database of diseases related variations in liquid-liquid phase separation proteins.	35685370	10.1016/j.csbj.2022.05.004		2022-05-12
Drug Repositioning with GraphSAGE and Clustering Constraints Based on Drug and Disease Networks.	35620297	10.3389/fphar.2022.872785		2022-05-10
BioTAGME: A Comprehensive Platform for Biological Knowledge Network Analysis.	35571058	10.3389/fgene.2022.855739		2022-04-28
Transcriptome Analysis of Monocytes and Fibroblasts Provides Insights Into the Molecular Features of Periodontal Ehlers-Danlos Syndrome.	35571048	10.3389/fgene.2022.834928		2022-04-28
Inferring Potential Cancer Driving Synonymous Variants.	35627162	10.3390/genes13050778		2022-04-27
A Community-Driven, Openly Accessible Molecular Pathway Integrating Knowledge on Malignant Pleural Mesothelioma.	35558518	10.3389/fonc.2022.849640		2022-04-26
A Hybrid Protocol for Finding Novel Gene Targets for Various Diseases Using Microarray Expression Data Analysis and Text Mining.	35713858	10.1007/978-1-0716-2305-3_3		2022-01-01
Screening of Genes Related to Breast Cancer Prognosis Based on the DO-UniBIC Method.	35472336	10.1016/j.amjms.2022.04.022		2022-04-23
Comparison of Word and Character Level Information for Medical Term Identification Using Convolutional Neural Networks and Transformers.	34920520	10.3233/SHTI210717		2021-12-15
Development and use of Ontologies Inside the Neuroscience Information Framework: A Practical Approach.	22737162	10.3389/fgene.2012.00111		2012-06-22
CoMent: Relationships Between Biomedical Concepts Inferred From the Scientific Literature		10.1016/j.jmb.2022.167568	2-s2.0-85127794319	2022-01-01
Disease category-specific annotation of variants using an ensemble learning framework	34643213	10.1093/bib/bbab438	2-s2.0-85123813861	2022-01-01
PSINDB: The postsynaptic protein-protein interaction database	35234850	10.1093/database/baac007	2-s2.0-85125594887	2022-01-01
Ontology-based teacher-context data integration		10.1109/SII52469.2022.9708601	2-s2.0-85126241468	2022-01-01
Biomedical data, computational methods and tools for evaluating disease-disease associations	35136949	10.1093/bib/bbac006	2-s2.0-85127560929	2022-03-01
Clarithromycin-Amlodipine Interaction-induced Renal Injury: An In Silico Study			2-s2.0-85128768070	2022-01-01
Development and Applications of Interoperable Biomedical Ontologies for Integrative Data and Knowledge Representation and Multiscale Modeling in Systems Medicine	35437726	10.1007/978-1-0716-2265-0_12	2-s2.0-85128554947	2022-01-01
Graph representation learning in bioinformatics: Trends, methods and applications	34471921	10.1093/bib/bbab340	2-s2.0-85123813672	2022-01-01
Identification of Chemical–Disease Associations Through Integration of Molecular Fingerprint, Gene Ontology and Pathway Information		10.1007/s12539-022-00511-5	2-s2.0-85127724555	2022-01-01
New data and collaborations at the Saccharomyces Genome Database: updated reference genome, alleles, and the Alliance of Genome Resources	34897464	10.1093/genetics/iyab224	2-s2.0-85128245599	2022-04-01
A network-based method for brain disease gene prediction by integrating brain connectome and molecular network	34727570	10.1093/bib/bbab459	2-s2.0-85123814437	2022-01-01
Diseases 2.0: a weekly updated database of disease-gene associations from text mining and data integration	35348648	10.1093/database/baac019	2-s2.0-85127250210	2022-01-01
Strategies and foundations for scientific discovery in longitudinal studies of bipolar disorder	35244317	10.1111/bdi.13198	2-s2.0-85126471616	2022-01-01
The Sickle Cell Disease Ontology: Recent development and expansion of the universal sickle cell knowledge representation	35363306	10.1093/database/baac014	2-s2.0-85127418600	2022-01-01
Transcriptomic Analysis of Fumarate Compounds Identifies Unique Effects of Isosorbide Di-(Methyl Fumarate) on NRF2, NF-kappaB and IRF1 Pathway Genes.	35455458	10.3390/ph15040461		2022-04-11
Ontologies and Knowledge Graphs in Oncology Research.	35454813	10.3390/cancers14081906		2022-04-10
Best practices for the interpretation and reporting of clinical whole genome sequencing.	35395838	10.1038/s41525-022-00295-z		2022-04-08
Explore potential disease related metabolites based on latent factor model.	35387615	10.1186/s12864-022-08504-w		2022-04-06
Upregulated of ANXA3, SORL1, and Neutrophils May Be Key Factors in the Progressionof Ankylosing Spondylitis.	35464477	10.3389/fimmu.2022.861459		2022-04-06
Combining biomedical knowledge graphs and text to improve predictions for drug-target interactions and drug-indications.	35402106	10.7717/peerj.13061		2022-04-04
FlyBase: a guided tour of highlighted features.	35266522	10.1093/genetics/iyac035		2022-04-04
Harmonizing model organism data in the Alliance of Genome Resources.	35380658	10.1093/genetics/iyac022		2022-04-04
WormBase in 2022-data, processes, and tools for analyzing Caenorhabditis elegans.	35134929	10.1093/genetics/iyac003		2022-04-04
Zebrafish information network, the knowledgebase for Danio rerio research.	35166825	10.1093/genetics/iyac016		2022-04-04
Darling: A Web Application for Detecting Disease-Related Biomedical Entity Associations with Literature Mining.	35454109	10.3390/biom12040520		2022-03-30
Inflammation and Brain Structure in Schizophrenia and Other Neuropsychiatric Disorders: A Mendelian Randomization Study.	35353173	10.1001/jamapsychiatry.2022.0407		2022-03-30
Clinical and Epidemiological Study of Intracranial Tumors in Children and Identification of Diagnostic Biomarkers for the Most Common Tumor Subtype and Their Relationship with the Immune Microenvironment Through Bioinformatics Analysis.	35347632	10.1007/s12031-022-02003-z		2022-03-28
Integrative analyses of biomarkers and pathways for heart failure.	35346191	10.1186/s12920-022-01221-z		2022-03-27
Ontology-Based Classification and Analysis of Adverse Events Associated With the Usage of Chloroquine and Hydroxychloroquine.	35401219	10.3389/fphar.2022.812338		2022-03-23
The Xenopus phenotype ontology: bridging model organism phenotype data to human health and development.	35317743	10.1186/s12859-022-04636-8		2022-03-22
SEED: Symptom Extraction from English Social Media Posts using Deep Learning and Transfer Learning.	33594374	10.1101/2021.02.09.21251454		2022-03-21
Federated analysis of BRCA1 and BRCA2 variation in a Japanese cohort.	35373174	10.1016/j.xgen.2022.100109		2022-03-09
Integration of Toxicogenomics and Physiologically Based Pharmacokinetic Modeling in Human Health Risk Assessment of Perfluorooctane Sulfonate.	35194992	10.1021/acs.est.1c06479		2022-03-15
RGCNCDA: Relational graph convolutional network improves circRNA-disease association prediction by incorporating microRNAs		10.1016/j.compbiomed.2022.105322	2-s2.0-85124940335	2022-04-01
COVID19-OBKG: An Ontology-Based Knowledge Graph and Web Service for COVID-19		10.1109/BIBM52615.2021.9669535	2-s2.0-85125166533	2021-01-01
Identification, semantic annotation and comparison of combinations of functional elements in multiple biological conditions		10.1093/bioinformatics/btab815	2-s2.0-85125491511	2022-03-01
Cardiovascular informatics: Building a bridge to data harmony	33751044	10.1093/cvr/cvab067	2-s2.0-85125001386	2022-02-01
A tree-based gene–environment interaction analysis with rare features		10.1002/sam.11578	2-s2.0-85125411898	2022-01-01
Privacy Preserving Survival Prediction		10.1109/BigData52589.2021.9672036	2-s2.0-85125348391	2021-01-01
MiRNAs expression pattern and machine learning models elucidate risk for gastric GIST	35213356	10.3233/CBM-210173	2-s2.0-85125549114	2022-01-01
Network cartographs for interpretable visualizations		10.1038/s43588-022-00199-z	2-s2.0-85125131862	2022-02-01
Advances in the development of PubCaseFinder, including the new application programming interface and matching algorithm	35143083	10.1002/humu.24341	2-s2.0-85125806106	2022-01-01
Etiology context of rare diseases in the Human Disease Ontology		10.1109/BIBM52615.2021.9669517	2-s2.0-85125175855	2021-01-01
Exploring Sentiment as a Potential Indicator of Bias in Disease Ontologies		10.1109/BIBM52615.2021.9669329	2-s2.0-85125192524	2021-01-01
Ontology-based annotation and retrieval for large-scale VCF data		10.1109/BIBM52615.2021.9669507	2-s2.0-85125190618	2021-01-01
GOntoSim: a semantic similarity measure based on LCA and common descendants.	35264663	10.1038/s41598-022-07624-3		2022-03-09
Integrative Analyses of Genes Associated With Otologic Disorders in Turner Syndrome.	35273637	10.3389/fgene.2022.799783		2022-02-22
Recent progress (2015-2020) in the investigation of the pharmacological effects and mechanisms of ginsenoside Rb1, a main active ingredient in Panax ginseng Meyer.	35058726	10.1016/j.jgr.2021.07.008		2022-01-01
An effector index to predict target genes at GWAS loci.	35147782	10.1007/s00439-022-02434-z		2022-02-11
A platform for oncogenomic reporting and interpretation.	35140225	10.1038/s41467-022-28348-y		2022-02-09
An ensemble approach for healthcare application and diagnosis using natural language processing.	35069926	10.1007/s11571-021-09758-y		2022-01-17
BrainBase: a curated knowledgebase for brain diseases.	34718720	10.1093/nar/gkab987		2022-01-07
CancerMIRNome: an interactive analysis and visualization database for miRNome profiles of human cancer.	34500460	10.1093/nar/gkab784		2022-01-07
CTR-DB, an omnibus for patient-derived gene expression signatures correlated with cancer drug response.	34570230	10.1093/nar/gkab860		2022-01-07
Gene Expression Nebulas (GEN): a comprehensive data portal integrating transcriptomic profiles across multiple species at both bulk and single-cell levels.	34591957	10.1093/nar/gkab878		2022-01-07
NCATS Inxight Drugs: a comprehensive and curated portal for translational research.	34648031	10.1093/nar/gkab918		2022-01-07
PHI-base in 2022: a multi-species phenotype database for Pathogen-Host Interactions.	34788826	10.1093/nar/gkab1037		2022-01-07
PLSDB: advancing a comprehensive database of bacterial plasmids.	34850116	10.1093/nar/gkab1111		2022-01-07
R-loopBase: a knowledgebase for genome-wide R-loop formation and regulation.	34792163	10.1093/nar/gkab1103		2022-01-07
The Human Disease Ontology 2022 update.	34755882	10.1093/nar/gkab1063		2022-01-07
The reactome pathway knowledgebase 2022.	34788843	10.1093/nar/gkab1028		2022-01-07
Overcoming constraints on the detection of recessive selection in human genes from population frequency data.	34951958	10.1016/j.ajhg.2021.12.001		2022-01-06
M2PP: a novel computational model for predicting drug-targeted pathogenic proteins.	34983358	10.1186/s12859-021-04522-9		2022-01-04
Prediction of lncRNA-disease association based on a Laplace normalized random walk with restart algorithm on heterogeneous networks.	34983367	10.1186/s12859-021-04538-1		2022-01-04
NETME: on-the-fly knowledge network construction from biomedical literature.	35013714	10.1007/s41109-021-00435-x		2022-01-01
Pathway Enrichment Analysis of Microarray Data.	34902127	10.1007/978-1-0716-1839-4_10		2022-01-01
A network-based method for predicting disease-associated enhancers.	34879086	10.1371/journal.pone.0260432		2021-12-08
A Network-Based Drug Repurposing Method Via Non-Negative Matrix Factorization.	34875000	10.1093/bioinformatics/btab826		2021-12-07
Effects of Negation and Uncertainty Stratification on Text-Derived Patient Profile Similarity.	34939069	10.3389/fdgth.2021.781227		2021-12-06
The Aliment to Bodily Condition knowledgebase (ABCkb): a database connecting plants and human health.	34838100	10.1186/s13104-021-05835-x		2021-11-27
In silico Methods for Identification of Potential Therapeutic Targets.	34826045	10.1007/s12539-021-00491-y		2021-11-26
Development of a chemogenomics library for phenotypic screening.	34819133	10.1186/s13321-021-00569-1		2021-11-24
Construction of the cervical cancer common terminology for promoting semantic interoperability and utilization of Chinese clinical data.	34789237	10.1186/s12911-021-01672-x		2021-11-16
HFIP: an integrated multi-omics data and knowledge platform for the precision medicine of heart failure.	34791105	10.1093/database/baab076		2021-11-13
Calculation of Similarity Between 26 Autoimmune Diseases Based on Three Measurements Including Network, Function, and Semantics.	34858474	10.3389/fgene.2021.758041		2021-11-11
Bootstrapping biomedical ontologies for scientific text using NELL			2-s2.0-85119336856	2012-01-01
A comprehensive review of global alignment of multiple biological networks: background, applications and open issues		10.1007/s13721-022-00353-7	2-s2.0-85124008415	2022-12-01
Ontology-based nutritional recommender system		10.3390/app12010143	2-s2.0-85121673626	2022-01-01
Using Gene Ontology to Annotate and Prioritize Microarray Data	34902135	10.1007/978-1-0716-1839-4_18	2-s2.0-85121524724	2022-01-01
DbMCS: A Database for Exploring the Mutation Markers of Anti-Cancer Drug Sensitivity	34314366	10.1109/JBHI.2021.3100424	2-s2.0-85112657257	2021-11-01
Identification of genes with altered roles in transcription network in alzheimer's disease		10.1145/3473258.3473273	2-s2.0-85121677312	2021-05-21
Importance of International R&D Collaboration Between Companies: The CollaborativeHealth Use Case		10.1007/978-3-030-88262-4_5	2-s2.0-85120502519	2021-01-01
Integrating categorical and structural proximity in Disease Ontologies	34891682	10.1109/EMBC46164.2021.9630114	2-s2.0-85122506089	2021-01-01
Learning Patient Similarity via Heterogeneous Medical Knowledge Graph Embedding			2-s2.0-85122448957	2021-01-01
Ontology Design for Patient Medication Record		10.1109/ICTS52701.2021.9608825	2-s2.0-85123307839	2021-01-01
Sub-word information in pre-trained biomedical word representations: evaluation and hyper-parameter optimization			2-s2.0-85100363026	2018-01-01
Ontology-based personalized telehealth scheme in cloud computing		10.1007/978-3-319-94289-6_4	2-s2.0-85049364729	2018-01-01
A deep learning relation extraction approach to support a biomedical semi-automatic curation task: The case of the gluten bibliome		10.1016/j.eswa.2022.116616	2-s2.0-85124098036	2022-06-01
IPiDi-PUL: Identifying Piwi-interacting RNA-disease associations based on positive unlabeled learning	32393982	10.1093/bib/bbaa058	2-s2.0-85090361251	2021-05-01
Boosting biomedical document classification through the use of domain entity recognizers and semantic ontologies for document representation: The case of gluten bibliome		10.1016/j.neucom.2021.10.100	2-s2.0-85119422721	2021-01-01
Medical Transdisciplinary Cluster Development for Multivariable COVID-19 Epidemiological Situation Modeling		10.1109/BIBM49941.2020.9313204	2-s2.0-85100354696	2020-12-16
Creation and evaluation of a dictionary-based tagger for virus species and proteins			2-s2.0-85053829532	2017-01-01
Machine-learning algorithms predict breast cancer patient survival from UK Biobank whole-exome sequencing data	34651513	10.2217/bmm-2021-0280	2-s2.0-85119209626	2021-11-01
Advances in predicting the risk pathogenic genes with random walk		10.16476/j.pibb.2020.0376	2-s2.0-85118572453	2021-01-01
PAN: Personalized Annotation-Based Networks for the Prediction of Breast Cancer Relapse	33909569	10.1109/TCBB.2021.3076422	2-s2.0-85105117677	2021-01-01
Reclassification of Infectious Disease in the Mondo Disease Ontology			2-s2.0-85124429391	2021-01-01
A functional cellular framework for sex and estrous cycle-dependent gene expression and behavior	35065713	10.1016/j.cell.2021.12.031	2-s2.0-85124518826	2022-02-17
A machine learning-driven approach for prioritizing food contact chemicals of carcinogenic concern based on complementary in silico methods	34979167	10.1016/j.fct.2021.112802	2-s2.0-85122141226	2022-02-01
Curation and expansion of Human Phenotype Ontology for defined groups of inborn errors of immunity	33991581	10.1016/j.jaci.2021.04.033	2-s2.0-85119491997	2022-01-01
Drug repositioning trends in rare and intractable diseases	35104621	10.1016/j.drudis.2022.01.013	2-s2.0-85124427478	2022-01-01
Getting Started with the IDG KMC Datasets and Tools	35085427	10.1002/cpz1.355	2-s2.0-85123855483	2022-01-01
OHF: An Ontology Based Framework for Healthcare		10.1007/978-3-030-95711-7_28	2-s2.0-85124660489	2022-01-01
The RareDis corpus: A corpus annotated with rare diseases, their signs and symptoms	34879250	10.1016/j.jbi.2021.103961	2-s2.0-85120964120	2022-01-01
Cosmonet: An r package for survival analysis using screening-network methods		10.3390/math9243262	2-s2.0-85121286297	2021-12-01
Evaluating Students’ Behavioral Intentions Towards Ecotourism: An Extended Theory Of Planned Behavior Perspective		10.3727/154427221X16245632411944	2-s2.0-85120980897	2021-01-01
HEMDAG: A family of modular and scalable hierarchical ensemble methods to improve Gene Ontology term prediction		10.1093/bioinformatics/btab485	2-s2.0-85121036664	2021-01-01
Meeting the needs of patients with ultrarare diseases	35000835	10.1016/j.molmed.2021.12.002	2-s2.0-85122476078	2022-02-01
COVID-19 biomarkers and their overlap with comorbidities in a disease biomarker data model.	34015823	10.1093/bib/bbab191		2021-11-05
Elucidation of dynamic microRNA regulations in cancer progression using integrative machine learning.	34373890	10.1093/bib/bbab270		2021-11-05
Utilizing graph machine learning within drug discovery and development.	34013350	10.1093/bib/bbab159		2021-11-05
Identification of MYH6 as the potential gene for human ischaemic cardiomyopathy.	34697898	10.1111/jcmm.17015		2021-11-01
Mouse Genome Informatics (MGI): latest news from MGD and GXD.	34698891	10.1007/s00335-021-09921-0		2021-10-26
OnTheFly2.0: a text-mining web application for automated biomedical entity recognition, document annotation, network and functional enrichment analysis.	34632381	10.1093/nargab/lqab090		2021-10-06
SicknessMiner: a deep-learning-driven text-mining tool to abridge disease-disease associations.	34607568	10.1186/s12859-021-04397-w		2021-10-04
Protein Interaction Network-based Deep Learning Framework for Identifying Disease-Associated Human Proteins.	34271012	10.1016/j.jmb.2021.167149		2021-09-17
The glycoconjugate ontology (GlycoCoO) for standardizing the annotation of glycoconjugate data and its application.	33677548	10.1093/glycob/cwab013		2021-08-07
Invasive ACTH-producing pituitary gland neoplasm secondary to MSH2 mutation.	33866195	10.1016/j.cancergen.2021.03.008		2021-08-01
Identify Inflammatory Bowel Disease-Related Genes Based on Machine Learning.	34381790	10.3389/fcell.2021.722410		2021-07-26
Representing a Heterogeneous Pharmaceutical Knowledge-Graph with Textual Information.	34278204	10.3389/frma.2021.670206		2021-07-01
Blood DNA methylation and COVID-19 outcomes.	34034806	10.1186/s13148-021-01102-9		2021-05-25
Common DNA methylation dynamics in endometriod adenocarcinoma and glioblastoma suggest universal epigenomic alterations in tumorigenesis.	34021236	10.1038/s42003-021-02094-1		2021-05-21
