id	label	subClassOf
"DOID:10426"	"Klippel-Feil syndrome"	"physical disorder"
"DOID:0080589"	"Klippel-Feil syndrome 1"	"Klippel-Feil syndrome"
"DOID:0080590"	"Klippel-Feil syndrome 2"	"Klippel-Feil syndrome"
"DOID:0080591"	"Klippel-Feil syndrome 3"	"Klippel-Feil syndrome"
"DOID:0080592"	"Klippel-Feil syndrome 4"	"Klippel-Feil syndrome"
"DOID:2926"	"Klippel-Trenaunay syndrome"	"syndrome"
"DOID:2510"	"Kluver-Bucy syndrome"	"impulse control disorder"
"DOID:0080045"	"Kniest dysplasia"	"osteochondrodysplasia"
"DOID:11760"	"Kohler's disease"	"osteochondrosis"
"DOID:0111668"	"Kohlschutter-Tonz syndrome"	"syndrome"
"DOID:0050880"	"Koolen de Vries syndrome"	"syndrome"
"DOID:0050200"	"Korean hemorrhagic fever"	"Hantavirus hemorrhagic fever with renal syndrome"
"DOID:10587"	"Krabbe disease"	"sphingolipidosis"
"DOID:9597"	"Krukenberg carcinoma"	"ovary epithelial cancer"
"DOID:0060556"	"Kufor-Rakeb syndrome"	"early-onset Parkinson's disease"
"DOID:10873"	"Kuhnt-Junius degeneration"	"degeneration of macula and posterior pole"
"DOID:6603"	"Kummell's disease"	"spondyloarthropathy"
"DOID:0050174"	"Kunjin encephalitis"	"West Nile encephalitis"
"DOID:11320"	"Kyasanur forest disease"	"viral infectious disease"
"DOID:0050574"	"L-2-hydroxyglutaric aciduria"	"2-hydroxyglutaric aciduria"
"DOID:7402"	"L-cell glucagon-like peptide producing tumor"	"gastrointestinal neuroendocrine benign tumor"
"DOID:0081370"	"LADD syndrome"	"syndrome"
"DOID:0050118"	"La Crosse encephalitis"	"viral infectious disease"
"DOID:3534"	"Lafora disease"	"progressive myoclonus epilepsy"
"DOID:0050214"	"Lambert-Eaton myasthenic syndrome"	"neuromuscular junction disease"
"DOID:2538"	"Landau-Kleffner syndrome"	"childhood electroclinical syndrome"
"DOID:7146"	"Langerhans cell sarcoma"	"histiocytic and dendritic cell cancer"
"DOID:2571"	"Langerhans-cell histiocytosis"	"histiocytosis"
"DOID:9521"	"Laron syndrome"	"syndrome"
"DOID:14764"	"Larsen syndrome"	"syndrome"
"DOID:0080575"	"Larsen-like syndrome B3GAT3 type"	"syndrome"
"DOID:9537"	"Lassa fever"	"viral infectious disease"
"DOID:1930"	"Laurence-Moon syndrome"	"syndrome"
"DOID:0111350"	"Laurin-Sandrow syndrome"	"dysostosis"
"DOID:14791"	"Leber congenital amaurosis"	"retinal disease"
"DOID:0110078"	"Leber congenital amaurosis 1"	"Leber congenital amaurosis"
"DOID:0110291"	"Leber congenital amaurosis 10"	"Leber congenital amaurosis"
"DOID:0110216"	"Leber congenital amaurosis 11"	"Leber congenital amaurosis"
"DOID:0110080"	"Leber congenital amaurosis 12"	"Leber congenital amaurosis"
"DOID:0110330"	"Leber congenital amaurosis 13"	"Leber congenital amaurosis"
"DOID:0110188"	"Leber congenital amaurosis 14"	"Leber congenital amaurosis"
"DOID:0110189"	"Leber congenital amaurosis 15"	"Leber congenital amaurosis"
"DOID:0110118"	"Leber congenital amaurosis 16"	"Leber congenital amaurosis"
"DOID:0110217"	"Leber congenital amaurosis 17"	"Leber congenital amaurosis"
"DOID:0081169"	"Leber congenital amaurosis 19"	"Leber congenital amaurosis"
"DOID:0110016"	"Leber congenital amaurosis 2"	"Leber congenital amaurosis"
"DOID:0110331"	"Leber congenital amaurosis 3"	"Leber congenital amaurosis"
"DOID:0110332"	"Leber congenital amaurosis 4"	"Leber congenital amaurosis"
"DOID:0110215"	"Leber congenital amaurosis 5"	"Leber congenital amaurosis"
"DOID:0110329"	"Leber congenital amaurosis 6"	"Leber congenital amaurosis"
"DOID:0110333"	"Leber congenital amaurosis 7"	"Leber congenital amaurosis"
"DOID:0110079"	"Leber congenital amaurosis 8"	"Leber congenital amaurosis"
"DOID:0110005"	"Leber congenital amaurosis 9"	"Leber congenital amaurosis"
"DOID:0112240"	"Leber congenital amaurosis with early-onset deafness"	"sensory system disease"
"DOID:705"	"Leber hereditary optic neuropathy"	"optic nerve disease"
"DOID:0111755"	"Leber hereditary optic neuropathy and dystonia"	"Leber plus disease"
"DOID:0111756"	"Leber hereditary optic neuropathy with demyelinating disease of CNS"	"Leber plus disease"
"DOID:0111754"	"Leber plus disease"	"syndrome"
"DOID:14415"	"Legg-Calve-Perthes disease"	"osteochondrosis"
"DOID:10457"	"Legionnaires' disease"	"legionellosis"
"DOID:0070484"	"Legius syndrome"	"RASopathy"
"DOID:3652"	"Leigh disease"	"cytochrome-c oxidase deficiency disease"
"DOID:11337"	"Lemierre's syndrome"	"commensal bacterial infectious disease"
"DOID:0050561"	"Lennox-Gastaut syndrome"	"childhood electroclinical syndrome"
"DOID:0111507"	"Lenz-Majewski hyperostotic dwarfism"	"syndrome"
"DOID:0060847"	"Leri-Weill dyschondrosteosis"	"osteochondrodysplasia"
"DOID:1919"	"Lesch-Nyhan syndrome"	"purine-pyrimidine metabolic disorder"
"DOID:12217"	"Lewy body dementia"	"dementia"
"DOID:0112259"	"Leydig cell hypoplasia"	"pseudohermaphroditism"
"DOID:0112260"	"Leydig cell hypoplasia type I"	"Leydig cell hypoplasia"
"DOID:0112261"	"Leydig cell hypoplasia type II"	"Leydig cell hypoplasia"
"DOID:2696"	"Leydig cell tumor"	"sex cord-gonadal stromal tumor"
"DOID:3012"	"Li-Fraumeni syndrome"	"syndrome"
"DOID:0111503"	"Li-Fraumeni syndrome 1"	"Li-Fraumeni syndrome"
"DOID:0111504"	"Li-Fraumeni syndrome 2"	"Li-Fraumeni syndrome"
"DOID:0080740"	"Libman-Sacks endocarditis"	"endocarditis"
"DOID:0050477"	"Liddle syndrome"	"renal tubular transport disease"
"DOID:0060450"	"Lisch epithelial corneal dystrophy"	"epithelial and subepithelial dystrophy"
"DOID:11572"	"Listeria meningitis"	"bacterial meningitis"
"DOID:6721"	"Littre gland carcinoma"	"male reproductive organ cancer"
"DOID:396"	"Loeffler endocarditis"	"restrictive cardiomyopathy"
"DOID:9503"	"Loeffler syndrome"	"eosinophilic pneumonia"
"DOID:0050466"	"Loeys-Dietz syndrome"	"syndrome"
"DOID:0070235"	"Loeys-Dietz syndrome 1"	"Loeys-Dietz syndrome"
"DOID:0070234"	"Loeys-Dietz syndrome 2"	"Loeys-Dietz syndrome"
"DOID:0070237"	"Loeys-Dietz syndrome 3"	"Loeys-Dietz syndrome"
"DOID:0070233"	"Loeys-Dietz syndrome 4"	"Loeys-Dietz syndrome"
"DOID:0070236"	"Loeys-Dietz syndrome 5"	"Loeys-Dietz syndrome"
"DOID:0060964"	"Loeys-Dietz syndrome 6"	"Loeys-Dietz syndrome"
"DOID:13087"	"Lown-Ganong-Levine syndrome"	"syndrome"
"DOID:4558"	"Ludwig's angina"	"cellulitis"
"DOID:0070416"	"Luo-Schoch-Yamamoto syndrome"	"autosomal dominant intellectual developmental disorder"
"DOID:1998"	"Lutembacher's syndrome"	"atrial heart septal defect"
"DOID:11729"	"Lyme disease"	"primary bacterial infectious disease"
"DOID:3883"	"Lynch syndrome"	"syndrome"
"DOID:0070271"	"Lynch syndrome 1"	"Lynch syndrome"
"DOID:0060246"	"MASA syndrome"	"hereditary spastic paraplegia"
"DOID:0081066"	"MCD diffuse large B-cell lymphoma"	"diffuse large B-cell lymphoma"
"DOID:0060483"	"MEDNIK syndrome"	"syndrome"
"DOID:0060801"	"MEHMO syndrome"	"syndromic X-linked intellectual disability"
"DOID:3687"	"MELAS syndrome"	"mitochondrial encephalomyopathy"
"DOID:0111865"	"MEND syndrome"	"lipid metabolism disorder"
"DOID:310"	"MERRF syndrome"	"mitochondrial encephalomyopathy"
"DOID:0060009"	"MHC class I deficiency"	"severe combined immunodeficiency"
"DOID:5812"	"MHC class II deficiency"	"severe combined immunodeficiency"
"DOID:0111875"	"MLS syndrome"	"syndrome"
"DOID:0060651"	"MYH-9 related disease"	"blood platelet disease"
"DOID:1440"	"Machado-Joseph disease"	"autosomal dominant cerebellar ataxia"
"DOID:0060221"	"Maffucci syndrome"	"syndrome"
"DOID:0112306"	"Mahvash Disease"	"endocrine pancreas disease"
"DOID:4327"	"Marburg hemorrhagic fever"	"viral infectious disease"
"DOID:14323"	"Marfan syndrome"	"connective tissue disease"
"DOID:0080195"	"Marinesco-Sjogren syndrome"	"syndrome"
"DOID:0111510"	"Marshall syndrome"	"ectodermal dysplasia"
"DOID:0050858"	"Marshall-Smith syndrome"	"syndrome"
"DOID:0081075"	"Marsili syndrome"	"syndrome"
"DOID:0111586"	"Martsolf syndrome"	"syndrome"
"DOID:0060245"	"Mast syndrome"	"hereditary spastic paraplegia"
"DOID:14133"	"Masters-Allen syndrome"	"female reproductive system disease"
"DOID:0112177"	"Mayer-Rokitansky-Kuster-Hauser syndrome"	"syndrome"
"DOID:0112178"	"Mayer-Rokitansky-Kuster-Hauser syndrome type 1"	"Mayer-Rokitansky-Kuster-Hauser syndrome"
"DOID:0112179"	"Mayer-Rokitansky-Kuster-Hauser syndrome type 2"	"Mayer-Rokitansky-Kuster-Hauser syndrome"
"DOID:1858"	"McCune Albright syndrome"	"syndrome"
"DOID:0111255"	"McKusick-Kaufman syndrome"	"syndrome"
"DOID:0112107"	"McLeod syndrome"	"neuroacanthocytosis"
"DOID:0050778"	"Meckel syndrome"	"ciliopathy"
"DOID:0070115"	"Meckel syndrome 1"	"Meckel syndrome"
"DOID:0080253"	"Meckel syndrome 13"	"Meckel syndrome"
"DOID:0070116"	"Meckel syndrome 2"	"Meckel syndrome"
"DOID:0070117"	"Meckel syndrome 3"	"Meckel syndrome"
"DOID:0070118"	"Meckel syndrome 4"	"Meckel syndrome"
"DOID:0070119"	"Meckel syndrome 5"	"Meckel syndrome"
"DOID:0070120"	"Meckel syndrome 6"	"Meckel syndrome"
"DOID:0070121"	"Meckel syndrome 7"	"Meckel syndrome"
"DOID:0070122"	"Meckel syndrome 8"	"Meckel syndrome"
"DOID:8408"	"Meckel's diverticulitis"	"diverticulitis"
"DOID:9487"	"Meckel's diverticulum"	"physical disorder"
"DOID:10152"	"Meckel's diverticulum cancer"	"ileum cancer"
"DOID:0060451"	"Meesmann corneal dystrophy"	"epithelial and subepithelial dystrophy"
"DOID:0080670"	"Meesmann corneal dystrophy 1"	"Meesmann corneal dystrophy"
"DOID:0080671"	"Meesmann corneal dystrophy 2"	"Meesmann corneal dystrophy"
"DOID:0111861"	"Meester-Loeys syndrome"	"syndrome"
"DOID:0060306"	"Meier-Gorlin syndrome"	"syndrome"
"DOID:0080512"	"Meier-Gorlin syndrome 1"	"Meier-Gorlin syndrome"
"DOID:0080513"	"Meier-Gorlin syndrome 2"	"Meier-Gorlin syndrome"
"DOID:0080514"	"Meier-Gorlin syndrome 3"	"Meier-Gorlin syndrome"
"DOID:0080515"	"Meier-Gorlin syndrome 4"	"Meier-Gorlin syndrome"
"DOID:0080516"	"Meier-Gorlin syndrome 5"	"Meier-Gorlin syndrome"
"DOID:0080517"	"Meier-Gorlin syndrome 6"	"Meier-Gorlin syndrome"
"DOID:0080518"	"Meier-Gorlin syndrome 7"	"Meier-Gorlin syndrome"
"DOID:0080255"	"Meier-Gorlin syndrome 8"	"Meier-Gorlin syndrome"
"DOID:3982"	"Meige syndrome"	"cranio-facial dystonia"
"DOID:1761"	"Melkersson-Rosenthal syndrome"	"facial nerve disease"
"DOID:0111788"	"Melnick-Needles syndrome"	"otopalatodigital syndrome spectrum disorder"
"DOID:9849"	"Meniere's disease"	"endolymphatic hydrops"
"DOID:1838"	"Menkes disease"	"metal metabolism disorder"
"DOID:3965"	"Merkel cell carcinoma"	"skin carcinoma"
"DOID:0080642"	"Middle East respiratory syndrome"	"Coronavirus infectious disease"
"DOID:12900"	"Mikulicz disease"	"autoimmune disease"
"DOID:12889"	"Miller Fisher syndrome"	"Guillain-Barre syndrome"
"DOID:0060469"	"Miller-Dieker lissencephaly syndrome"	"syndrome"
"DOID:0070516"	"Mitchell syndrome"	"peroxisomal disease"
"DOID:0070316"	"Miura type epiphyseal chondrodysplasia"	"bone development disease"
"DOID:0070198"	"Miyoshi muscular dystrophy"	"distal myopathy"
"DOID:0070199"	"Miyoshi muscular dystrophy 1"	"Miyoshi muscular dystrophy"
"DOID:0070200"	"Miyoshi muscular dystrophy 2"	"Miyoshi muscular dystrophy"
"DOID:0070201"	"Miyoshi muscular dystrophy 3"	"Miyoshi muscular dystrophy"
"DOID:11312"	"Mobitz type II atrioventricular block"	"second-degree atrioventricular block"
"DOID:13501"	"Moebius syndrome"	"facial nerve disease"
"DOID:5161"	"Monckeberg arteriosclerosis"	"arteriosclerosis"
"DOID:0110973"	"Mononen-Karnes-Senac syndrome"	"brachydactyly"
"DOID:10439"	"Mooren's ulcer"	"corneal ulcer"
"DOID:13964"	"Morgagni cataract"	"senile cataract"
"DOID:0060485"	"Mowat-Wilson syndrome"	"syndrome"
"DOID:13099"	"Moyamoya disease"	"cerebral arterial disease"
"DOID:0050854"	"Muckle-Wells syndrome"	"syndrome"
"DOID:0060703"	"Muenke Syndrome"	"craniosynostosis"
"DOID:0050465"	"Muir-Torre syndrome"	"Lynch syndrome"
"DOID:0111714"	"Mulchandani-Bhoj-Conlin syndrome"	"syndrome"
"DOID:0111845"	"Mullegama-Klein-Martinez syndrome"	"syndromic X-linked intellectual disability"
"DOID:0111526"	"Mullerian aplasia and hyperandrogenism"	"disorder of sexual development"
"DOID:0060045"	"Munchausen by proxy"	"factitious disorder"
"DOID:10842"	"Murray Valley encephalitis"	"viral infectious disease"
"DOID:2755"	"Mycobacterium avium complex disease"	"primary bacterial infectious disease"
"DOID:13276"	"Mycoplasma pneumoniae pneumonia"	"bacterial pneumonia"
"DOID:0050769"	"N syndrome"	"syndrome"
"DOID:0040102"	"N,N'-diethylthiourea allergic contact dermatitis"	"allergic contact dermatitis"
"DOID:0040101"	"N,N'-diphenylthiourea allergic contact dermatitis"	"allergic contact dermatitis"
"DOID:0112258"	"N-acetylglutamate synthase deficiency"	"urea cycle disorder"
"DOID:0081067"	"N1 diffuse large B-cell lymphoma"	"diffuse large B-cell lymphoma"
"DOID:0111273"	"NARP syndrome"	"mitochondrial metabolism disease"
"DOID:0070039"	"NESCAV syndrome"	"autosomal dominant intellectual developmental disorder"
"DOID:0060409"	"NFIA-related disorder"	"syndrome"
"DOID:0080709"	"NK cell deficiency"	"primary immunodeficiency disease"
"DOID:0060463"	"NUT midline carcinoma"	"carcinoma"
"DOID:0111528"	"Naegeli-Franceschetti-Jadassohn syndrome"	"ectodermal dysplasia"
"DOID:0070555"	"Nagashima-type palmoplantar keratosis"	"nonepidermolytic palmoplantar keratoderma"
"DOID:5768"	"Nager acrofacial dysostosis"	"acrofacial dysostosis"
"DOID:0060599"	"Nance-Horan syndrome"	"syndrome"
"DOID:0090112"	"Nasu-Hakola disease"	"syndrome"
"DOID:0060346"	"Native American myopathy"	"congenital myopathy"
"DOID:0080551"	"Naxos disease"	"nonepidermolytic palmoplantar keratoderma"
"DOID:4968"	"Nelson syndrome"	"adrenal cortex disease"
"DOID:0081334"	"Nestor-Guillermo progeria syndrome"	"progeroid syndrome"
"DOID:0050474"	"Netherton syndrome"	"skin disease"
"DOID:0080076"	"Neu-Laxova syndrome 1"	"serine deficiency"
"DOID:0080075"	"Neu-Laxova syndrome 2"	"serine deficiency"
"DOID:2929"	"Newcastle disease"	"viral infectious disease"
"DOID:0111015"	"Newfoundland cone-rod dystrophy"	"cone-rod dystrophy"
"DOID:2012"	"Nezelof syndrome"	"T cell deficiency"
"DOID:0081441"	"Nicolaides-Baraitser syndrome"	"syndrome"
"DOID:14504"	"Niemann-Pick disease"	"sphingolipidosis"
"DOID:0070111"	"Niemann-Pick disease type A"	"Niemann-Pick disease"
"DOID:0070112"	"Niemann-Pick disease type B"	"Niemann-Pick disease"
"DOID:0070113"	"Niemann-Pick disease type C1"	"Niemann-Pick disease"
"DOID:0070114"	"Niemann-Pick disease type C2"	"Niemann-Pick disease"
"DOID:7400"	"Nijmegen breakage syndrome"	"syndrome"
"DOID:0050192"	"Nipah virus encephalitis"	"viral infectious disease"
"DOID:3490"	"Noonan syndrome"	"RASopathy"
"DOID:0060578"	"Noonan syndrome 1"	"Noonan syndrome"
"DOID:0060588"	"Noonan syndrome 10"	"Noonan syndrome"
"DOID:0112169"	"Noonan syndrome 11"	"Noonan syndrome"
"DOID:0112170"	"Noonan syndrome 12"	"Noonan syndrome"
"DOID:0112161"	"Noonan syndrome 13"	"Noonan syndrome"
"DOID:0060580"	"Noonan syndrome 2"	"Noonan syndrome"
"DOID:0060581"	"Noonan syndrome 3"	"Noonan syndrome"
"DOID:0060582"	"Noonan syndrome 4"	"Noonan syndrome"
"DOID:0060583"	"Noonan syndrome 5"	"Noonan syndrome"
"DOID:0060584"	"Noonan syndrome 6"	"Noonan syndrome"
"DOID:0060585"	"Noonan syndrome 7"	"Noonan syndrome"
"DOID:0060586"	"Noonan syndrome 8"	"Noonan syndrome"
"DOID:0060587"	"Noonan syndrome 9"	"Noonan syndrome"
"DOID:14291"	"Noonan syndrome with multiple lentigines"	"RASopathy"
"DOID:0080548"	"Noonan syndrome with multiple lentigines 1"	"Noonan syndrome with multiple lentigines"
"DOID:0080549"	"Noonan syndrome with multiple lentigines 2"	"Noonan syndrome with multiple lentigines"
"DOID:0080550"	"Noonan syndrome with multiple lentigines 3"	"Noonan syndrome with multiple lentigines"
"DOID:0080691"	"Noonan syndrome-like disorder with loose anagen hair"	"RASopathy"
"DOID:0080692"	"Noonan syndrome-like disorder with loose anagen hair 1"	"Noonan syndrome-like disorder with loose anagen hair"
"DOID:0080693"	"Noonan syndrome-like disorder with loose anagen hair 2"	"Noonan syndrome-like disorder with loose anagen hair"
"DOID:0060902"	"Norman-Roberts syndrome"	"lissencephaly"
"DOID:0060844"	"Norrie disease"	"syndrome"
"DOID:0070439"	"North Carolina macular dystrophy"	"retinal macular dystrophy"
"DOID:1391"	"Norum disease"	"hypolipoproteinemia"
"DOID:0050516"	"O'nyong'nyong fever"	"viral infectious disease"
"DOID:0050781"	"Ogden syndrome"	"syndrome"
"DOID:0110712"	"Oguchi disease-1"	"congenital stationary night blindness"
"DOID:0110713"	"Oguchi disease-2"	"congenital stationary night blindness"
"DOID:0060289"	"Ohdo syndrome"	"syndrome"
"DOID:0060290"	"Ohdo syndrome, SBBYS variant"	"Ohdo syndrome"
"DOID:0111271"	"Oliver-McFarlane syndrome"	"syndrome"
"DOID:4624"	"Ollier disease"	"syndrome"
"DOID:0060010"	"Omenn syndrome"	"severe combined immunodeficiency"
"DOID:992"	"Omsk hemorrhagic fever"	"viral infectious disease"
"DOID:0080697"	"Opitz GBBB syndrome"	"syndrome"
"DOID:0050521"	"Oropouche fever"	"viral infectious disease"
"DOID:7489"	"Osgood-Schlatter's disease"	"bone inflammation disease"
"DOID:0080519"	"PAPA syndrome"	"syndrome"
"DOID:0090111"	"PCWH syndrome"	"syndrome"
"DOID:0080539"	"PEHO syndrome"	"brain disease"
"DOID:0081451"	"PFAPA syndrome"	"autoimmune disease"
"DOID:0080181"	"PHARC syndrome"	"syndrome"
"DOID:0050722"	"PHGDH deficiency"	"serine deficiency"
"DOID:0070526"	"PLACK syndrome"	"skin disease"
"DOID:14039"	"POEMS syndrome"	"blood protein disease"
"DOID:0050723"	"PSAT deficiency"	"serine deficiency"
"DOID:0050724"	"PSPH deficiency"	"serine deficiency"
"DOID:0080191"	"PTEN hamartoma tumor syndrome"	"syndrome"
"DOID:2669"	"Pacinian tumor"	"neurofibroma"
"DOID:0111843"	"Paganini-Miozzo syndrome"	"syndromic X-linked intellectual disability"
"DOID:5408"	"Paget's disease of bone"	"hyperostosis"
"DOID:0081365"	"Paget's disease of bone 2"	"Paget's disease of bone"
"DOID:0081366"	"Paget's disease of bone 3"	"Paget's disease of bone"
"DOID:0081367"	"Paget's disease of bone 4"	"Paget's disease of bone"
"DOID:0081368"	"Paget's disease of bone 5"	"Paget's disease of bone"
"DOID:0081369"	"Paget's disease of bone 6"	"Paget's disease of bone"
"DOID:9248"	"Pallister-Hall syndrome"	"syndrome"
"DOID:8007"	"Pancoast tumor"	"lung cancer"
"DOID:3389"	"Papillon-Lefevre disease"	"ectodermal dysplasia"
"DOID:14330"	"Parkinson's disease"	"synucleinopathy"
"DOID:0060367"	"Parkinson's disease 1"	"late onset Parkinson's disease"
"DOID:0060900"	"Parkinson's disease 14"	"late onset Parkinson's disease"
"DOID:0060372"	"Parkinson's disease 15"	"early-onset Parkinson's disease"
"DOID:0060897"	"Parkinson's disease 17"	"late onset Parkinson's disease"
"DOID:0060891"	"Parkinson's disease 19A"	"early-onset Parkinson's disease"
"DOID:0060368"	"Parkinson's disease 2"	"early-onset Parkinson's disease"
"DOID:0060898"	"Parkinson's disease 20"	"early-onset Parkinson's disease"
"DOID:0111251"	"Parkinson's disease 21"	"late onset Parkinson's disease"
"DOID:0080504"	"Parkinson's disease 22"	"late onset Parkinson's disease"
"DOID:0060896"	"Parkinson's disease 23"	"early-onset Parkinson's disease"
"DOID:0070486"	"Parkinson's disease 25"	"early-onset Parkinson's disease"
"DOID:0111250"	"Parkinson's disease 3"	"late onset Parkinson's disease"
"DOID:0060895"	"Parkinson's disease 4"	"late onset Parkinson's disease"
"DOID:0060369"	"Parkinson's disease 6"	"early-onset Parkinson's disease"
"DOID:0060370"	"Parkinson's disease 7"	"early-onset Parkinson's disease"
"DOID:0060371"	"Parkinson's disease 8"	"late onset Parkinson's disease"
"DOID:0080855"	"Parkinsonism"	"movement disease"
"DOID:14744"	"Partington syndrome"	"syndromic X-linked intellectual disability"
"DOID:11665"	"Patau syndrome"	"chromosomal disease"
"DOID:0060067"	"Pearson syndrome"	"mitochondrial metabolism disease"
"DOID:5501"	"Pediculus humanus capitis infestation"	"lice infestation"
"DOID:5513"	"Pediculus humanus corporis infestation"	"lice infestation"
"DOID:9631"	"Pelger-Huet anomaly"	"hematopoietic system disease"
"DOID:3210"	"Pelizaeus-Merzbacher disease"	"hypomyelinating leukodystrophy"
"DOID:0060744"	"Pendred Syndrome"	"syndrome"
"DOID:0060476"	"Perlman syndrome"	"syndrome"
"DOID:0081440"	"Peroxisome biogenesis disorder 10B"	"peroxisomal biogenesis disorder"
"DOID:0081439"	"Peroxisome biogenesis disorder 11B"	"peroxisomal biogenesis disorder"
"DOID:0081433"	"Peroxisome biogenesis disorder 4B"	"peroxisomal biogenesis disorder"
"DOID:0081434"	"Peroxisome biogenesis disorder 5B"	"peroxisomal biogenesis disorder"
"DOID:0081435"	"Peroxisome biogenesis disorder 6B"	"peroxisomal biogenesis disorder"
"DOID:0081436"	"Peroxisome biogenesis disorder 7B"	"peroxisomal biogenesis disorder"
"DOID:0081437"	"Peroxisome biogenesis disorder 8B"	"peroxisomal biogenesis disorder"
"DOID:0081438"	"Peroxisome biogenesis disorder 9B"	"peroxisomal biogenesis disorder"
"DOID:0050857"	"Perrault syndrome"	"syndrome"
"DOID:0061117"	"Perrault syndrome 2"	"Perrault syndrome"
"DOID:0080256"	"Perrault syndrome 6"	"Perrault syndrome"
"DOID:0061073"	"Perrault syndrome 7"	"Perrault syndrome"
"DOID:0060486"	"Perry syndrome"	"syndrome"
"DOID:0060673"	"Peters anomaly"	"corneal disease"
"DOID:0080201"	"Peters plus syndrome"	"syndrome"
"DOID:3852"	"Peutz-Jeghers syndrome"	"intestinal disease"
"DOID:8616"	"Peyronie's disease"	"penile disease"
"DOID:14705"	"Pfeiffer syndrome"	"acrocephalosyndactylia"
"DOID:0080354"	"Phelan-McDermid syndrome"	"chromosomal deletion syndrome"
"DOID:11360"	"Phlebotomus fever"	"viral infectious disease"
"DOID:12997"	"Phlegmonous dacryocystitis"	"dacryocystitis"
"DOID:11870"	"Pick's disease"	"frontotemporal dementia"
"DOID:0081362"	"Pierpont syndrome"	"autosomal dominant intellectual developmental disorder"
"DOID:0060852"	"Pierson syndrome"	"syndrome"
"DOID:0060488"	"Pitt-Hopkins syndrome"	"syndrome"
"DOID:0111332"	"Pitt-Hopkins-like syndrome 2"	"syndromic intellectual disability"
"DOID:14067"	"Plasmodium falciparum malaria"	"malaria"
"DOID:14324"	"Plasmodium malariae malaria"	"malaria"
"DOID:12919"	"Plasmodium ovale malaria"	"malaria"
"DOID:12978"	"Plasmodium vivax malaria"	"malaria"
"DOID:12225"	"Plica syndrome"	"arthropathy"
"DOID:11277"	"Plummer's disease"	"hyperthyroidism"
"DOID:12961"	"Poland syndrome"	"physical disorder"
"DOID:0040086"	"Polyomavirus-associated nephropathy"	"viral infectious disease"
"DOID:0050150"	"Pontiac fever"	"legionellosis"
"DOID:0060853"	"Potocki-Lupski syndrome"	"chromosomal duplication syndrome"
"DOID:0111687"	"Potocki-Shaffer syndrome"	"syndrome"
"DOID:12594"	"Potter's syndrome"	"renal agenesis"
"DOID:0050179"	"Powassan encephalitis"	"viral infectious disease"
"DOID:11983"	"Prader-Willi syndrome"	"chromosomal disease"
"DOID:0060805"	"Prieto syndrome"	"syndromic X-linked intellectual disability"
"DOID:0111151"	"Prinzmetal angina"	"coronary artery vasospasm"
"DOID:13482"	"Proteus syndrome"	"PTEN hamartoma tumor syndrome"
"DOID:13760"	"Pthirus pubis infestation"	"lice infestation"
"DOID:11100"	"Q fever"	"primary bacterial infectious disease"
"DOID:0050740"	"Qazi Markouizos syndrome"	"syndrome"
"DOID:0111050"	"Quebec platelet disorder"	"blood platelet disease"
"DOID:10784"	"Queensland tick typhus"	"spotted fever"
"DOID:0080690"	"RASopathy"	"syndrome"
"DOID:0080892"	"RELA fusion-positive ependymoma"	"supratentorial ependymoma"
"DOID:9091"	"REM sleep behavior disorder"	"sleep disorder"
"DOID:0090113"	"RIDDLE syndrome"	"syndrome"
"DOID:0081007"	"RNASET2-deficient cystic leukoencephalopathy"	"leukodystrophy"
"DOID:0081097"	"Rafiq syndrome"	"autosomal recessive intellectual developmental disorder"
"DOID:0060330"	"Rapp-Hodgkin syndrome"	"ectodermal dysplasia"
"DOID:10300"	"Raynaud disease"	"peripheral vascular disease"
"DOID:0112060"	"Raynaud-Claes syndrome"	"syndromic X-linked intellectual disability"
"DOID:10582"	"Refsum disease"	"lipid metabolism disorder"
"DOID:0060453"	"Reis-Bucklers corneal dystrophy"	"epithelial-stromal TGFBI dystrophy"
"DOID:0060179"	"Renpenning syndrome"	"syndromic X-linked intellectual disability"
"DOID:1206"	"Rett syndrome"	"pervasive developmental disorder"
"DOID:0070026"	"Revesz syndrome"	"dyskeratosis congenita"
"DOID:14525"	"Reye syndrome"	"syndrome"
"DOID:0050641"	"Rh deficiency syndrome"	"hemolytic anemia"
"DOID:4175"	"Rh isoimmunization"	"blood group incompatibility"
"DOID:1703"	"Richter's syndrome"	"chronic lymphocytic leukemia"
"DOID:0050051"	"Rickettsia parkeri spotted fever"	"spotted fever"
"DOID:14351"	"Riedel's fibrosing thyroiditis"	"thyroiditis"
"DOID:1328"	"Rift Valley fever"	"viral infectious disease"
"DOID:11589"	"Riley-Day syndrome"	"hereditary sensory neuropathy"
"DOID:0060565"	"Ritscher-Schinzel syndrome"	"syndrome"
"DOID:0060571"	"Ritscher-Schinzel syndrome 1"	"Ritscher-Schinzel syndrome"
"DOID:0060572"	"Ritscher-Schinzel syndrome 2"	"Ritscher-Schinzel syndrome"
"DOID:9063"	"Ritter's disease"	"commensal bacterial infectious disease"
"DOID:5325"	"Roberts syndrome"	"syndrome"
"DOID:0060254"	"Robinow syndrome"	"syndrome"
"DOID:0050052"	"Rocky Mountain spotted fever"	"spotted fever"
"DOID:0111645"	"Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome"	"infancy electroclinical syndrome"
"DOID:0050518"	"Ross River fever"	"viral infectious disease"
