ID	LABEL	SubClass Of [ANON]
DOID:0070386	developmental and epileptic encephalopathy 100	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070387	developmental and epileptic encephalopathy 101	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070388	developmental and epileptic encephalopathy 102	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070389	developmental and epileptic encephalopathy 103	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070390	developmental and epileptic encephalopathy 104	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070391	developmental and epileptic encephalopathy 105	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070392	developmental and epileptic encephalopathy 106	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070393	developmental and epileptic encephalopathy 107	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070394	developmental and epileptic encephalopathy 108	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070395	developmental and epileptic encephalopathy 110	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070396	progressive leukoencephalopathy with ovarian failure	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070397	hypomyelinating leukodystrophy 23	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070398	hypomyelinating leukodystrophy 15	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070399	hypomyelinating leukodystrophy 18	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070400	hypomyelinating leukodystrophy 19	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070401	hypomyelinating leukodystrophy 25	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070402	hypomyelinating leukodystrophy 22	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070403	hypomyelinating leukodystrophy 26	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070404	hypomyelinating leukodystrophy 17	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070405	hypomyelinating leukodystrophy 16	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070406	hypomyelinating leukodystrophy 24	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070407	hypomyelinating leukodystrophy 21	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070408	Hengel-Maroofian-Schols syndrome	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070415	brachycephaly, trichomegaly, and developmental delay	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070418	vertebral hypersegmentation and orofacial anomalies	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070424	combined oxidative phosphorylation deficiency 44	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070425	combined oxidative phosphorylation deficiency 52	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070426	combined oxidative phosphorylation deficiency 53	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070427	combined oxidative phosphorylation deficiency 54	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070428	combined oxidative phosphorylation deficiency 55	'has material basis in' some 'autosomal inheritance'
DOID:0070429	combined oxidative phosphorylation deficiency 56	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070430	combined oxidative phosphorylation deficiency 57	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070438	retinal macular dystrophy	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070442	paroxysmal nonkinesigenic dyskinesia 3	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070445	early-onset dystonia and/or spastic paraplegia	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070446	mitochondrial DNA depletion syndrome 16	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070447	mitochondrial DNA depletion syndrome 16B	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070448	mitochondrial DNA depletion syndrome 17	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070449	mitochondrial DNA depletion syndrome 18	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070450	mitochondrial DNA depletion syndrome 19	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070451	mitochondrial DNA depletion syndrome 20	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070454	hereditary spastic paraplegia 70	'existence starts during' some 'Infantile onset'|'has material basis in' some 'autosomal recessive inheritance'
DOID:0070455	hereditary spastic paraplegia 79A	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070456	hereditary spastic paraplegia 87	'existence starts during' some ('Infantile onset' or 'Childhood onset')|'has material basis in' some 'autosomal recessive inheritance'
DOID:0070457	hereditary spastic paraplegia 88	'existence starts during' some ('Infantile onset' or 'Childhood onset')|'has material basis in' some 'autosomal dominant inheritance'
DOID:0070458	hereditary spastic paraplegia 89	'existence starts during' some ('Infantile onset' or 'Childhood onset')|'has material basis in' some 'autosomal recessive inheritance'
DOID:0070459	hereditary spastic paraplegia 90A	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070460	hereditary spastic paraplegia 90B	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070461	mitochondrial complex V (ATP synthase) deficiency nuclear type 4A	'existence starts during' some 'Infantile onset'|'has material basis in' some 'autosomal dominant inheritance'
DOID:0070462	mitochondrial complex V (ATP synthase) deficiency nuclear type 4B	'existence starts during' some 'Congenital onset'|'has material basis in' some 'autosomal recessive inheritance'
DOID:0070463	mitochondrial complex V (ATP synthase) deficiency nuclear type 5	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070464	mitochondrial complex V (ATP synthase) deficiency nuclear type 7	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070466	carpal tunnel syndrome 1	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070467	carpal tunnel syndrome 2	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070468	Yoon-Bellen neurodevelopmental syndrome	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070470	chromosome 1p36.33 duplication syndrome	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070471	early-onset epilepsy 2	'existence starts during' some ('Infantile onset' or 'Neonatal onset' or 'Childhood onset')|'has material basis in' some 'autosomal dominant inheritance'
DOID:0070472	early-onset epilepsy 3	'existence starts during' some ('Infantile onset' or 'Childhood onset')|'has material basis in' some 'autosomal dominant inheritance'
DOID:0070473	Zaki syndrome	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070474	childhood-onset neurodegeneration with brain atrophy	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070475	SMARCB1-deficient renal medullary carcinoma	'disease has location' some 'renal medulla'
DOID:0070476	diphthamide deficiency syndrome	'has material basis in' some 'autosomal recessive inheritance'|'has phenotype' some 'Global developmental delay'|'has phenotype' some 'Short stature'|'has phenotype' some 'Sparse hair'
DOID:0070482	spinal neurofibromatosis	'disease has location' some 'spinal nerve root'
DOID:0070483	Watson syndrome	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070484	Legius syndrome	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070485	mitochondrial complex IV deficiency nuclear type 23	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070486	Parkinson's disease 25	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070487	dopamine transporter deficiency syndrome	'has material basis in' some 'autosomal inheritance'
DOID:0070488	atypical dopamine transporter deficiency syndrome	('has material basis in' some 'Adult onset') or ('has material basis in' some 'Juvenile onset')
DOID:0070489	classic dopamine transporter deficiency syndrome	'has material basis in' some 'Infantile onset'|'has material basis in' some 'autosomal recessive inheritance'
DOID:0070490	infantile parkinsonism-dystonia 2	'has material basis in' some 'Infantile onset'|'has material basis in' some 'autosomal recessive inheritance'
DOID:0070491	mitochondrial complex IV deficiency nuclear type 1	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070492	mitochondrial complex IV deficiency nuclear type 3	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070493	mitochondrial complex IV deficiency nuclear type 4	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070494	mitochondrial complex IV deficiency nuclear type 7	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070495	mitochondrial complex IV deficiency nuclear type 8	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070496	mitochondrial complex IV deficiency nuclear type 10	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070497	mitochondrial complex IV deficiency nuclear type 11	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070498	mitochondrial complex IV deficiency nuclear type 12	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070499	mitochondrial complex IV deficiency nuclear type 14	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070500	mitochondrial complex IV deficiency nuclear type 15	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070501	mitochondrial complex IV deficiency nuclear type 16	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070502	mitochondrial complex IV deficiency nuclear type 17	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070503	mitochondrial complex IV deficiency nuclear type 18	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070504	mitochondrial complex IV deficiency nuclear type 19	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070505	mitochondrial complex IV deficiency nuclear type 20	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070506	mitochondrial complex IV deficiency nuclear type 21	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070507	mitochondrial complex IV deficiency nuclear type 22	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070509	Schinzel Giedion syndrome	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070510	inflammatory poikiloderma with hair abnormalities and acral keratoses	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070511	polyhydramnios, megalencephaly, and symptomatic epilepsy	'existence starts during' some 'Fetal onset'|'has material basis in' some 'autosomal recessive inheritance'
DOID:0070512	neurodevelopmental disorder with hypotonia and speech delay	'has material basis in' some 'autosomal inheritance'
DOID:0070516	Mitchell syndrome	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070518	familial multiple lipomatosis	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070526	PLACK syndrome	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070527	Borrelia miyamotoi disease	'has material basis in' some 'Borrelia miyamotoi'|'has symptom' some 'joint pain'|'has symptom' some 'muscle pain'|'has symptom' some asthenia|'has symptom' some chills|'has symptom' some fatigue|'has symptom' some fever|'has symptom' some headache|'has symptom' some nausea|'transmitted by' some 'tick borne transmission'|('transmitted by' some 'Ixodes pacificus') or ('transmitted by' some 'Ixodes ricinus') or ('transmitted by' some 'Ixodes persulcatus') or ('transmitted by' some 'Ixodes scapularis')
DOID:0070528	cepacia syndrome	'disease has feature' some 'adult respiratory distress syndrome'|'has material basis in' some 'Burkholderia cepacia complex'|('transmitted by' some 'contact transmission') or ('transmitted by' some 'droplet spread transmission') or ('transmitted by' some 'vehicle-borne fomite transmission') or ('transmitted by' some 'vehicle-borne ingestion transmission')
DOID:0070530	foveal hypoplasia 1	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070531	foveal hypoplasia 2	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070532	aniridia 1	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070533	long QT syndrome 16	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070536	neurodevelopmental disorder with hypotonia, language delay, and skeletal defects with or without seizures	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070539	Halperin-Birk syndrome	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070540	mitochondrial short-chain enoyl-CoA hydratase 1 deficiency	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070541	3-hydroxy-3-methylglutaryl-CoA lyase deficiency	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070542	neurodevelopmental disorder with spastic paraplegia and microcephaly	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070543	neurodevelopmental disorder with cardiomyopathy, spasticity, and brain abnormalities	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070544	congenital glutamine deficiency	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070545	developmental and epileptic encephalopathy 116	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070546	primary pigmented nodular adrenocortical disease 1	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070547	primary pigmented nodular adrenocortical disease 2	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070549	primary pigmented nodular adrenocortical disease 4	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070551	epidermolytic palmoplantar keratoderma 2	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070552	epidermolytic palmoplantar keratoderma 1	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070554	palmoplantar keratoderma and woolly hair	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070555	Nagashima-type palmoplantar keratosis	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070560	glucose transporter type 1 deficiency syndrome	'has material basis in' some 'autosomal inheritance'
DOID:0070562	Fanconi-Bickel syndrome	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070563	glucose-galactose malabsorption	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070565	spermatogenic failure 66	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070566	spermatogenic failure 67	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070567	spermatogenic failure 68	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070568	spermatogenic failure 69	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070569	spermatogenic failure 70	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070570	spermatogenic failure 71	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070571	spermatogenic failure 72	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070572	spermatogenic failure 73	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070573	spermatogenic failure 74	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070574	spermatogenic failure 75	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070575	spermatogenic failure 76	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070576	spermatogenic failure 77	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070577	spermatogenic failure 78	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070578	spermatogenic failure 79	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070579	spermatogenic failure 80	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070580	spermatogenic failure 81	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070581	spermatogenic failure 82	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070582	spermatogenic failure 83	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070583	spermatogenic failure 84	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070584	spermatogenic failure 85	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070585	spermatogenic failure 86	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070586	spermatogenic failure 87	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070587	spermatogenic failure 88	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070588	spermatogenic failure 89	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070589	spermatogenic failure 90	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070590	spermatogenic failure 91	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070591	spermatogenic failure 92	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070592	spermatogenic failure 93	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070593	spermatogenic failure 94	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070594	spermatogenic failure 95	'has material basis in' some 'autosomal recessive inheritance'
DOID:0070595	X-linked spermatogenic failure 4	'has material basis in' some 'X-linked inheritance'
DOID:0070596	X-linked spermatogenic failure 5	'has material basis in' some 'X-linked inheritance'
DOID:0070597	X-linked spermatogenic failure 6	'has material basis in' some 'X-linked inheritance'
DOID:0070598	X-linked spermatogenic failure 7	'has material basis in' some 'X-linked recessive inheritance'
DOID:0070599	X-linked spermatogenic failure 8	'has material basis in' some 'X-linked inheritance'
DOID:0070613	familial renal glucosuria	'has material basis in' some 'autosomal dominant inheritance'|'has material basis in' some 'autosomal recessive inheritance'
DOID:0070615	autoinflammation, antibody deficiency, and immune dysregulation syndrome	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070617	rhabdoid tumor predisposition syndrome	'existence starts during' some ('Infantile onset' or 'Childhood onset')|'has material basis in' some 'autosomal dominant inheritance'
DOID:0070618	rhabdoid tumor predisposition syndrome 1	'has material basis in' some 'autosomal dominant inheritance'
DOID:0070629	acute myeloid leukemia with CBFA2T3-GLIS2 fusion	'existence starts during' some ('Infantile onset' or 'Childhood onset')
DOID:0080007	bone deterioration disease	'disease has location' some 'bone element'
DOID:0080010	bone structure disease	'has phenotype' some 'Abnormal bone structure'
DOID:0080020	Jansen's metaphyseal chondrodysplasia	'has material basis in' some 'autosomal dominant inheritance'|'has phenotype' some 'Disproportionate short-limb short stature'
DOID:0080021	Schmid metaphyseal chondrodysplasia	'has phenotype' some 'Severe short stature'
DOID:0080026	otospondylomegaepiphyseal dysplasia, autosomal recessive	'disease has location' some epiphysis|'has material basis in' some 'autosomal recessive inheritance'|'has phenotype' some Platyspondyly
DOID:0080027	spondyloepimetaphyseal dysplasia	'disease has location' some 'vertebral column'|'disease has location' some epiphysis|'disease has location' some metaphysis
DOID:0080028	spondyloepimetaphyseal dysplasia, Strudwick type	'disease has location' some 'vertebral column'|'disease has location' some sternum|'has material basis in' some 'autosomal dominant inheritance'|'has phenotype' some 'Coxa vara'|'has phenotype' some 'Pectus carinatum'|'has phenotype' some 'Talipes equinovarus'|'has phenotype' some Hyperlordosis|'has phenotype' some Platyspondyly|'has symptom' some 'short stature'
DOID:0080030	spondyloepimetaphyseal dysplasia, Missouri type	'disease has location' some 'vertebral column'|'has material basis in' some 'autosomal dominant inheritance'|'has phenotype' some 'Genu varum'|'has phenotype' some 'Pear-shaped vertebrae'
DOID:0080032	craniodiaphyseal dysplasia	'has phenotype' some 'Increased bone mineral density'
DOID:0080033	craniometaphyseal dysplasia	'has phenotype' some 'Increased bone mineral density'
DOID:0080036	SOST-related sclerosing bone dysplasia	'has material basis in' some 'autosomal recessive inheritance'|'has phenotype' some Overgrowth
DOID:0080037	Worth syndrome	'has material basis in' some 'autosomal dominant inheritance'|'has phenotype' some 'Increased bone mineral density'
DOID:0080038	pycnodysostosis	'has material basis in' some 'autosomal recessive inheritance'|'has phenotype' some 'Severe short stature'
DOID:0080039	axial osteomalacia	'has phenotype' some 'Increased bone mineral density'
DOID:0080041	hypochondroplasia	'has material basis in' some 'autosomal dominant inheritance'
DOID:0080043	achondrogenesis	'has phenotype' some 'Narrow chest'|'has phenotype' some 'Severe short stature'
DOID:0080044	hypochondrogenesis	'disease has basis in' some gene|'disease has location' some ('vertebral column' or 'bony pelvis')|'has phenotype' some 'Hydrops fetalis'|'has symptom' some bloating
DOID:0080045	Kniest dysplasia	'has material basis in' some 'autosomal dominant inheritance'|'has phenotype' some 'Disproportionate short-trunk short stature'|'has phenotype' some 'Malar flattening'|'has phenotype' some 'Severe short stature'
DOID:0080047	pseudoachondroplasia	'has material basis in' some 'autosomal dominant inheritance'
DOID:0080050	acromesomelic dysplasia, Maroteaux type	'disease has location' some 'vertebral column'|'disease has location' some limb|'has material basis in' some 'autosomal recessive inheritance'
DOID:0080051	acromesomelic dysplasia, Hunter-Thompson type	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080052	acromesomelic dysplasia, Grebe type	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080053	pseudohypoparathyroidism type 1A	'disease has location' some foot|'disease has location' some hand|'has symptom' some 'short stature'
DOID:0080054	achondrogenesis type IA	'disease has location' some 'vertebral column'|'has material basis in' some 'autosomal recessive inheritance'
DOID:0080055	achondrogenesis type IB	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080056	achondrogenesis type II	'disease has location' some ('vertebral column' or 'bony pelvis')|'has material basis in' some 'autosomal dominant inheritance'
DOID:0080067	Charcot-Marie-Tooth disease type 5	'has material basis in' some 'autosomal dominant inheritance'
DOID:0080071	mucolipidosis III alpha/beta	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080075	Neu-Laxova syndrome 2	'has symptom' some ptosis
DOID:0080076	Neu-Laxova syndrome 1	'has symptom' some ptosis
DOID:0080077	hypophosphatemic nephrolithiasis/osteoporosis 1	'has material basis in' some 'autosomal dominant inheritance'
DOID:0080078	hypophosphatemic nephrolithiasis/osteoporosis 2	'has material basis in' some 'autosomal dominant inheritance'
DOID:0080079	nonsyndromic congenital nail disorder 1	'disease has basis in' some 'Abnormality of prenatal development or birth'|'has material basis in' some 'autosomal dominant inheritance'
DOID:0080080	nonsyndromic congenital nail disorder 2	'disease has basis in' some 'Abnormality of prenatal development or birth'|'has material basis in' some 'autosomal dominant inheritance'
DOID:0080081	nonsyndromic congenital nail disorder 3	'disease has basis in' some 'Abnormality of prenatal development or birth'|'has material basis in' some 'autosomal dominant inheritance'|'has material basis in' some 'autosomal recessive inheritance'
DOID:0080082	nonsyndromic congenital nail disorder 4	'disease has basis in' some 'Abnormality of prenatal development or birth'|'has material basis in' some 'autosomal recessive inheritance'
DOID:0080083	nonsyndromic congenital nail disorder 5	'disease has basis in' some 'Abnormality of prenatal development or birth'|'has material basis in' some 'autosomal dominant inheritance'
DOID:0080084	nonsyndromic congenital nail disorder 6	'disease has basis in' some 'Abnormality of prenatal development or birth'|'has material basis in' some 'autosomal dominant inheritance'
DOID:0080085	nonsyndromic congenital nail disorder 7	'disease has basis in' some 'Abnormality of prenatal development or birth'|'has material basis in' some 'autosomal dominant inheritance'
DOID:0080086	nonsyndromic congenital nail disorder 8	'disease has basis in' some 'Abnormality of prenatal development or birth'|'disease has location' some (nail and foot)|'has material basis in' some 'autosomal dominant inheritance'
DOID:0080087	nonsyndromic congenital nail disorder 9	'disease has basis in' some 'Abnormality of prenatal development or birth'|'has material basis in' some 'autosomal recessive inheritance'
DOID:0080089	tubular aggregate myopathy 1	'has material basis in' some 'autosomal dominant inheritance'
DOID:0080090	reducing body myopathy 1A	'has material basis in' some 'X-linked dominant inheritance'
DOID:0080092	myofibrillar myopathy 1	'has material basis in' some 'autosomal dominant inheritance'|'has material basis in' some 'autosomal recessive inheritance'
DOID:0080093	myofibrillar myopathy 2	'has material basis in' some 'autosomal dominant inheritance'
DOID:0080094	myofibrillar myopathy 3	'has material basis in' some 'autosomal dominant inheritance'
DOID:0080095	myofibrillar myopathy 4	'has material basis in' some 'autosomal dominant inheritance'
DOID:0080096	myofibrillar myopathy 5	'has material basis in' some 'autosomal dominant inheritance'
DOID:0080097	myofibrillar myopathy 6	'has material basis in' some 'autosomal dominant inheritance'
DOID:0080098	myofibrillar myopathy 7	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080101	Compton-North congenital myopathy	'disease has basis in' some 'Abnormality of prenatal development or birth'|'has material basis in' some 'autosomal recessive inheritance'|'has symptom' some 'muscle weakness'
DOID:0080102	congenital myopathy 4A	'disease has basis in' some 'Abnormality of prenatal development or birth'|'has material basis in' some 'autosomal dominant inheritance'
DOID:0080103	cylindrical spirals myopathy	'has symptom' some 'muscle weakness'
DOID:0080105	microcephaly and chorioretinopathy 1	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080106	microcephaly and chorioretinopathy 2	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080107	microcephaly and chorioretinopathy 3	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080110	contractures, pterygia, and spondylocarpotarsal fusion syndrome	'disease has basis in' some gene|'disease has location' some 'axilla skin'|'disease has location' some finger|'disease has location' some foot
DOID:0080111	mitochondrial complex III deficiency nuclear type 1	'disease has basis in' some structural_variant
DOID:0080112	mitochondrial complex III deficiency nuclear type 3	'disease has basis in' some structural_variant
DOID:0080113	mitochondrial complex III deficiency nuclear type 4	'disease has basis in' some structural_variant
DOID:0080114	mitochondrial complex III deficiency nuclear type 5	'disease has basis in' some structural_variant
DOID:0080115	mitochondrial complex III deficiency nuclear type 6	'disease has basis in' some structural_variant
DOID:0080116	mitochondrial complex III deficiency nuclear type 7	'disease has basis in' some structural_variant
DOID:0080117	mitochondrial complex III deficiency nuclear type 8	'disease has basis in' some structural_variant
DOID:0080118	mitochondrial complex III deficiency nuclear type 9	'disease has basis in' some structural_variant
DOID:0080119	mitochondrial DNA depletion syndrome 1	'has material basis in' some 'autosomal recessive inheritance'|'has symptom' some ptosis
DOID:0080120	mitochondrial DNA depletion syndrome 2	'has material basis in' some 'autosomal recessive inheritance'|'has symptom' some 'muscle weakness'
DOID:0080121	mitochondrial DNA depletion syndrome 3	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080122	Alpers-Huttenlocher syndrome	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080123	mitochondrial DNA depletion syndrome 4b	'has material basis in' some 'autosomal recessive inheritance'|'has symptom' some 'muscle weakness'
DOID:0080124	mitochondrial DNA depletion syndrome 5	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080125	mitochondrial DNA depletion syndrome 6	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080126	mitochondrial DNA depletion syndrome 7	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080127	mitochondrial DNA depletion syndrome 8a	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080128	mitochondrial DNA depletion syndrome 9	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080129	mitochondrial DNA depletion syndrome 11	'has material basis in' some 'autosomal recessive inheritance'|'has symptom' some 'muscle weakness'
DOID:0080130	mitochondrial DNA depletion syndrome 12a	'has material basis in' some 'autosomal dominant inheritance'
DOID:0080131	mitochondrial DNA depletion syndrome 13	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080132	Sengers syndrome	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080133	multiple mitochondrial dysfunctions syndrome 1	'has material basis in' some 'autosomal recessive inheritance'|'has symptom' some 'muscle weakness'
DOID:0080134	multiple mitochondrial dysfunctions syndrome 2	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080135	multiple mitochondrial dysfunctions syndrome 3	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080136	multiple mitochondrial dysfunctions syndrome 4	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080137	multiple endocrine neoplasia type 4	'has material basis in' some 'autosomal dominant inheritance'
DOID:0080138	multiple congenital anomalies-hypotonia-seizures syndrome 1	'disease has basis in' some 'Abnormality of prenatal development or birth'|'has material basis in' some 'autosomal recessive inheritance'
DOID:0080139	multiple congenital anomalies-hypotonia-seizures syndrome 2	'disease has basis in' some 'Abnormality of prenatal development or birth'|'has material basis in' some 'X-linked recessive inheritance'
DOID:0080140	multiple congenital anomalies-hypotonia-seizures syndrome 3	'disease has basis in' some 'Abnormality of prenatal development or birth'|'has material basis in' some 'autosomal recessive inheritance'
DOID:0080141	mosaic variegated aneuploidy syndrome 1	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080142	mosaic variegated aneuploidy syndrome 2	'has material basis in' some 'autosomal recessive inheritance'
DOID:0080143	congenital fibrosis of the extraocular muscles	'disease has basis in' some 'Abnormality of prenatal development or birth'
DOID:0080144	childhood acute lymphocytic leukemia	'existence starts during' some 'Childhood onset'
DOID:0080145	childhood T-cell acute lymphoblastic leukemia	'existence starts during' some 'Childhood onset'|'has material basis in' some 'T cell'
DOID:0080146	childhood B-cell acute lymphoblastic leukemia	'existence starts during' some 'Childhood onset'|'has material basis in' some 'lymphocyte of B lineage'
DOID:0080148	T-cell childhood lymphoblastic lymphoma	'existence starts during' some 'Childhood onset'|'has material basis in' some 'T cell'
DOID:0080149	adult acute monocytic leukemia	'existence starts during' some 'Adult onset'
DOID:0080156	X-linked adrenal hypoplasia congenita	'has material basis in' some 'X-linked recessive inheritance'
DOID:0080161	cutaneous candidiasis	'disease has location' some 'zone of skin'
