ID	LABEL	Equivalent Class
DOID:2430	skin glomus tumor	'glomus tumor' and ('disease has location' some 'zone of skin')
DOID:2435	skin glomangioma	glomangioma and ('disease has location' some 'zone of skin')
DOID:2462	retinal vascular disease	'vascular disease' and ('disease has location' some retina)
DOID:2513	basal cell carcinoma	cancer and ('derives from' some 'basal cell')
DOID:2519	testicular disease	disease and ('disease has location' some testis)
DOID:2529	splenic disease	disease and ('disease has location' some spleen)
DOID:2531	hematologic cancer	cancer and ('disease has location' some 'hematopoietic system')
DOID:255	hemangioma	'benign neoplasm' and ('derives from' some 'endothelial cell')
DOID:2595	glottis cancer	cancer and ('disease has location' some glottis)
DOID:2596	larynx cancer	cancer and ('disease has location' some larynx)
DOID:2598	laryngeal benign neoplasm	'benign neoplasm' and ('disease has location' some larynx)
DOID:26	pancreas disease	disease and ('disease has location' some pancreas)
DOID:260	hepatic flexure cancer	cancer and ('disease has location' some 'hepatic flexure of colon')
DOID:2602	chondroma	'benign neoplasm' and ('derives from' some chondrocyte)
DOID:2609	adenomyoma	'benign neoplasm' and (('derives from' some 'glandular secretory epithelial cell') and ('derives from' some 'muscle cell'))
DOID:261	transverse colon cancer	cancer and ('disease has location' some 'transverse colon')
DOID:2615	papilloma	'benign neoplasm' and (('derives from' some 'epithelial cell') and ('derives from' some mucosa))
DOID:263	kidney cancer	cancer and ('disease has location' some kidney)
DOID:2645	benign mesothelioma	'benign mesothelioma' and (('derives from' some 'epithelioid macrophage') and ('disease has location' some mesothelium))
DOID:2649	chondroblastoma	disease and ('derives from' some chondroblast)
DOID:2664	sweat gland benign neoplasm	'benign neoplasm' and ('disease has location' some 'sweat gland')
DOID:2671	transitional cell carcinoma	cancer and ('derives from' some 'transitional epithelial cell')
DOID:2683	adenofibroma	'benign neoplasm' and (('derives from' some 'epithelial cell') and ('derives from' some 'stromal cell'))
DOID:2706	synovium cancer	cancer and ('disease has location' some 'layer of synovial tissue')
DOID:272	hepatic vascular disease	'vascular disease' and ('disease has location' some liver)
DOID:2742	auditory system disease	disease and ('disease has location' some 'auditory system')
DOID:2775	long bone adamantinoma	adamantinoma and ('disease has location' some 'long bone')
DOID:2786	cerebellar disease	disease and ('disease has location' some cerebellum)
DOID:28	endocrine system disease	disease and ('disease has location' some 'endocrine system')
DOID:2814	malignant neoplasm of acoustic nerve	cancer and ('disease has location' some 'vestibulocochlear nerve')
DOID:2815	cranial nerve malignant neoplasm	cancer and ('disease has location' some 'cranial nerve')
DOID:2825	nose disease	disease and ('disease has location' some nose)
DOID:288	endometriosis of uterus	endometriosis and ('disease has location' some myometrium)
DOID:289	endometriosis	disease and ('disease has location' some endometrium)
DOID:2914	immune system disease	disease and ('disease has location' some 'immune system')
DOID:292	lacrimal system cancer	cancer and ('disease has location' some 'lacrimal apparatus')
DOID:2938	Epstein-Barr virus infectious disease	disease and ('has material basis in' some 'human gammaherpesvirus 4')
DOID:294	lacrimal gland cancer	cancer and ('disease has location' some 'lacrimal gland')
DOID:2952	inner ear disease	disease and ('disease has location' some 'internal ear')
DOID:299	adenocarcinoma	cancer and ('derives from' some ('epithelial cell' and (has_origin some gland)))
DOID:2992	prostate neuroendocrine neoplasm	'neuroendocrine tumor' and ('disease has location' some 'prostate gland')
DOID:2994	germ cell cancer	cancer and ('derives from' some 'germ cell')
DOID:2998	testicular cancer	cancer and ('disease has location' some testis)
DOID:3002	ovary neuroendocrine neoplasm	'neuroendocrine tumor' and ('disease has location' some ovary)
DOID:3003	nipple benign neoplasm	'benign neoplasm' and ('disease has location' some nipple)
DOID:3030	mucinous adenocarcinoma	cancer and ('derives from' some ('epithelial cell' and (has_origin some 'mucous gland')))
DOID:305	carcinoma	cancer and ('derives from' some 'epithelial cell')
DOID:3070	high grade glioma	cancer and ('derives from' some 'glial cell')
DOID:3082	interstitial lung disease	disease and ('disease has location' some 'lung connective tissue')
DOID:3093	nervous system cancer	cancer and ('disease has location' some 'nervous system')
DOID:3116	kidney benign neoplasm	'benign neoplasm' and ('disease has location' some kidney)
DOID:3117	hepatobiliary benign neoplasm	'benign neoplasm' and ('disease has location' some 'hepatobiliary system')
DOID:3119	gastrointestinal system cancer	cancer and ('disease has location' some 'digestive system')
DOID:3121	gallbladder cancer	cancer and ('disease has location' some gallbladder)
DOID:3128	anus disease	disease and ('disease has location' some anus)
DOID:314	tenosynovial giant cell tumor	'benign giant cell tumor' and ('disease has location' some 'tendon sheath')
DOID:3165	skin benign neoplasm	'benign neoplasm' and ('disease has location' some 'zone of skin')
DOID:3168	squamous cell neoplasm	'benign neoplasm' and ((('disease has location' some ectoderm) or ('disease has location' some endoderm)) and ('derives from' some 'epithelial cell'))
DOID:3181	oligodendroglioma	cancer and (('derives from' some 'glial cell') and ('derives from' some oligodendrocyte))
DOID:3185	spinal cord glioma	cancer and (('derives from' some 'glial cell') and ('disease has location' some 'spinal cord'))
DOID:319	spinal cord disease	disease and ('disease has location' some 'spinal cord')
DOID:3192	neurilemmoma	'benign neoplasm' and ('derives from' some 'Schwann cell')
DOID:3197	schwannoma of twelfth cranial nerve	neurilemmoma and ('disease has location' some 'hypoglossal nerve')
DOID:3225	tracheal disease	disease and ('disease has location' some trachea)
DOID:3277	thymus cancer	cancer and ('disease has location' some thymus)
DOID:3301	gonadoblastoma	'benign neoplasm' and ('derives from' some 'germ cell')
DOID:3307	teratoma	cancer and (('derives from' some ectoderm) and ('derives from' some endoderm) and ('derives from' some mesoderm))
DOID:3308	embryonal carcinoma	'germ cell cancer' and ('derives from' some 'epithelial cell')
DOID:331	central nervous system disease	disease and ('disease has location' some 'central nervous system')
DOID:3314	angiomyolipoma	'benign neoplasm' and ('derives from' some 'epithelioid macrophage')
DOID:3315	lipoma	'benign neoplasm' and ('derives from' some adipocyte)
DOID:3328	temporal lobe epilepsy	'focal epilepsy' and ('disease has location' some 'temporal lobe')
DOID:3331	frontal lobe epilepsy	'focal epilepsy' and ('disease has location' some 'frontal lobe')
DOID:3347	osteosarcoma	cancer and (('derives from' some fibroblast) or ('derives from' some chondroblast) or ('derives from' some osteoblast))
DOID:3350	mesenchymal cell neoplasm	cancer and ('derives from' some 'mesenchymal cell')
DOID:339	accessory nerve disease	disease and ('disease has location' some 'accessory XI nerve')
DOID:3393	coronary artery disease	'artery disease' and ('disease has location' some 'coronary artery')
DOID:3407	carotid artery disease	'vascular disease' and ('disease has location' some 'carotid artery segment')
DOID:3410	carotid artery thrombosis	thrombosis and ('disease has location' some 'carotid artery segment')
DOID:3418	glossopharyngeal nerve disease	disease and ('disease has location' some 'glossopharyngeal nerve')
DOID:3419	optic nerve neoplasm	cancer and ('disease has location' some 'cranial nerve II')
DOID:342	subclavian artery aneurysm	'vascular disease' and ('disease has location' some 'subclavian artery')
DOID:3426	vestibular disease	disease and ('disease has location' some 'vestibular system')
DOID:345	uterine disease	disease and ('disease has location' some uterus)
DOID:3463	breast disease	disease and ('disease has location' some breast)
DOID:3478	iris cancer	cancer and ('disease has location' some iris)
DOID:3479	uveal cancer	cancer and ('disease has location' some uvea)
DOID:3480	uveal disease	disease and ('disease has location' some uvea)
DOID:3527	cerebral arterial disease	'cerebrovascular disease' and ('disease has location' some 'cerebral artery')
DOID:3540	choroid plexus cancer	cancer and ('disease has location' some 'choroid plexus')
DOID:3541	cerebral ventricle cancer	cancer and ('disease has location' some 'brain ventricle')
DOID:3571	liver cancer	cancer and ('disease has location' some liver)
DOID:3572	intracranial sinus thrombosis	thrombosis and ('disease has location' some 'cranial cavity')
DOID:3620	central nervous system cancer	cancer and ('disease has location' some 'central nervous system')
DOID:363	uterine cancer	cancer and ('disease has location' some uterus)
DOID:3644	hypothalamic neoplasm	cancer and ('disease has location' some hypothalamus)
DOID:365	bladder disease	disease and ('disease has location' some 'urinary bladder')
DOID:3663	cutaneous mastocytosis	mastocytosis and ('disease has location' some 'zone of skin')
DOID:3664	mast cell neoplasm	cancer and ('derives from' some 'mast cell')
DOID:367	olfactory nerve disease	disease and ('disease has location' some 'olfactory nerve')
DOID:368	cerebrum cancer	cancer and ('disease has location' some cerebrum)
DOID:3683	lung benign neoplasm	'benign neoplasm' and ('disease has location' some lung)
DOID:3689	brachial plexus neuritis	neuritis and ('disease has location' some 'brachial nerve plexus')
DOID:3690	brachial plexus neuropathy	neuropathy and ('disease has location' some 'brachial nerve plexus')
DOID:37	skin disease	disease and ('disease has location' some 'zone of skin')
DOID:3723	solitary plasmacytoma of chest wall	plasmacytoma and ('disease has location' some 'chest wall')
DOID:379	external ear disease	disease and ('disease has location' some 'external ear')
DOID:3856	male reproductive organ cancer	cancer and ('disease has location' some 'male reproductive system')
DOID:3860	cerebellar vermis medulloblastoma	medulloblastoma and ('disease has location' some 'cerebellar vermis')
DOID:3906	bronchial benign neoplasm	'benign neoplasm' and ('disease has location' some bronchus) and ('disease has location' some bronchiole)
DOID:3918	pancreatic cystadenoma	'benign neoplasm' and ('disease has location' some pancreas)
DOID:3924	main bronchus cancer	cancer and ('disease has location' some 'main bronchus')
DOID:3952	adrenal cortex disease	disease and ('disease has location' some 'adrenal cortex')
DOID:3953	adrenal gland cancer	cancer and ('disease has location' some 'adrenal gland')
DOID:3962	follicular thyroid carcinoma	cancer and ('derives from' some 'follicular epithelial cell')
DOID:3973	medullary thyroid carcinoma	cancer and ('derives from' some 'parafollicular cell')
DOID:3996	urinary system cancer	cancer and ('disease has location' some 'renal system')
DOID:403	mouth disease	disease and ('disease has location' some 'oral cavity')
DOID:4043	skeletal muscle cancer	cancer and ('disease has location' some 'skeletal muscle tissue')
DOID:4045	muscle cancer	cancer and ('disease has location' some 'muscle tissue')
DOID:4072	duodenum disease	disease and ('disease has location' some duodenum)
DOID:4079	heart valve disease	disease and ('disease has location' some 'cardiac valve')
DOID:4085	trophoblastic neoplasm	cancer and ('derives from' some 'trophoblast cell')
DOID:409	liver disease	disease and ('disease has location' some liver)
DOID:4123	nail disease	disease and ('disease has location' some nail)
DOID:4137	common bile duct disease	disease and ('disease has location' some 'common bile duct')
DOID:4138	bile duct disease	disease and ('disease has location' some 'bile duct')
DOID:4141	intraorbital meningioma	meningioma and ('disease has location' some 'orbital region')
DOID:4143	orbital cancer	cancer and ('disease has location' some 'orbital region')
DOID:4159	skin cancer	cancer and ('disease has location' some 'zone of skin')
DOID:417	autoimmune disease	disease and ('has phenotype' some 'Abnormal circulating immunoglobulin concentration')
DOID:4193	intracranial thrombosis	thrombosis and ('disease has location' some brain)
DOID:4196	femoral neuropathy	mononeuropathy and ('disease has location' some 'femoral nerve')
DOID:4203	brain stem cancer	cancer and ('disease has location' some brainstem)
DOID:4205	cerebellum cancer	cancer and ('disease has location' some cerebellum)
DOID:421	hair disease	disease and ('disease has location' some 'strand of hair')
DOID:4211	posterior fossa meningioma	meningioma and ('disease has location' some 'posterior cranial fossa')
DOID:4230	smooth muscle cancer	cancer and ('disease has location' some 'smooth muscle tissue')
DOID:4251	conjunctival disease	disease and ('disease has location' some conjunctiva)
DOID:4352	ciliary body cancer	cancer and ('disease has location' some 'ciliary body')
DOID:4353	ciliary body disease	disease and ('disease has location' some 'ciliary body')
DOID:436	posterior mediastinum cancer	cancer and ('disease has location' some 'posterior mediastinum')
DOID:4360	epithelioid cell melanoma	melanoma and ('derives from' some 'epithelioid macrophage')
DOID:4362	cervical cancer	cancer and ('disease has location' some 'uterine cervix')
DOID:438	autoimmune disease of the nervous system	'autoimmune disease' and ('disease has location' some 'nervous system')
DOID:440	neuromuscular disease	neuropathy and ('disease has location' some 'musculoskeletal system')
DOID:4435	cavernous sinus meningioma	meningioma and ('disease has location' some 'cavernous sinus')
DOID:4436	anterior cranial fossa meningioma	meningioma and ('disease has location' some 'anterior cranial fossa')
DOID:4551	anus benign neoplasm	'benign neoplasm' and ('disease has location' some anus)
DOID:4558	Ludwig's angina	cellulitis and ('disease has location' some 'mouth floor')
DOID:4584	choroid plexus meningioma	meningioma and ('disease has location' some 'choroid plexus')
DOID:4606	bile duct cancer	cancer and ('disease has location' some 'bile duct')
DOID:461	muscle benign neoplasm	'benign neoplasm' and ('disease has location' some 'muscle tissue')
DOID:4610	intestinal benign neoplasm	'benign neoplasm' and ('disease has location' some intestine)
DOID:4645	retinal cancer	cancer and ('disease has location' some retina)
DOID:4658	benign mastocytoma	'benign neoplasm' and ('derives from' some 'mast cell')
DOID:4682	extrahepatic bile duct carcinoma	cancer and ('disease has location' some 'extrahepatic bile duct')
DOID:4699	epicardium cancer	cancer and ('disease has location' some epicardium)
DOID:47	prostate disease	disease and ('disease has location' some 'prostate gland')
DOID:4708	foramen magnum meningioma	meningioma and ('disease has location' some 'foramen magnum')
DOID:4749	middle cranial fossa meningioma	meningioma and ('disease has location' some 'middle cranial fossa')
DOID:48	male reproductive system disease	disease and ('disease has location' some 'male reproductive system')
DOID:4830	adenosquamous carcinoma	cancer and (('derives from' some 'squamous epithelial cell') and ('derives from' some 'secretory cell'))
DOID:4840	sebaceous carcinoma	cancer and ('disease has location' some 'sebaceous gland')
DOID:4895	rete ovarii benign neoplasm	'benign neoplasm' and ('disease has location' some 'rete ovarii')
DOID:4919	renal pelvis carcinoma	cancer and ('disease has location' some 'renal pelvis')
DOID:4921	eccrine sweat gland cancer	cancer and ('disease has location' some 'eccrine sweat gland')
DOID:4934	apocrine sweat gland cancer	cancer and ('disease has location' some 'apocrine sweat gland')
DOID:4953	poliomyelitis	'viral infectious disease' and ('disease has location' some 'peripheral nervous system')
DOID:4957	meninges hemangiopericytoma	hemangiopericytoma and ('disease has location' some 'meningeal cluster')
DOID:4960	bone marrow cancer	cancer and ('disease has location' some 'bone marrow')
DOID:4961	bone marrow disease	disease and ('disease has location' some 'bone marrow')
DOID:4992	optic nerve glioma	'brain glioma' and ('disease has location' some 'cranial nerve II')
DOID:50	thyroid gland disease	disease and ('disease has location' some 'thyroid gland')
DOID:5032	pineal gland cancer	cancer and ('disease has location' some 'pineal body')
DOID:5041	esophageal cancer	cancer and ('disease has location' some esophagus)
DOID:5057	papillary meningioma of the cerebellum	'rhabdoid meningioma' and ('disease has location' some cerebellum)
DOID:5078	ganglioglioma	'benign neoplasm' and (('derives from' some 'glial cell') and ('derives from' some neuron))
DOID:5090	sternum cancer	cancer and ('disease has location' some sternum)
DOID:5093	thoracic cancer	cancer and ('disease has location' some 'thoracic segment of trunk')
DOID:5099	middle ear cancer	cancer and ('disease has location' some 'middle ear')
DOID:5100	middle ear disease	disease and ('disease has location' some 'middle ear')
DOID:5102	inner ear cancer	cancer and ('disease has location' some 'internal ear')
DOID:5150	neurofibroma of gallbladder	neurofibroma and ('disease has location' some gallbladder)
DOID:5172	endometrium carcinoma in situ	'in situ carcinoma' and ('disease has location' some endometrium)
DOID:518	scrotum neoplasm	cancer and ('disease has location' some scrotum)
DOID:520	aortic disease	disease and ('disease has location' some aorta)
DOID:525	central nervous system vasculitis	vasculitis and ('disease has location' some 'central nervous system')
DOID:5254	central nervous system leiomyosarcoma	leiomyosarcoma and ('disease has location' some 'central nervous system')
DOID:5271	small intestine leiomyosarcoma	leiomyosarcoma and ('disease has location' some 'small intestine')
DOID:5274	malignant dermis tumor	cancer and ('disease has location' some dermis)
DOID:5295	intestinal disease	disease and ('disease has location' some intestine)
DOID:53	pituitary gland disease	disease and ('disease has location' some 'pituitary gland')
DOID:530	eyelid disease	disease and ('disease has location' some eyelid)
DOID:533	thymus gland disease	disease and ('disease has location' some thymus)
DOID:5330	dental pulp disease	disease and ('disease has location' some 'dental pulp')
DOID:5353	colonic disease	disease and ('disease has location' some colon)
DOID:5465	conjunctival intraepithelial neoplasm	'pre-malignant neoplasm' and ('disease has location' some conjunctiva)
DOID:5467	conjunctival cancer	cancer and ('disease has location' some conjunctiva)
DOID:5522	basaloid squamous cell carcinoma	cancer and (('derives from' some 'squamous epithelial cell') and ('derives from' some 'basal cell'))
DOID:5547	pulmonary artery choriocarcinoma	choriocarcinoma and ('disease has location' some 'pulmonary artery')
DOID:5550	choriocarcinoma of ovary	choriocarcinoma and ('disease has location' some ovary)
DOID:5559	mediastinal cancer	cancer and ('disease has location' some mediastinum)
DOID:557	kidney disease	disease and ('disease has location' some kidney)
DOID:5603	T-cell acute lymphoblastic leukemia	'acute lymphoblastic leukemia' and ('has material basis in' some 'T cell')
DOID:561	trigeminal nerve disease	disease and ('disease has location' some 'trigeminal nerve')
DOID:5612	spinal cancer	cancer and ('disease has location' some 'spinal cord')
DOID:5614	eye disease	disease and ('disease has location' some eye)
DOID:562	third cranial nerve disease	disease and ('disease has location' some 'oculomotor nerve')
DOID:5655	chiasmal syndrome	'optic nerve disease' and ('disease has location' some 'optic chiasma')
DOID:5656	cranial nerve disease	disease and ('disease has location' some 'cranial nerve')
DOID:5665	external ear cancer	cancer and ('disease has location' some 'external ear')
DOID:5672	large intestine cancer	cancer and ('disease has location' some 'large intestine')
DOID:5679	retinal disease	disease and ('disease has location' some retina)
DOID:5691	visual cortex disease	disease and ('disease has location' some 'visual cortex')
DOID:5694	esophagus liposarcoma	liposarcoma and ('disease has location' some esophagus)
DOID:5719	adrenal medulla cancer	cancer and ('disease has location' some 'adrenal medulla')
DOID:574	peripheral nervous system disease	disease and ('disease has location' some 'peripheral nervous system')
DOID:5743	acinic cell breast carcinoma	'breast carcinoma' and ('disease has location' some 'acinar cell')
DOID:5749	pulmonary valve disease	disease and ('disease has location' some 'pulmonary valve')
DOID:5764	lung meningioma	meningioma and ('disease has location' some lung)
DOID:5769	verruciform xanthoma of skin	xanthomatosis and ('disease has location' some 'zone of skin')
DOID:5772	central nervous system hematologic cancer	'hematologic cancer' and ('disease has location' some 'central nervous system')
DOID:5775	cavernous hemangioma of colon	'cavernous hemangioma' and ('disease has location' some colon)
DOID:5776	cavernous hemangioma of face	'cavernous hemangioma' and ('disease has location' some face)
DOID:5777	rectum neuroendocrine neoplasm	'neuroendocrine tumor' and ('disease has location' some rectum)
DOID:5782	tympanic membrane disease	disease and ('disease has location' some 'tympanic membrane')
DOID:5875	retroperitoneal cancer	cancer and ('disease has location' some 'retroperitoneal space')
DOID:5877	endocardium cancer	cancer and ('disease has location' some endocardium)
DOID:5977	renal pelvis benign neoplasm	'benign neoplasm' and ('disease has location' some 'renal pelvis')
DOID:60000	appendix disease	disease and ('disease has location' some 'vermiform appendix')
DOID:60001	pulmonary artery disease	'artery disease' and ('disease has location' some lung)
DOID:60002	Bartholin's gland disease	disease and ('disease has location' some 'major vestibular gland')
DOID:60003	Bartholin's gland cancer	cancer and ('disease has location' some 'major vestibular gland')
DOID:60008	parathyroid gland benign neoplasm	'benign neoplasm' and ('disease has location' some 'parathyroid gland')
DOID:60009	pituitary gland benign neoplasm	'benign neoplasm' and ('disease has location' some 'pituitary gland')
DOID:6015	adult central nervous system teratoma	'central nervous system teratoma' and ('existence starts during' some 'Adult onset')
DOID:6050	esophageal disease	disease and ('disease has location' some esophagus)
DOID:61	mitral valve disease	disease and ('disease has location' some 'mitral valve')
DOID:6110	jugular foramen meningioma	meningioma and ('disease has location' some 'jugular foramen')
DOID:6112	cerebral meningioma	meningioma and ('disease has location' some cerebrum)
DOID:6115	lateral ventricle meningioma	meningioma and ('disease has location' some 'telencephalic ventricle')
DOID:612	primary immunodeficiency disease	disease and ('has phenotype' some 'Abnormality of immune system physiology')
DOID:6148	nasal cavity carcinoma in situ	'in situ carcinoma' and ('disease has location' some 'nasal cavity')
DOID:6175	mediastinal neurilemmoma	neurilemmoma and ('disease has location' some mediastinum)
DOID:6198	corneal intraepithelial neoplasm	'pre-malignant neoplasm' and ('disease has location' some cornea)
DOID:6199	cornea cancer	cancer and ('disease has location' some cornea)
DOID:62	aortic valve disease	disease and ('disease has location' some 'aortic valve')
DOID:6212	ovarian endometrial cancer	'female reproductive endometrioid cancer' and ('disease has location' some ovary)
DOID:6227	articular cartilage disease	disease and ('disease has location' some 'articular cartilage of joint')
DOID:6285	heart lipoma	'benign neoplasm' and ('disease has location' some heart)
DOID:630	genetic disease	disease and ('disease has basis in' some structural_variant)
DOID:6337	cerebellopontine angle meningioma	meningioma and ('disease has location' some 'cerebellopontine angle')
DOID:6451	central nervous system fibrosarcoma	fibrosarcoma and ('disease has location' some 'central nervous system')
DOID:649	prion disease	disease and ('has material basis in' some prion)
DOID:65	connective tissue disease	disease and ('disease has location' some 'connective tissue')
DOID:6517	clivus meningioma	meningioma and ('disease has location' some 'clivus of occipital bone')
DOID:655	inherited metabolic disorder	'disease of metabolism' and ('disease has basis in' some structural_variant)
DOID:656	adrenal adenoma	'benign neoplasm' and ('disease has location' some 'adrenal gland')
DOID:6564	neurilemmoma of the pleura	neurilemmoma and ('disease has location' some pleura)
DOID:657	adenoma	'benign neoplasm' and (('derives from' some 'epithelial cell') and (has_origin some gland))
DOID:6579	chest wall bone cancer	'bone cancer' and ('disease has location' some 'chest wall')
DOID:660	adrenal cortex cancer	cancer and ('disease has location' some 'adrenal cortex')
DOID:6634	adult central nervous system choriocarcinoma	choriocarcinoma and ('disease has location' some 'central nervous system')
DOID:6712	anterior spinal artery syndrome	syndrome and ('disease has location' some 'anterior spinal artery')
DOID:6713	cerebrovascular disease	'vascular disease' and ('disease has location' some brain)
DOID:672	spleen cancer	cancer and ('disease has location' some spleen)
DOID:6735	schwannoma of jugular foramen	neurilemmoma and ('disease has location' some 'jugular foramen')
DOID:6788	vagina botryoid rhabdomyosarcoma	'botryoid rhabdomyosarcoma' and ('disease has location' some vagina)
DOID:6868	mediastinal malignant lymphoma	lymphoma and ('disease has location' some mediastinum)
DOID:6872	spinal cord primitive neuroectodermal neoplasm	'neuroectodermal tumor' and ('disease has location' some 'spinal cord')
DOID:6880	small bowel fibrosarcoma	fibrosarcoma and ('disease has location' some 'small intestine')
DOID:6947	sphenoidal sinus benign neoplasm	'benign neoplasm' and ('disease has location' some 'sphenoidal sinus')
DOID:707	B-cell lymphoma	lymphoma and ('has material basis in' some 'B cell')
DOID:7224	spinal meninges cancer	cancer and ('disease has location' some 'meninx of spinal cord')
DOID:730	urethral benign neoplasm	'benign neoplasm' and ('disease has location' some urethra)
DOID:731	urinary system benign neoplasm	'benign neoplasm' and ('disease has location' some 'renal system')
DOID:732	urethral disease	disease and ('disease has location' some urethra)
DOID:734	urethra cancer	cancer and ('disease has location' some urethra)
DOID:7388	pulmonary vein leiomyosarcoma	leiomyosarcoma and ('disease has location' some 'pulmonary vein')
DOID:7389	pulmonary artery leiomyosarcoma	leiomyosarcoma and ('disease has location' some 'pulmonary artery')
DOID:74	hematopoietic system disease	disease and (('has material basis in' some 'hematopoietic cell') or ('disease has location' some 'hematopoietic system'))
DOID:7426	cutaneous anthrax	'anthrax disease' and ('disease has location' some 'zone of skin')
DOID:7437	uterus perivascular epithelioid cell tumor	'perivascular epithelioid cell tumor' and ('disease has location' some 'body of uterus')
DOID:746	adenomatoid tumor	'benign mesothelioma' and (has_origin some gland)
DOID:75	lymphatic system disease	disease and ('disease has location' some 'lymphoid tissue')
DOID:7505	small intestine benign neoplasm	'benign neoplasm' and ('disease has location' some 'small intestine')
DOID:7571	malignant cystic nephroma	cancer and (('disease has location' some cortex) and ('disease has location' some kidney))
DOID:76	stomach disease	disease and ('disease has location' some stomach)
DOID:7635	Gasserian ganglion meningioma	meningioma and ('disease has location' some 'trigeminal ganglion')
DOID:7696	lung hilum cancer	cancer and ('disease has location' some 'lung hilus')
DOID:77	gastrointestinal system disease	disease and ('disease has location' some 'digestive system')
DOID:771	retinal cell cancer	cancer and ('disease has location' some 'retinal cell')
DOID:7757	childhood leukemia	leukemia and ('existence starts during' some 'Childhood onset')
DOID:780	placenta disease	disease and ('disease has location' some placenta)
DOID:786	laryngeal disease	disease and ('disease has location' some larynx)
DOID:7959	duodenal gastrinoma	gastrinoma and ('disease has location' some duodenum)
DOID:7986	cerebral falx meningioma	meningioma and ('disease has location' some 'falx cerebri')
DOID:8006	skin meningioma	meningioma and ('disease has location' some 'zone of skin')
DOID:8031	pineal region meningioma	meningioma and ('disease has location' some 'pineal body')
DOID:8057	olfactory groove meningioma	meningioma and ('disease has location' some 'olfactory sulcus')
DOID:8058	pituitary stalk meningioma	meningioma and ('disease has location' some 'pituitary stalk')
DOID:807	carotid artery occlusion	'occlusion precerebral artery' and ('disease has location' some 'carotid artery segment')
DOID:8109	nephrogenic adenoma of the urethra	'nephrogenic adenoma' and ('disease has location' some urethra)
DOID:8133	epiglottis cancer	cancer and ('disease has location' some epiglottis)
DOID:8188	uterine corpus choriocarcinoma	choriocarcinoma and ('disease has location' some 'body of uterus')
DOID:820	myocarditis	disease and (('has symptom' some inflammation) and ('disease has location' some myocardium))
DOID:833	auditory system cancer	cancer and ('disease has location' some 'auditory system')
DOID:8466	retinal degeneration	'eye degenerative disease' and ('disease has location' some retina)
DOID:8483	retinal artery occlusion	'retinal artery occlusion' and ('disease has location' some 'central retinal artery')
DOID:850	lung disease	disease and ('disease has location' some lung)
DOID:8502	bullous skin disease	dermatitis and ('has symptom' some blister)
DOID:8533	hypopharynx cancer	'pharynx cancer' and ('disease has location' some hypopharynx)
DOID:8557	oropharynx cancer	cancer and ('disease has location' some oropharynx)
DOID:8564	lip cancer	cancer and ('disease has location' some lip)
DOID:8578	soft palate cancer	cancer and ('disease has location' some 'soft palate')
DOID:8602	gum cancer	cancer and ('disease has location' some gingiva)
DOID:8618	oral cavity cancer	cancer and ('disease has location' some 'oral cavity')
DOID:863	nervous system disease	disease and ('disease has location' some 'nervous system')
DOID:8630	upper lip cancer	cancer and ('disease has location' some 'upper lip')
DOID:8634	prostate carcinoma in situ	'in situ carcinoma' and ('disease has location' some 'prostate gland')
DOID:8635	uvula cancer	cancer and ('disease has location' some 'palatine uvula')
DOID:8649	tongue cancer	cancer and ('disease has location' some tongue)
DOID:866	vein disease	disease and ('disease has location' some vein)
DOID:8661	lip carcinoma in situ	'in situ carcinoma' and ('disease has location' some lip)
DOID:8663	aryepiglottic fold cancer	cancer and ('disease has location' some 'aryepiglottic fold')
DOID:867	maxillary sinus cholesteatoma	cholesteatoma and ('disease has location' some 'maxillary sinus')
DOID:8687	skin carcinoma in situ	'in situ carcinoma' and ('disease has location' some 'zone of skin')
DOID:8702	cheek mucosa cancer	cancer and ('disease has location' some 'buccal mucosa')
DOID:8731	carotid body cancer	cancer and ('disease has location' some 'carotid body')
DOID:8791	breast carcinoma in situ	'in situ carcinoma' and ('disease has location' some breast)
DOID:8792	eye carcinoma in situ	'in situ carcinoma' and ('disease has location' some eye)
DOID:8802	trachea carcinoma in situ	'in situ carcinoma' and ('disease has location' some trachea)
DOID:8826	colon carcinoma in situ	'in situ carcinoma' and ('disease has location' some colon)
DOID:8849	sublingual gland cancer	cancer and ('disease has location' some 'sublingual gland')
DOID:8850	salivary gland cancer	cancer and ('disease has location' some 'saliva-secreting gland')
DOID:8858	tonsil cancer	cancer and ('disease has location' some tonsil)
DOID:8872	penis carcinoma in situ	'in situ carcinoma' and ('disease has location' some penis)
DOID:8883	lower lip cancer	cancer and ('disease has location' some 'lower lip')
DOID:8937	Waldeyer's ring cancer	cancer and ('disease has location' some 'tonsillar ring')
DOID:8941	seborrheic infantile dermatitis	'seborrheic dermatitis' and ('disease has location' some scalp)
DOID:8991	cervix uteri carcinoma in situ	'in situ carcinoma' and ('disease has location' some 'uterine cervix')
DOID:9011	larynx carcinoma in situ	'in situ carcinoma' and ('disease has location' some larynx)
DOID:9024	intestine carcinoma in situ	'in situ carcinoma' and ('disease has location' some intestine)
DOID:9036	parotid gland cancer	cancer and ('disease has location' some 'parotid gland')
DOID:9053	bladder carcinoma in situ	'in situ carcinoma' and ('disease has location' some 'urinary bladder')
DOID:9063	Ritter's disease	'commensal bacterial infectious disease' and ('disease has location' some 'zone of skin')
DOID:9065	leishmaniasis	'parasitic protozoa infectious disease' and ('has material basis in' some 'Leishmania <genus>')
