extClass,label
OMIM:273600,Thalidomide Susceptibility
OMIM:271665,"Spondylometaepiphyseal Dysplasia, Short Limb-Hand Type"
OMIM:118230,"Charcot-Marie-Tooth Disease, Guadalajara Neuronal Type"
OMIM:300323,Kelley-Seegmiller Syndrome
OMIM:610125,"Microphthalmia, Syndromic 5"
OMIM:211990,"Camptomelic Syndrome, Long-Limb Type"
OMIM:612304,"Thrombophilia Due To Protein C Deficiency, Autosomal Recessive"
OMIM:178650,"Pulmonic Stenosis, Atrial Septal Defect, And Unique Electrocardiographic Abnormalities"
OMIM:113950,"Bundle Branch Block, Familial Isolated Complete Right"
OMIM:614257,"Mental Retardation, Autosomal Dominant 11"
OMIM:309900,"Mucopolysaccharidosis, Type Ii"
OMIM:186550,Liebenberg Syndrome
OMIM:310468,"Nephrolithiasis, X-Linked Recessive, With Renal Failure"
OMIM:101900,Acrokeratosis Verruciformis
OMIM:209600,Atrioventricular Dissociation
OMIM:167500,Palatopharyngeal Incompetence
OMIM:167030,"Nephrolithiasis, Calcium Oxalate"
OMIM:308850,Laryngeal Abductor Paralysis
OMIM:606952,"Albinism, Oculocutaneous, Type Ib"
OMIM:614036,Alpha-2-Macroglobulin Deficiency
OMIM:314980,"Zinc Finger Protein, X-Linked"
OMIM:609060,Combined Oxidative Phosphorylation Deficiency 1
OMIM:259650,Osteoma Of Middle Ear
OMIM:113800,Epidermolytic Hyperkeratosis
OMIM:177300,Pseudoarthrogryposis
OMIM:612109,Oculoauricular Syndrome
OMIM:247420,Lutheran Null
OMIM:608029,"Spinocerebellar Ataxia, Autosomal Recessive 6"
OMIM:137580,Gilles De La Tourette Syndrome
OMIM:304030,"Cone Dystrophy, X-Linked, With Tapetal-Like Sheen"
OMIM:610338,"Right Pulmonary Artery, Anomalous Origin Of, Familial"
OMIM:101840,"Acrokeratoderma, Hereditary Papulotranslucent"
OMIM:309610,Prieto X-Linked Mental Retardation Syndrome
OMIM:248000,"Megalencephaly, Autosomal Recessive"
OMIM:614897,Hypogonadotropic Hypogonadism 16 With Or Without Anosmia
OMIM:155200,Mediosternal Depigmentation Line
OMIM:164100,"Nystagmus 2, Congenital, Autosomal Dominant"
OMIM:259500,Osteogenic Sarcoma
OMIM:614201,"Bleeding Disorder, Platelet-Type, 11"
OMIM:271225,"Spinal Muscular Atrophy, Type I, With Congenital Bone Fractures"
OMIM:300261,Armfield X-Linked Mental Retardation Syndrome
OMIM:176250,Posterior Column Ataxia
OMIM:123790,Beare-Stevenson Cutis Gyrata Syndrome
OMIM:120450,"Comedones, Familial Dyskeratotic"
OMIM:107650,"Apnea, Obstructive Sleep"
OMIM:605282,Temtamy Preaxial Brachydactyly Syndrome
OMIM:221200,Deafness And Myopia
OMIM:257910,Oculopalatocerebral Syndrome
OMIM:108390,"Asparagus, Specific Smell Hypersensitivity"
OMIM:615351,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Mental Retardation), Type B, 14"
OMIM:614934,"Deafness, Autosomal Recessive 70"
OMIM:212540,"Cataract, Microcephaly, Failure To Thrive, Kyphoscoliosis Syndrome"
OMIM:300909,"Angioedema Induced By Ace Inhibitors, Susceptibility To"
OMIM:604091,"Hypoalphalipoproteinemia, Primary"
OMIM:246700,Chylomicron Retention Disease
OMIM:614526,Chromosome 17q12 Duplication Syndrome
OMIM:135550,"Fibromatosis, Gingival, With Progressive Deafness"
OMIM:193230,"Vitreoretinal Degeneration, Snowflake Type"
OMIM:267750,Knobloch Syndrome 1
OMIM:614195,Craniofacial Anomalies And Anterior Segment Dysgenesis Syndrome
OMIM:305660,"Gamma-Aminobutyric Acid Receptor, Alpha-3"
OMIM:190310,"Tremor, Nystagmus, And Duodenal Ulcer"
OMIM:258700,Opticocochleodentate Degeneration
OMIM:614411,Glycerol Quantitative Trait Locus
OMIM:250800,Methemoglobinemia Due To Deficiency Of Methemoglobin Reductase
OMIM:615516,"Mental Retardation, Autosomal Recessive 38"
OMIM:180360,Rhiny
OMIM:601389,"Cervical Ribs, Sprengel Anomaly, Anal Atresia, And Urethral Obstruction"
OMIM:219721,"Cystic Fibrosis With Helicobacter Pylori Gastritis, Megaloblastic Anemia, And Mental Retardation"
OMIM:228550,"Myofibromatosis, Infantile, 1"
OMIM:611818,Long Qt Syndrome 9
OMIM:136570,"Chromosome 16p12.1 Deletion Syndrome, 520-Kb"
OMIM:138770,Gms Syndrome
OMIM:602849,Muenke Syndrome
OMIM:226810,Epilepsy With Bilateral Occipital Calcifications
OMIM:303700,Blue Cone Monochromacy
OMIM:173800,Poland Syndrome
OMIM:180210,"Retinopathy, Pericentral Pigmentary, Dominant"
OMIM:614739,"3-Methylglutaconic Aciduria With Deafness, Encephalopathy, And Leigh-Like Syndrome"
OMIM:244300,Kapur-Toriello Syndrome
OMIM:241310,Hypomandibular Faciocranial Dysostosis
OMIM:276100,Tryptophanuria With Dwarfism
OMIM:125420,"Dentin Dysplasia, Type Ii"
OMIM:278300,"Xanthinuria, Type I"
OMIM:169545,Pelvic Lipomatosis With Crossed Renal Ectopia
OMIM:235255,"Mullerian Derivatives, Persistence Of, With Lymphangiectasia And Postaxial Polydactyly"
OMIM:603457,"Arhinia, Choanal Atresia, And Microphthalmia"
OMIM:264090,"Progeroid Syndrome, Neonatal"
OMIM:143050,Humeroradial Synostosis
OMIM:145250,"Hyperpigmentation, Familial Progressive, 2"
OMIM:159001,"Muscular Dystrophy, Limb-Girdle, Type 1b"
OMIM:253310,Lethal Congenital Contracture Syndrome 1
OMIM:170900,Pernicious Anemia
OMIM:260150,Palant Cleft Palate Syndrome
OMIM:201470,"Acyl-Coa Dehydrogenase, Short-Chain, Deficiency Of"
OMIM:242530,"Ichthyosis, Mental Retardation, Dwarfism, And Renal Impairment"
OMIM:300660,Leukoencephalopathy With Metaphyseal Chondrodysplasia
OMIM:614037,Leukotriene C4 Synthase Deficiency
OMIM:178651,Pulmonic Stenosis And Deafness
OMIM:256040,"Autoinflammation, Lipodystrophy, And Dermatosis Syndrome"
OMIM:607685,"Hypereosinophilic Syndrome, Idiopathic"
OMIM:312090,Solute Carrier Family 10 (Sodium/Bile Acid Cotransporter Family) Member 3
OMIM:200995,Acrocephalopolydactylous Dysplasia
OMIM:136140,Floating-Harbor Syndrome
OMIM:254300,"Myasthenia, Limb-Girdle, Familial"
OMIM:613573,Ectodermal Dysplasia-Syndactyly Syndrome 1
OMIM:605115,"Hypertension, Early-Onset, Autosomal Dominant, With Severe Exacerbation In Pregnancy"
OMIM:272150,Sugarman Brachydactyly
OMIM:614898,"Spastic Paraplegia 53, Autosomal Recessive"
OMIM:300534,"Mental Retardation, X-Linked, Syndromic, Claes-Jensen Type"
OMIM:134400,Factor V Excess With Spontaneous Thrombosis
OMIM:150700,Leiomyoma Of Vulva And Esophagus
OMIM:106210,Aniridia
OMIM:166230,"Osteogenesis Imperfecta With Opalescent Teeth, Blue Sclerae And Wormian Bones, But Without Fractures"
OMIM:604772,"Ventricular Tachycardia, Catecholaminergic Polymorphic, 1, With Or Without Atrial Dysfunction And/Or Dilated Cardiomyopathy"
OMIM:300262,Abidi X-Linked Mental Retardation Syndrome
OMIM:600202,"Dyslexia, Susceptibility To, 2"
OMIM:153300,Yellow Nail Syndrome
OMIM:104311,Presenilin 1
OMIM:490000,"Zinc Finger Protein, Y-Linked"
OMIM:253250,Mulibrey Nanism
OMIM:161950,"Iga Nephropathy, Susceptibility To, 1"
OMIM:615643,Neurodegeneration With Brain Iron Accumulation 6
OMIM:137360,Genochondromatosis
OMIM:178000,Pterygium Of Conjunctiva And Cornea
OMIM:614748,"Interstitial Lung Disease, Nephrotic Syndrome, And Epidermolysis Bullosa, Congenital"
OMIM:167220,Pacman Dysplasia
OMIM:615352,"Muscular Dystrophy-Dystroglycanopathy (Limb-Girdle), Type C, 14"
OMIM:612539,"Spastic Paraplegia 42, Autosomal Dominant"
OMIM:242100,"Ichthyosis, Congenital, Autosomal Recessive 2"
OMIM:225320,"Ehlers-Danlos Syndrome, Autosomal Recessive, Cardiac Valvular Form"
OMIM:174800,Mccune-Albright Syndrome
OMIM:191482,"Uncombable Hair, Retinal Pigmentary Dystrophy, Dental Anomalies, And Brachydactyly"
OMIM:613026,Chromosome 19q13.11 Deletion Syndrome
OMIM:600593,"Craniosynostosis, Adelaide Type"
OMIM:300123,"Mental Retardation, X-Linked, With Panhypopituitarism"
OMIM:161800,Nemaline Myopathy 3
OMIM:613970,"Mental Retardation, Autosomal Dominant 6"
OMIM:613623,Agenesis Of The Corpus Callosum And Congenital Lymphedema
OMIM:270800,"Spastic Paraplegia 5a, Autosomal Recessive"
OMIM:132000,Epidermolysis Bullosa With Congenital Localized Absence Of Skin And Deformity Of Nails
OMIM:264140,"Prune Belly Syndrome With Pulmonic Stenosis, Mental Retardation, And Deafness"
OMIM:613215,"Chromosome 17p13.3, Centromeric, Duplication Syndrome"
OMIM:615517,"Hemochromatosis, Type 5"
OMIM:216100,Cleft Lip/Palate With Abnormal Thumbs And Microcephaly
OMIM:610042,Cortical Dysplasia-Focal Epilepsy Syndrome
OMIM:215510,Chromosomal Instability With Tissue-Specific Radiosensitivity
OMIM:265050,3mc Syndrome 2
OMIM:611819,Long Qt Syndrome 10
OMIM:232400,Glycogen Storage Disease Iii
OMIM:608156,Nablus Mask-Like Facial Syndrome
OMIM:246450,3-Hydroxy-3-Methylglutaryl-Coa Lyase Deficiency
OMIM:114290,Campomelic Dysplasia
OMIM:611590,"Renal Tubular Acidosis, Distal, With Hemolytic Anemia"
OMIM:126550,"Doughnut Lesions Of Skull, Familial"
OMIM:269500,Sclerosteosis 1
OMIM:255125,"Myopathy With Lactic Acidosis, Hereditary"
OMIM:127600,"Dyskeratosis, Hereditary Benign Intraepithelial"
OMIM:101850,"Palmoplantar Keratoderma, Punctate Type Iii"
OMIM:248010,"Macroepiphyseal Dysplasia With Osteoporosis, Wrinkled Skin, And Aged Appearance"
OMIM:145700,Hypertrichosis Universalis
OMIM:163050,Nevus Anemicus
OMIM:615402,Dyschromatosis Universalis Hereditaria 3
OMIM:300661,Phosphoribosylpyrophosphate Synthetase Superactivity
OMIM:203650,Alopecia-Mental Retardation Syndrome 1
OMIM:251750,"Microspherophakia And/Or Megalocornea, With Ectopia Lentis And With Or Without Secondary Glaucoma"
OMIM:600771,"Dwarfism, Familial, With Muscle Spasms"
OMIM:180370,Thiosulfate Sulfurtransferase
OMIM:614899,"Deafness, Autosomal Recessive 93"
OMIM:174300,Orofaciodigital Syndrome V
OMIM:153880,"Macular Edema, Cystoid"
OMIM:264110,"Prolactin Deficiency, Isolated"
OMIM:165720,Osteoarthritis Susceptibility 1
OMIM:268060,"Retinopathy, Pericentral Pigmentary, Autosomal Recessive"
OMIM:309200,Major Affective Disorder 2
OMIM:184100,"Spondyloepiphyseal Dysplasia Tarda, Autosomal Dominant"
OMIM:261590,Phenformin 4-Hydroxylation
OMIM:188050,Thrombophilia Due To Thrombin Defect
OMIM:103300,Hypoglossia-Hypodactylia
OMIM:601815,Phosphoglycerate Dehydrogenase Deficiency
OMIM:191500,Undritz Anomaly
OMIM:614749,Hyperphosphatasia With Mental Retardation Syndrome 2
OMIM:228300,Fertile Eunuch Syndrome
OMIM:166710,Osteoporosis
OMIM:312530,Retinal Detachment
OMIM:610687,Nemaline Myopathy 7
OMIM:136610,Fragile Site 2q11
OMIM:601399,"Platelet Disorder, Familial, With Associated Myeloid Malignancy"
OMIM:613144,"Choroidal Dystrophy, Central Areolar 3"
OMIM:219900,"Cystinosis, Late-Onset Juvenile Or Adolescent Nephropathic Type"
OMIM:126600,Doyne Honeycomb Retinal Dystrophy
OMIM:128800,Ear Without Helix
OMIM:265800,Pycnodysostosis
OMIM:223550,"Dwarfism, Proportionate, With Hip Dislocation"
OMIM:164310,Oculopharyngodistal Myopathy
OMIM:221810,"Dermatoosteolysis, Kirghizian Type"
OMIM:609923,Retinitis Pigmentosa 31
OMIM:601471,"Facial Paresis, Hereditary Congenital, 1"
OMIM:300700,Albinism-Deafness Syndrome
OMIM:185120,Stratton-Parker Syndrome
OMIM:615518,Immunodeficiency 13
OMIM:152420,Lithium Transport
OMIM:604093,Keratosis Pilaris
OMIM:227090,"Erythroderma, Lethal Congenital"
OMIM:245300,"Kuru, Susceptibility To"
OMIM:614164,Glutathione Peroxidase Deficiency
OMIM:212112,"Cardiomyopathy, Dilated, With Hypergonadotropic Hypogonadism"
OMIM:212080,"Cardiac Lipidosis, Familial"
OMIM:601449,"Deafness, Progressive, With Stapes Fixation"
OMIM:142625,"Hirsutism, Skeletal Dysplasia, And Mental Retardation"
OMIM:610713,Brachydactyly-Syndactyly Syndrome
OMIM:125370,Dentatorubral-Pallidoluysian Atrophy
OMIM:187800,"Bleeding Disorder, Platelet-Type, 16"
OMIM:258360,Onychotrichodysplasia And Neutropenia
OMIM:613810,Retinitis Pigmentosa 43
OMIM:145701,"Hypertrichosis Universalis Congenita, Ambras Type"
OMIM:275240,"Tinea Imbricata, Susceptibility To"
OMIM:600399,"Pectus Excavatum, Macrocephaly, Short Stature, And Dysplastic Nails"
OMIM:612394,"Bone Fragility With Contractures, Arterial Rupture, And Deafness"
OMIM:190685,Down Syndrome
OMIM:106220,Aniridia And Absent Patella
OMIM:245010,Haim-Munk Syndrome
OMIM:601228,"Polyposis Syndrome, Hereditary Mixed, 1"
OMIM:253260,Biotinidase Deficiency
OMIM:247150,Lip Prints
OMIM:167900,"Papillomatosis, Confluent And Reticulated"
OMIM:270960,Spermatogenic Failure 4
OMIM:151700,Lipoma Of The Conjunctiva
OMIM:604121,"Cerebellar Ataxia, Deafness, And Narcolepsy, Autosomal Dominant"
OMIM:305350,"Epidermodysplasia Verruciformis, X-Linked"
OMIM:239800,"Hypertelorism, Microtia, Facial Clefting Syndrome"
OMIM:214450,"Griscelli Syndrome, Type 1"
OMIM:102400,Acroosteolysis
OMIM:605407,"Segawa Syndrome, Autosomal Recessive"
OMIM:609284,Nemaline Myopathy 1
OMIM:609460,Goldberg-Shprintzen Megacolon Syndrome
OMIM:600906,Ectodermal Dysplasia With Mental Retardation And Syndactyly
OMIM:128300,Ear Exostoses
OMIM:269250,Schneckenbecken Dysplasia
OMIM:615373,Left Ventricular Noncompaction 8
OMIM:615709,Sacral Agenesis With Vertebral Anomalies
OMIM:133000,Erythema Palmare Hereditarium
OMIM:203200,"Albinism, Oculocutaneous, Type Ii"
OMIM:614665,Meconium Ileus
OMIM:142680,"Periodic Fever, Familial, Autosomal Dominant"
OMIM:600343,"Parotid Salivary Glands, Polycystic Dysgenetic Disease Of"
OMIM:601816,"Bilirubin, Serum Level Of, Quantitative Trait Locus 1"
OMIM:179850,Dowling-Degos Disease 1
OMIM:269860,Short-Rib Thoracic Dysplasia 12
OMIM:184095,"Spondyloepiphyseal Dysplasia, Maroteaux Type"
OMIM:189500,Witkop Syndrome
OMIM:612199,Cerebroretinal Microangiopathy With Calcifications And Cysts
OMIM:182970,"Spinal Muscular Atrophy, Facioscapulohumeral Type"
OMIM:611630,"Epilepsy, Familial Temporal Lobe, 3"
OMIM:300419,"Mental Retardation, X-Linked, With Or Without Seizures, Arx-Related"
OMIM:614830,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A, 8"
OMIM:615575,"Neuronopathy, Distal Hereditary Motor, Type Iid"
OMIM:306980,Hirschsprung Disease With Type D Brachydactyly
OMIM:234580,"Hearing Loss, Sensorineural, With Enamel Hypoplasia And Nail Defects"
OMIM:601419,"Myopathy, Myofibrillar, 1"
OMIM:221320,"Deafness, Conductive, With Ptosis And Skeletal Anomalies"
OMIM:603813,"Hypercholesterolemia, Autosomal Recessive"
OMIM:601606,"Trichoepithelioma, Multiple Familial, 1"
OMIM:614198,"Myasthenic Syndrome, Congenital, Acetazolamide-Responsive"
OMIM:182820,Spastic Paraplegia With Precocious Puberty
OMIM:606840,"Parasomnia, Sleep Bruxism Type"
OMIM:603585,"Congenital Disorder Of Glycosylation, Type Iif"
OMIM:118650,"Chondrodysplasia Punctata, Autosomal Dominant"
OMIM:125852,"Diabetes Mellitus, Insulin-Dependent, 2"
OMIM:115310,Paragangliomas 4
OMIM:168300,Paramyotonia Congenita Of Von Eulenburg
OMIM:240800,"Hypoglycemia, Leucine-Induced"
OMIM:112300,Book Syndrome
OMIM:614822,Spermatogenic Failure 10
OMIM:602579,"Congenital Disorder Of Glycosylation, Type Ib"
OMIM:208750,"Ataxia, Deafness, And Cardiomyopathy"
OMIM:613625,"Factor V And Factor Viii, Combined Deficiency Of, 2"
OMIM:166900,"Ovalocytosis, Hereditary Hemolytic"
OMIM:610441,Testicular Microlithiasis
OMIM:608978,Meacham Syndrome
OMIM:608345,"Nystagmus 3, Congenital, Autosomal Dominant"
OMIM:176670,Hutchinson-Gilford Progeria Syndrome
OMIM:611038,"Microphthalmia, Isolated 3"
OMIM:190430,"Triglyceride Storage Disease, Type Ii"
OMIM:614414,"Deafness, Autosomal Recessive 96"
OMIM:613217,"Diarrhea 5, With Tufting Enteropathy, Congenital"
OMIM:610279,"Pachygyria, Frontotemporal"
OMIM:301590,"Microphthalmia, Syndromic 4"
OMIM:314100,"Thumbs, Congenital Clasped"
OMIM:270100,"Heterotaxy, Visceral, 5, Autosomal"
OMIM:222600,Diastrophic Dysplasia
OMIM:551500,"Neuropathy, Ataxia, And Retinitis Pigmentosa"
OMIM:206400,"Anemia, Nonspherocytic Hemolytic, Possibly Due To Defect In Porphyrin Metabolism"
OMIM:161100,"Nailbeds, Pigmentation Of"
OMIM:176390,Pregnancy-Specific Beta-1-Glycoprotein 1
OMIM:144300,"Hyperlipoproteinemia, Type Ii, And Deafness"
OMIM:309560,Mental Retardation With Spastic Paraplegia And Palmoplantar Hyperkeratosis
OMIM:609033,Posterior Column Ataxia With Retinitis Pigmentosa
OMIM:300498,"Mental Retardation, X-Linked 45"
OMIM:190920,Trophoblast Glycoprotein
OMIM:600907,"Enamel Hypoplasia, Cataracts, And Aqueductal Stenosis"
OMIM:176240,"Postaxial Oligodactyly, Tetramelic"
OMIM:125540,"Dermal Ridges, Patternless"
OMIM:243700,"Hyper-Ige Recurrent Infection Syndrome, Autosomal Recessive"
OMIM:236490,Moved To 228600
OMIM:615374,Cone-Rod Dystrophy 18
OMIM:306800,Hemophilia A With Vascular Abnormality
OMIM:613811,"Pontocerebellar Hypoplasia, Type 2d"
OMIM:150230,"Trichorhinophalangeal Syndrome, Type Ii"
OMIM:613341,Leber Congenital Amaurosis 14
OMIM:612540,"Myopathy, Congenital, Compton-North"
OMIM:201020,Acrocephalopolysyndactyly Type Iv
OMIM:604290,Aceruloplasminemia
OMIM:233430,"Gonadal Dysgenesis, Xy Type, With Associated Anomalies"
OMIM:311280,Moved To 300373
OMIM:221820,"Leukoencephalopathy, Diffuse Hereditary, With Spheroids"
OMIM:607161,Multiple Congenital Anomalies Syndrome With Cloverleaf Skull
OMIM:300030,"Deafness, X-Linked 3"
OMIM:613530,"Muscular Dystrophy, Limb-Girdle, Type 1h"
OMIM:609285,Nemaline Myopathy 4
OMIM:209300,Atransferrinemia
OMIM:605274,"Mesomelic Dysplasia, Savarirayan Type"
OMIM:611631,"Epilepsy, Familial Temporal Lobe, 4"
OMIM:602471,"Short Stature, Auditory Canal Atresia, Mandibular Hypoplasia, And Skeletal Abnormalities"
OMIM:147900,"Joint Laxity, Familial"
OMIM:147430,"Indifference To Pain, Congenital, Autosomal Dominant"
OMIM:614831,"Spinocerebellar Ataxia, Autosomal Recessive 13"
OMIM:602588,Branchiootic Syndrome 1
OMIM:191250,Twinning Due To Superfetation
OMIM:304400,"Deafness, X-Linked 2"
OMIM:194350,Wt Limb-Blood Syndrome
OMIM:146850,Immune Suppression
OMIM:266280,Rapadilino Syndrome
OMIM:186740,"Cd3 Antigen, Gamma Subunit"
OMIM:117210,Spinocerebellar Ataxia 31
OMIM:271270,Spinocerebellar Ataxia With Dysmorphism
OMIM:210740,Bangstad Syndrome
OMIM:260570,Pelger-Huet-Like Anomaly And Episodic Fever With Abdominal Pain
OMIM:118651,"Chondrodysplasia Punctata, Tibia-Metacarpal Type"
OMIM:125853,"Diabetes Mellitus, Noninsulin-Dependent"
OMIM:185480,"Suprabulbar Paresis, Congenital"
OMIM:615179,"Albinism, Oculocutaneous, Type Vii"
OMIM:615355,Noonan Syndrome 8
OMIM:267740,Retinal Degeneration And Epilepsy
OMIM:609465,Al-Gazali Syndrome
OMIM:601355,"Microcephaly, Congenital Heart Disease, Unilateral Renal Agenesis, And Hyposegmented Lungs"
OMIM:132090,"Epilepsy, Benign Occipital"
OMIM:156810,Microgastria-Limb Reduction Defects Association
OMIM:231630,Monosodium Glutamate Sensitivity
OMIM:247980,"Lipase B, Lysosomal Acid"
OMIM:610442,"Spondyloepimetaphyseal Dysplasia, Genevieve Type"
OMIM:156530,Metatropic Dysplasia
OMIM:163000,"Capillary Malformations, Congenital"
OMIM:170600,Normokalemic Periodic Paralysis
OMIM:613490,Alpha-1-Antitrypsin Deficiency
OMIM:208550,"Asthma, Nasal Polyps, And Aspirin Intolerance"
OMIM:614415,Chilblain Lupus 2
OMIM:314240,Tooth Size
OMIM:605431,Mitogen-Activated Protein Kinase 8-Interacting Protein 3
OMIM:257350,"Nuchal Bleb, Familial"
OMIM:139100,"Graying Of Hair, Precocious"
OMIM:131200,"Endometriosis, Susceptibility To, 1"
OMIM:246570,"Fibular Aplasia, Tibial Campomelia, And Oligosyndactyly Syndrome"
OMIM:225740,"Encephalopathy, Axonal, With Necrotizing Myopathy, Cardiomyopathy, And Cataracts"
OMIM:259780,Otoonychoperoneal Syndrome
OMIM:306990,Holoprosencephaly With Fetal Akinesia/Hypokinesia Sequence
OMIM:266250,"Radiculoneuropathy, Fatal Neonatal"
OMIM:144010,"Hypercholesterolemia, Autosomal Dominant, Type B"
OMIM:269870,Short Stature-Obesity Syndrome
OMIM:600908,"Agonadism, 46,Xy, With Mental Retardation, Short Stature, Retarded Bone Age, And Multiple Extragenital Malformations"
OMIM:180080,Retinal Venous Beading
OMIM:613155,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Mental Retardation), Type B, 1"
OMIM:180600,Ringed Hair
OMIM:218000,Agenesis Of The Corpus Callosum With Peripheral Neuropathy
OMIM:607454,Spinocerebellar Ataxia 21
OMIM:614331,"Colorectal Cancer, Hereditary Nonpolyposis, Type 6"
OMIM:610717,Neutral Lipid Storage Disease With Myopathy
OMIM:613342,Mseleni Joint Disease
OMIM:312190,"Radial Aplasia, X-Linked"
OMIM:601616,Iris Pigment Epithelium Anomalies
OMIM:251270,"Microcephaly And Chorioretinopathy With Or Without Mental Retardation, Autosomal Recessive"
OMIM:210710,"Microcephalic Osteodysplastic Primordial Dwarfism, Type I"
OMIM:158800,"Muscular Dystrophy, Barnes Type"
OMIM:608470,"Corneal Dystrophy Of Bowman Layer, Type I"
OMIM:609286,"Progressive External Ophthalmoplegia With Mitochondrial Dna Deletions, Autosomal Dominant, 3"
OMIM:610015,"Glutamine Deficiency, Congenital"
OMIM:116850,Catatrichy
OMIM:614832,"Amelogenesis Imperfecta, Hypomaturation Type, Iia4"
OMIM:224800,Ectodermal Dysplasia And Neurosensory Deafness
OMIM:142335,Fetal Hemoglobin Quantitative Trait Locus 5
OMIM:103500,Tietz Syndrome
OMIM:275190,Tiglic Acidemia
OMIM:114450,"Cancer, Familial, With In Vitro Radioresistance"
OMIM:190440,Trigonocephaly 1
OMIM:185300,Sturge-Weber Syndrome
OMIM:601608,Spastic Paraplegia And Evans Syndrome
OMIM:222400,Diaphragmatic Hernia 2
OMIM:234000,Factor Xii Deficiency
OMIM:606842,Cardioneuromyopathy With Hyaline Masses And Nemaline Rods
OMIM:615356,"Muscular Dystrophy, Limb-Girdle, Type 2s"
OMIM:300703,"Spinocerebellar Ataxia, X-Linked 5"
OMIM:608180,Synpolydactyly 2
OMIM:266300,"Skin/Hair/Eye Pigmentation, Variation In, 2"
OMIM:109560,B-Cell Leukemia/Lymphoma 3
OMIM:601356,"Lethal Short-Limb Skeletal Dysplasia, Al Gazali Type"
OMIM:607259,"Spastic Paraplegia 7, Autosomal Recessive"
OMIM:188055,Thrombophilia Due To Activated Protein C Resistance
OMIM:206800,"Nail Disorder, Nonsyndromic Congenital, 4"
OMIM:144700,"Renal Cell Carcinoma, Nonpapillary"
OMIM:300337,Hypomelanosis Of Ito
OMIM:613627,"Brachydactyly, Type A1, With Short Stature, Scoliosis, Microcephaly, Ptosis, Hearing Loss, And Mental Retardation"
OMIM:253590,"Muscular Dystrophy, Adult-Onset, With Leukoencephalopathy"
OMIM:615414,"Microcephaly 11, Primary, Autosomal Recessive"
OMIM:610443,Koolen-De Vries Syndrome
OMIM:601287,"Muscular Dystrophy, Limb-Girdle, Type 2f"
OMIM:260350,Pancreatic Cancer
OMIM:193235,"Vitreoretinopathy, Neovascular Inflammatory"
OMIM:226650,"Epidermolysis Bullosa, Junctional, Non-Herlitz Type"
OMIM:125550,Dermal Ridges-Off-The-End
OMIM:180050,Retinal Detachment
OMIM:615217,Ataxia-Oculomotor Apraxia 3
OMIM:600072,Fatal Familial Insomnia
OMIM:604484,"Hereditary Motor And Sensory Neuropathy, Proximal Type"
OMIM:217000,Complement Component 2 Deficiency
OMIM:219200,"Cutis Laxa, Autosomal Recessive, Type Iia"
OMIM:106400,Ankylosing Vertebral Hyperostosis With Tylosis
OMIM:251240,Microcephaly With Chemotactic Defect And Transient Hypogammaglobulinemia
OMIM:205000,Amyotonia Congenita
OMIM:179000,Purpura Simplex
OMIM:109130,Axial Osteomalacia
OMIM:156310,"Metachromatic Leukodystrophy, Adult-Onset, With Normal Arylsulfatase A"
OMIM:224300,Dysosteosclerosis
OMIM:226500,Epidermolysis Bullosa Dystrophica Neurotrophica
OMIM:258800,"Oral Sensibility, Disturbance Of"
OMIM:603776,"Hypercholesterolemia, Autosomal Dominant, 3"
OMIM:112250,Diaphyseal Medullary Stenosis With Malignant Fibrous Histiocytoma
OMIM:269200,"Autoimmune Polyendocrine Syndrome, Type Ii"
OMIM:614416,Radiohumeral Fusions With Other Skeletal And Craniofacial Anomalies
OMIM:605432,Radioulnar Synostosis With Amegakaryocytic Thrombocytopenia
OMIM:142240,Hemoglobin--Theta-1 Locus
OMIM:613156,"Muscular Dystrophy-Dystroglycanopathy (Congenital With Mental Retardation), Type B, 2"
OMIM:102800,"Adenosine Triphosphatase Deficiency, Anemia Due To"
OMIM:122400,Epithelial Recurrent Erosion Dystrophy
OMIM:609037,"Mental Retardation With Optic Atrophy, Facial Dysmorphism, Microcephaly, And Short Stature"
OMIM:305550,Fingerprint Body Myopathy
OMIM:192315,"Vasculopathy, Retinal, With Cerebral Leukodystrophy"
OMIM:228250,"Femur, Unilateral Bifid, With Monodactylous Ectrodactyly"
OMIM:136600,"Friedreich Ataxia, So-Called, With Optic Atrophy And Sensorineural Deafness"
OMIM:615270,Hypogonadotropic Hypogonadism 20 With Or Without Anosmia
OMIM:553000,Oncocytoma
OMIM:113475,Brachymetatarsus Iv
OMIM:608902,"Drug Metabolism, Poor, Cyp2d6-Related"
OMIM:610992,Phosphoserine Aminotransferase Deficiency
OMIM:260400,Shwachman-Diamond Syndrome
OMIM:280000,"Coloboma, Congenital Heart Disease, Ichthyosiform Dermatosis, Mental Retardation, And Ear Anomalies Syndrome"
OMIM:600775,Craniosynostosis 4
OMIM:140500,"Heart, Malformation Of"
OMIM:129500,Clouston Syndrome
OMIM:180100,Retinitis Pigmentosa 1
OMIM:614833,Polymicrogyria With Seizures
OMIM:227310,"Factor V And Factor Viii, Combined Deficiency Of, With Normal Protein C And Protein C Inhibitor"
OMIM:221995,"Diabetes Insipidus, Nephrogenic, With Mental Retardation And Intracerebral Calcification"
